sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,24,"Norman Powell","Los Angeles Clippers",7,17,41.5,33,1.941,17,11,6,64.7,97.1,0,0,0,0,64.7,0,0,0,,17,11,6,64.7,1
2,12,"Hassani Gravett","Orlando Magic",8,14,50,24,1.714,14,8,6,57.1,85.7,0,0,0,0,57.1,0,0,0,,14,8,6,57.1,1
3,31,"Vlatko Cancar","Denver Nuggets",17,13,81.3,21,1.615,13,7,6,53.8,80.8,0,0,0,0,53.8,0,0,0,,13,7,6,53.8,1
3,16,"Anthony Gill","Washington Wizards",44,26,96.3,42,1.615,26,14,12,53.8,80.8,0,0,0,0,53.8,0,0,0,,26,14,12,53.8,1
5,5,"Jevon Carter","Milwaukee Bucks",31,36,46.2,57,1.583,36,19,17,52.8,79.2,0,0,0,0,52.8,2,0,2,0,34,19,15,55.9,0.94
6,30,"Seth Curry","Brooklyn Nets",24,111,50.9,170,1.532,111,58,53,52.3,76.1,0,1.8,0.02,1.8,52.3,7,5,2,71.4,104,53,51,51,0.94
7,4,"D.J. Augustin","Los Angeles Lakers",21,49,68.1,75,1.531,49,25,24,51,76.5,0,0,0,0,51,0,0,0,,49,25,24,51,1
8,4,"Ish Smith","Washington Wizards",28,14,8,21,1.5,14,7,7,50,75,0,0,0,0,50,0,0,0,,14,7,7,50,1
9,14,"D.J. Augustin","Houston Rockets",34,51,49,75,1.471,51,25,26,49,73.5,0,0,0,0,49,0,0,0,,51,25,26,49,1
10,3,"Kevin Porter Jr.","Houston Rockets",61,124,24.1,182,1.468,124,61,63,49.2,73.4,0,0,0,0,49.2,1,1,0,100,123,60,63,48.8,0.99
11,0,"Markus Howard","Denver Nuggets",31,33,42.9,48,1.455,33,16,17,48.5,72.7,0,0,0,0,48.5,0,0,0,,33,16,17,48.5,1
12,12,"Joe Harris","Brooklyn Nets",14,81,80.2,114,1.407,81,38,43,46.9,70.4,0,0,0,0,46.9,0,0,0,,81,38,43,46.9,1
13,24,"BJ Johnson","Orlando Magic",4,10,58.8,14,1.4,10,5,5,50,70,0,0,0,0,50,1,1,0,100,9,4,5,44.4,0.9
14,4,"Aaron Holiday","Phoenix Suns",28,28,41.8,39,1.393,28,13,15,46.4,69.6,0,0,0,0,46.4,0,0,0,,28,13,15,46.4,1
15,8,"Zach Lavine","Chicago Bulls",71,209,27,290,1.388,209,99,110,47.4,69.1,0,0.5,0,0.5,47.4,14,8,6,57.1,195,91,104,46.7,0.93
