sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,5,"Cassius Winston","Washington Wizards",25,13,43.3,21,1.615,13,7,6,53.8,80.8,0,0,0,0,53.8,0,0,0,,13,7,6,53.8,1
2,19,"Tony Snell","Atlanta Hawks",56,121,89,192,1.587,121,64,57,52.9,78.9,0,0.8,0.01,0.8,52.9,4,1,3,25,117,63,54,53.8,0.97
3,1,"Anfernee Simons","Portland Trail Blazers",70,159,46.4,252,1.585,159,84,75,52.8,79.2,0,0,0,0,52.8,0,0,0,,159,84,75,52.8,1
4,94,"Evan Fournier","Boston Celtics",22,76,45.8,120,1.579,76,40,36,52.6,78.3,0,1.3,0.01,1.3,52.6,4,1,3,25,72,39,33,54.2,0.95
5,14,"Drew Eubanks","San Antonio Spurs",55,13,81.3,20,1.538,13,9,4,69.2,76.9,0,0,0,0,69.2,11,7,4,63.6,2,2,0,100,0.15
6,15,"Cameron Payne","Phoenix Suns",82,134,47.2,204,1.522,134,68,66,50.7,75.7,0,0.7,0.01,0.7,50.7,3,1,2,33.3,131,67,64,51.1,0.98
7,12,"Joe Harris","Brooklyn Nets",81,428,68.3,642,1.5,428,216,212,50.5,75,0,0,0,0,50.5,13,6,7,46.2,415,210,205,50.6,0.97
7,55,"Mike James","Brooklyn Nets",22,14,17.9,21,1.5,14,7,7,50,75,0,7.1,0.07,7.1,50,1,0,1,0,13,7,6,53.8,0.93
7,13,"James Harden","Houston Rockets",8,10,13.9,15,1.5,10,5,5,50,75,0,0,0,0,50,0,0,0,,10,5,5,50,1
7,2,"Jalen Harris","Toronto Raptors",13,30,71.4,45,1.5,30,15,15,50,75,0,0,0,0,50,1,0,1,0,29,15,14,51.7,0.97
11,31,"Seth Curry","Philadelphia 76ers",69,253,46.4,373,1.474,252,125,127,49.6,73,0,1.2,0.02,1.2,49.8,14,7,7,50,238,118,120,49.6,0.94
12,6,"Lou Williams","Atlanta Hawks",42,33,15.9,48,1.455,33,17,16,51.5,72.7,0,0,0,0,51.5,3,3,0,100,30,14,16,46.7,0.91
13,55,"Jeff Teague","Boston Celtics",34,29,35.8,42,1.448,29,14,15,48.3,72.4,0,0,0,0,48.3,0,0,0,,29,14,15,48.3,1
14,33,"Elijah Hughes","Utah Jazz",18,16,59.3,23,1.438,16,8,8,50,71.9,0,0,0,0,50,1,1,0,100,15,7,8,46.7,0.94
15,4,"Derrick Rose","New York Knicks",40,67,30.2,96,1.433,67,32,35,47.8,71.6,0,0,0,0,47.8,0,0,0,,67,32,35,47.8,1
