sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
16,2,"Joe  Ingles","Utah Jazz",78,260,54.6,372,1.431,260,124,136,47.7,71.3,0,0.4,0,0.4,47.7,1,1,0,100,259,123,136,47.5,1
17,8,"Marcus Morris Sr.","Los Angeles Clippers",76,372,65.1,530,1.425,372,180,192,48.4,70.8,0,1.1,0.01,1.1,48.4,22,13,9,59.1,350,167,183,47.7,0.94
18,10,"Jaxson Hayes","New Orleans Pelicans",60,12,52.2,17,1.417,12,6,6,50,70.8,0,0,0,0,50,1,1,0,100,11,5,6,45.5,0.92
19,38,"Saben Lee","Detroit Pistons",48,17,60.7,24,1.412,17,8,9,47.1,70.6,0,0,0,0,47.1,0,0,0,,17,8,9,47.1,1
20,11,"James Ennis III","Orlando Magic",41,80,65.6,112,1.4,80,37,43,46.3,69.4,0,1.3,0.01,1.3,46.3,2,0,2,0,78,37,41,47.4,0.98
20,21,"LaMarcus Aldridge","Brooklyn Nets",5,10,83.3,14,1.4,10,5,5,50,70,0,0,0,0,50,5,1,4,20,5,4,1,80,0.5
22,8,"Zach Lavine","Chicago Bulls",58,173,26,242,1.399,173,83,90,48,69.9,0,0,0,0,48,16,7,9,43.8,157,76,81,48.4,0.91
23,1,"Paul Watson","Toronto Raptors",27,54,83.1,75,1.389,54,25,29,46.3,69.4,0,0,0,0,46.3,0,0,0,,54,25,29,46.3,1
24,3,"Chris Paul","Phoenix Suns",90,94,9.5,130,1.383,94,44,50,46.8,69.1,0,0,0,0,46.8,4,2,2,50,90,42,48,46.7,0.96
25,3,"CJ McCollum","Portland Trail Blazers",53,187,27.4,258,1.38,187,90,97,48.1,69,0,0,0,0,48.1,18,12,6,66.7,169,78,91,46.2,0.9
26,1,"Reggie Jackson","Los Angeles Clippers",87,301,57,415,1.379,301,138,163,45.8,68.8,0,0.3,0,0.3,45.8,2,0,2,0,299,138,161,46.2,0.99
27,17,"Rodney McGruder","Detroit Pistons",16,24,77.4,33,1.375,24,11,13,45.8,68.8,0,0,0,0,45.8,0,0,0,,24,11,13,45.8,1
28,8,"Maurice Harkless","Miami Heat",11,11,100,15,1.364,11,5,6,45.5,68.2,0,0,0,0,45.5,0,0,0,,11,5,6,45.5,1
28,4,"Rajon Rondo","Los Angeles Clippers",31,44,54.3,60,1.364,44,20,24,45.5,68.2,0,0,0,0,45.5,0,0,0,,44,20,24,45.5,1
30,3,"George Hill","Oklahoma City Thunder",14,42,60.9,57,1.357,42,19,23,45.2,67.9,0,0,0,0,45.2,0,0,0,,42,19,23,45.2,1
30,12,"Darius Miller","Oklahoma City Thunder",18,28,60.9,38,1.357,28,13,15,46.4,67.9,0,0,0,0,46.4,1,1,0,100,27,12,15,44.4,0.96
32,24,"Norman Powell","Toronto Raptors",42,186,61.2,252,1.355,185,83,102,44.9,67.3,0,1.1,0.02,1.1,45.2,2,0,2,0,183,83,100,45.4,0.99
33,55,"Delon Wright","Sacramento Kings",27,51,53.7,69,1.353,51,23,28,45.1,67.6,0,0,0,0,45.1,0,0,0,,51,23,28,45.1,1
34,5,"Jeff Teague","Milwaukee Bucks",37,20,44.4,27,1.35,20,9,11,45,67.5,0,0,0,0,45,0,0,0,,20,9,11,45,1
34,34,"Kenrich Williams","Oklahoma City Thunder",66,103,51.5,139,1.35,103,47,56,45.6,67.5,0,0,0,0,45.6,3,2,1,66.7,100,45,55,45,0.97
36,11,"Payton Pritchard","Boston Celtics",72,179,58.3,241,1.346,179,81,98,45.3,67.3,0,0,0,0,45.3,3,2,1,66.7,176,79,97,44.9,0.98
37,70,"Nemanja Bjelica","Miami Heat",13,29,82.9,39,1.345,29,13,16,44.8,67.2,0,0,0,0,44.8,0,0,0,,29,13,16,44.8,1
38,5,"Luke Kennard","Los Angeles Clippers",78,217,55.5,291,1.341,217,99,118,45.6,66.8,0,0.5,0,0.5,45.6,9,7,2,77.8,208,92,116,44.2,0.96
39,1,"Michael Porter Jr.","Denver Nuggets",71,389,64.6,521,1.339,389,178,211,45.8,66.5,0,1,0.01,1,45.8,34,17,17,50,355,161,194,45.4,0.91
39,7,"Malcolm Brogdon","Indiana Pacers",58,174,33,233,1.339,174,78,96,44.8,67,0,0,0,0,44.8,1,1,0,100,173,77,96,44.5,0.99
39,5,"Frank Jackson","Detroit Pistons",40,124,66,166,1.339,124,55,69,44.4,66.1,0,1.6,0.02,1.6,44.4,3,1,2,33.3,121,54,67,44.6,0.98
42,22,"Desmond Bane","Memphis Grizzlies",75,227,64.3,303,1.335,227,102,125,44.9,66.7,0,0,0,0,44.9,4,3,1,75,223,99,124,44.4,0.98
43,27,"Jamal Murray","Denver Nuggets",48,124,23,165,1.331,124,56,68,45.2,66.5,0,0,0,0,45.2,4,3,1,75,120,53,67,44.2,0.97
44,7,"Bryn Forbes","Milwaukee Bucks",90,377,68.5,501,1.329,375,166,209,44.3,66.1,0,1.1,0.02,1.1,44.6,6,2,4,33.3,369,164,205,44.4,0.98
44,30,"Stephen Curry","Golden State Warriors",65,371,39.3,493,1.329,369,164,205,44.4,65.7,0,1.6,0.03,1.6,44.7,12,7,5,58.3,357,157,200,44,0.97
46,7,"Kevin Durant","Brooklyn Nets",47,188,32.5,249,1.324,188,90,98,47.9,66.2,0,0,0,0,47.9,39,21,18,53.8,149,69,80,46.3,0.79
47,11,"Kyrie Irving","Brooklyn Nets",63,248,30.8,326,1.315,248,110,138,44.4,65.5,0,0.4,0,0.4,44.4,9,5,4,55.6,239,105,134,43.9,0.96
48,14,"Marc Gasol","Los Angeles Lakers",57,137,96.5,180,1.314,136,60,76,44.1,65.1,0,1.5,0.03,1.5,44.5,4,3,1,75,132,57,75,43.2,0.97
49,0,"Jayson Tatum","Boston Celtics",70,174,21.8,228,1.31,174,80,94,46,64.9,0,1.1,0.01,1.1,46,25,14,11,56,149,66,83,44.3,0.86
49,1,"Malik Monk","Charlotte Hornets",43,126,48.1,165,1.31,126,55,71,43.7,65.5,0,0,0,0,43.7,0,0,0,,126,55,71,43.7,1
51,11,"Frank Ntilikina","New York Knicks",36,39,56.5,51,1.308,39,17,22,43.6,65.4,0,0,0,0,43.6,3,0,3,0,36,17,19,47.2,0.92
52,14,"Ish Smith","Washington Wizards",51,46,20.9,60,1.304,46,20,26,43.5,65.2,0,0,0,0,43.5,0,0,0,,46,20,26,43.5,1
53,8,"Jeff Green","Brooklyn Nets",74,260,88.1,338,1.3,260,114,146,43.8,65,0,0,0,0,43.8,10,4,6,40,250,110,140,44,0.96
53,32,"Wenyen Gabriel","New Orleans Pelicans",21,30,90.9,39,1.3,30,13,17,43.3,65,0,0,0,0,43.3,0,0,0,,30,13,17,43.3,1
53,0,"Damian Lillard","Portland Trail Blazers",73,180,18.8,234,1.3,180,79,101,43.9,65,0,0.6,0.01,0.6,43.9,8,3,5,37.5,172,76,96,44.2,0.96
56,13,"Jalen Brunson","Dallas Mavericks",75,154,42.2,200,1.299,154,67,87,43.5,64.9,0,0,0,0,43.5,1,1,0,100,153,66,87,43.1,0.99
57,0,"De'Anthony Melton","Memphis Grizzlies",59,169,63.1,219,1.296,169,73,96,43.2,64.8,0,0.6,0.01,0.6,43.2,0,0,0,,169,73,96,43.2,1
58,2,"Langston Galloway","Phoenix Suns",42,88,75.2,114,1.295,87,37,50,42.5,62.6,0,3.4,0.06,3.4,43.2,4,2,2,50,83,35,48,42.2,0.95
59,20,"Gordon Hayward","Charlotte Hornets",44,177,43.4,229,1.294,176,82,94,46.6,64.5,0,0.6,0.01,0.6,46.9,38,19,19,50,138,63,75,45.7,0.78
60,4,"JJ Redick","New Orleans Pelicans",31,99,48.5,128,1.293,99,43,56,43.4,62.6,0,4,0.04,4,43.4,8,5,3,62.5,91,38,53,41.8,0.92
60,5,"Immanuel Quickley","New York Knicks",69,123,34.2,159,1.293,123,53,70,43.1,64.6,0,0,0,0,43.1,1,0,1,0,122,53,69,43.4,0.99
62,14,"Gorgui Dieng","Memphis Grizzlies",22,48,84.2,62,1.292,48,21,27,43.8,64.6,0,0,0,0,43.8,4,1,3,25,44,20,24,45.5,0.92
63,4,"Devonte Graham","Charlotte Hornets",56,299,51.7,386,1.291,298,128,170,43,63.9,0,1,0.02,1,43.1,4,3,1,75,294,125,169,42.5,0.99
64,11,"Mike Conley","Utah Jazz",58,143,33.7,184,1.287,143,62,81,43.4,64.3,0,0,0,0,43.4,2,2,0,100,141,60,81,42.6,0.99
65,2,"Shai Gilgeous-Alexander","Oklahoma City Thunder",35,35,13.5,45,1.286,35,15,20,42.9,64.3,0,0,0,0,42.9,0,0,0,,35,15,20,42.9,1
65,11,"Abdel Nader","Phoenix Suns",29,42,85.7,54,1.286,42,18,24,42.9,64.3,0,0,0,0,42.9,0,0,0,,42,18,24,42.9,1
67,25,"Reggie Bullock","New York Knicks",70,393,77.8,504,1.282,393,170,223,43.3,64.1,0,0,0,0,43.3,7,6,1,85.7,386,164,222,42.5,0.98
68,17,"Ignas Brazdeikis","Orlando Magic",8,25,69.4,32,1.28,25,11,14,44,64,0,0,0,0,44,3,1,2,33.3,22,10,12,45.5,0.88
69,0,"Aaron Gordon","Orlando Magic",25,68,41.2,87,1.279,68,30,38,44.1,64,0,0,0,0,44.1,6,3,3,50,62,27,35,43.5,0.91
70,12,"Tobias Harris","Philadelphia 76ers",74,187,37.6,239,1.278,187,81,106,43.3,63.9,0,0,0,0,43.3,11,4,7,36.4,176,77,99,43.8,0.94
71,31,"Georges Niang","Utah Jazz",83,298,87.4,380,1.275,298,127,171,42.6,63.8,0,0,0,0,42.6,2,1,1,50,296,126,170,42.6,0.99
71,15,"Sam Merrill","Milwaukee Bucks",38,40,70.2,51,1.275,40,17,23,42.5,63.7,0,0,0,0,42.5,0,0,0,,40,17,23,42.5,1
71,10,"Darius Garland","Cleveland Cavaliers",54,142,39.9,181,1.275,142,61,81,43,63.7,0,0,0,0,43,3,2,1,66.7,139,59,80,42.4,0.98
74,7,"Jaylen Brown","Boston Celtics",58,281,45.1,358,1.274,281,120,161,42.7,63.7,0,0,0,0,42.7,10,2,8,20,271,118,153,43.5,0.96
75,15,"DeMarcus Cousins","Los Angeles Clippers",23,33,91.7,42,1.273,33,15,18,45.5,63.6,0,0,0,0,45.5,4,3,1,75,29,12,17,41.4,0.88
75,21,"Matt Thomas","Toronto Raptors",26,22,40,28,1.273,22,9,13,40.9,61.4,0,4.5,0.05,4.5,40.9,0,0,0,,22,9,13,40.9,1
77,12,"D.J. Augustin","Milwaukee Bucks",37,81,54,103,1.272,81,34,47,42,63,0,1.2,0.01,1.2,42,1,0,1,0,80,34,46,42.5,0.99
78,77,"Ersan Ilyasova","Utah Jazz",18,37,75.5,47,1.27,37,16,21,43.2,63.5,0,0,0,0,43.2,5,1,4,20,32,15,17,46.9,0.86
78,9,"Bobby Portis","Milwaukee Bucks",86,237,78,301,1.27,237,106,131,44.7,63.5,0,0,0,0,44.7,34,17,17,50,203,89,114,43.8,0.86
80,8,"Patty Mills","San Antonio Spurs",69,257,50.4,326,1.268,257,109,148,42.4,63.4,0,0,0,0,42.4,1,1,0,100,256,108,148,42.2,1
80,14,"Terance Mann","Los Angeles Clippers",86,97,47.8,123,1.268,97,41,56,42.3,63.4,0,0,0,0,42.3,1,0,1,0,96,41,55,42.7,0.99
82,3,"Grayson Allen","Memphis Grizzlies",57,225,71.9,285,1.267,225,95,130,42.2,63.3,0,0,0,0,42.2,1,0,1,0,224,95,129,42.4,1
83,95,"Juan Toscano-Anderson","Golden State Warriors",55,91,89.2,115,1.264,91,39,52,42.9,63.2,0,0,0,0,42.9,2,2,0,100,89,37,52,41.6,0.98
84,0,"Tyrese Haliburton","Sacramento Kings",58,167,45.9,211,1.263,167,70,97,41.9,62.9,0,0.6,0.01,0.6,41.9,2,0,2,0,165,70,95,42.4,0.99
84,16,"Ty Jerome","Oklahoma City Thunder",33,118,57,149,1.263,118,50,68,42.4,63.1,0,0,0,0,42.4,2,1,1,50,116,49,67,42.2,0.98
86,14,"Danny Green","Philadelphia 76ers",77,389,77.3,491,1.262,388,163,225,42,63,0,0.5,0.01,0.5,42.2,1,0,1,0,387,163,224,42.1,1
87,3,"OG Anunoby","Toronto Raptors",43,230,79,290,1.261,230,97,133,42.2,63,0,0,0,0,42.2,3,1,2,33.3,227,96,131,42.3,0.99
88,4,"Victor Oladipo","Indiana Pacers",9,31,36,39,1.258,31,13,18,41.9,62.9,0,0,0,0,41.9,1,0,1,0,30,13,17,43.3,0.97
88,25,"Austin Rivers","Denver Nuggets",25,93,76.2,117,1.258,93,39,54,41.9,62.9,0,0,0,0,41.9,0,0,0,,93,39,54,41.9,1
88,3,"Terry Rozier","Charlotte Hornets",70,392,52.6,493,1.258,392,165,227,42.1,62.6,0,0.8,0.01,0.8,42.1,10,4,6,40,382,161,221,42.1,0.97
91,12,"Oshae Brissett","Indiana Pacers",23,86,91.5,108,1.256,86,36,50,41.9,62.8,0,0,0,0,41.9,0,0,0,,86,36,50,41.9,1
92,2,"Gary Trent Jr.","Portland Trail Blazers",41,177,42.2,222,1.254,177,74,103,41.8,62.7,0,0,0,0,41.8,0,0,0,,177,74,103,41.8,1
93,20,"Landry Shamet","Brooklyn Nets",73,280,69.5,350,1.25,280,117,163,41.8,62.5,0,0,0,0,41.8,5,1,4,20,275,116,159,42.2,0.98
94,42,"Maxi Kleber","Dallas Mavericks",57,228,88.7,284,1.246,228,95,133,41.7,62.3,0,0,0,0,41.7,6,1,5,16.7,222,94,128,42.3,0.97
95,21,"Patrick Beverly","Los Angeles Clippers",55,147,79.9,183,1.245,147,61,86,41.5,62.2,0,0,0,0,41.5,0,0,0,,147,61,86,41.5,1
95,0,"Sterling Brown","Houston Rockets",51,184,79.7,229,1.245,184,76,108,41.3,62,0,0.5,0.01,0.5,41.3,1,0,1,0,183,76,107,41.5,0.99
97,7,"Kyle Lowry","Toronto Raptors",46,160,38.6,199,1.244,160,67,93,41.9,62.2,0,0,0,0,41.9,4,2,2,50,156,65,91,41.7,0.98
97,45,"Donovan Mitchell","Utah Jazz",63,197,24.8,245,1.244,197,82,115,41.6,62.2,0,0,0,0,41.6,2,1,1,50,195,81,114,41.5,0.99
97,13,"Bogdan Bogdanovic","Atlanta Hawks",62,390,61.7,485,1.244,390,166,224,42.6,62.1,0,0.3,0,0.3,42.6,28,14,14,50,362,152,210,42,0.93
100,13,"Paul George","Los Angeles Clippers",73,322,36.6,399,1.239,322,137,185,42.5,61.6,0,0.6,0.01,0.6,42.5,27,14,13,51.9,295,123,172,41.7,0.92
100,14,"Brandon Ingram","New Orleans Pelicans",61,268,32.5,332,1.239,267,113,154,42.3,61.2,0,1.1,0.02,1.1,42.5,32,12,20,37.5,235,101,134,43,0.88
102,55,"Duncan Robinson","Miami Heat",76,463,70.3,572,1.235,463,190,273,41,61.4,0,0.6,0.01,0.6,41,1,1,0,100,462,189,273,40.9,1
102,10,"Tim Hardaway Jr.","Dallas Mavericks",77,417,56.6,515,1.235,417,172,245,41.2,61.5,0,1.2,0.01,1.2,41.2,9,3,6,33.3,408,169,239,41.4,0.98
104,8,"Kemba Walker","Boston Celtics",47,133,25.2,164,1.233,133,55,78,41.4,61.7,0,0,0,0,41.4,1,1,0,100,132,54,78,40.9,0.99
104,26,"Kent Bazemore","Golden State Warriors",69,176,69.8,217,1.233,176,73,103,41.5,61.6,0,0,0,0,41.5,5,2,3,40,171,71,100,41.5,0.97
106,2,"Collin Sexton","Cleveland Cavaliers",60,151,29.7,186,1.232,151,63,88,41.7,61.6,0,0,0,0,41.7,7,3,4,42.9,144,60,84,41.7,0.95
106,44,"Bojan Bogdanovic","Utah Jazz",83,406,62.8,500,1.232,406,167,239,41.1,61.6,0,0,0,0,41.1,2,1,1,50,404,166,238,41.1,1
108,28,"Alfonzo McKinnie","Los Angeles Lakers",41,39,75,48,1.231,39,16,23,41,61.5,0,0,0,0,41,0,0,0,,39,16,23,41,1
108,11,"Avery Bradley","Miami Heat",10,39,81.3,48,1.231,39,16,23,41,61.5,0,0,0,0,41,2,0,2,0,37,16,21,43.2,0.95
110,24,"Lauri Markkanen","Chicago Bulls",51,291,90.7,358,1.23,291,120,171,41.2,61.5,0,0,0,0,41.2,4,2,2,50,287,118,169,41.1,0.99
111,23,"Royce ONeale","Utah Jazz",82,303,88.3,372,1.228,303,124,179,40.9,61.4,0,0,0,0,40.9,1,0,1,0,302,124,178,41.1,1
111,41,"Kelly Olynyk","Houston Rockets",27,101,75.9,124,1.228,100,41,59,41,61,0,1,0.02,1,41.6,1,1,0,100,99,40,59,40.4,0.99
113,55,"Jarrell Brantley","Utah Jazz",30,27,93.1,33,1.222,27,11,16,40.7,61.1,0,0,0,0,40.7,1,0,1,0,26,11,15,42.3,0.96
114,6,"Jordan McLaughlin","Minnesota Timberwolves",51,64,67.4,78,1.219,64,26,38,40.6,60.9,0,0,0,0,40.6,0,0,0,,64,26,38,40.6,1
115,4,"Alex Caruso","Los Angeles Lakers",65,143,70.4,174,1.217,143,58,85,40.6,60.8,0,0,0,0,40.6,4,0,4,0,139,58,81,41.7,0.97
116,7,"Ben McLemore","Los Angeles Lakers",25,111,81.6,135,1.216,111,46,65,41.4,60.4,0,0.9,0.01,0.9,41.4,8,4,4,50,103,42,61,40.8,0.93
117,30,"Devin Cannady","Orlando Magic",8,14,63.6,17,1.214,14,6,8,42.9,60.7,0,0,0,0,42.9,1,1,0,100,13,5,8,38.5,0.93
117,20,"Kevin Knox II","New York Knicks",43,84,81.6,102,1.214,84,34,50,40.5,60.1,0,1.2,0.01,1.2,40.5,2,1,1,50,82,33,49,40.2,0.98
117,18,"Yuta Watanabe","Toronto Raptors",50,84,81.6,102,1.214,84,34,50,40.5,60.7,0,0,0,0,40.5,0,0,0,,84,34,50,40.5,1
120,9,"Terence Davis","Sacramento Kings",27,94,61.8,114,1.213,94,38,56,40.4,60.6,0,0,0,0,40.4,0,0,0,,94,38,56,40.4,1
121,19,"Raul Neto","Washington Wizards",71,146,61.1,177,1.212,146,59,87,40.4,60.6,0,0,0,0,40.4,1,0,1,0,145,59,86,40.7,0.99
121,25,"Kendrick Nunn","Miami Heat",60,250,57.9,303,1.212,250,101,149,40.4,60.6,0,0,0,0,40.4,1,0,1,0,249,101,148,40.6,1
123,22,"Otto Porter Jr.","Chicago Bulls",25,95,68.3,115,1.211,95,39,56,41.1,60.5,0,0,0,0,41.1,8,2,6,25,87,37,50,42.5,0.92
124,42,"Davis Bertans","Washington Wizards",63,430,90,520,1.209,428,170,258,39.7,59.3,0,2.1,0.03,2.1,40,4,2,2,50,424,168,256,39.6,0.99
125,25,"Mikal Bridges","Phoenix Suns",94,394,74.1,476,1.208,394,160,234,40.6,60.4,0,0,0,0,40.6,14,4,10,28.6,380,156,224,41.1,0.96
126,0,"Terence Davis","Toronto Raptors",34,92,70.2,111,1.207,92,37,55,40.2,59.8,0,1.1,0.01,1.1,40.2,3,1,2,33.3,89,36,53,40.4,0.97
127,55,"Delon Wright","Detroit Pistons",36,63,63,76,1.206,63,25,38,39.7,59.5,0,1.6,0.02,1.6,39.7,0,0,0,,63,25,38,39.7,1
127,10,"Dorian Finney-Smith","Dallas Mavericks",67,311,87.1,375,1.206,311,125,186,40.2,60.3,0,0,0,0,40.2,0,0,0,,311,125,186,40.2,1
129,40,"Harrison Barnes","Sacramento Kings",58,187,66.3,225,1.203,187,75,112,40.1,60.2,0,0,0,0,40.1,0,0,0,,187,75,112,40.1,1
130,41,"Gorgui Dieng","San Antonio Spurs",17,20,71.4,24,1.2,20,8,12,40,60,0,0,0,0,40,0,0,0,,20,8,12,40,1
131,7,"Goran Dragic","Miami Heat",54,192,50.9,230,1.198,192,78,114,40.6,59.9,0,0,0,0,40.6,5,4,1,80,187,74,113,39.6,0.97
132,41,"Saddiq Bey","Detroit Pistons",70,385,75.8,461,1.197,385,155,230,40.3,59.7,0,0.3,0,0.3,40.3,10,5,5,50,375,150,225,40,0.97
133,0,"Carmelo Anthony","Portland Trail Blazers",75,275,45.8,329,1.196,275,112,163,40.7,59.6,0,0.4,0,0.4,40.7,25,8,17,32,250,104,146,41.6,0.91
134,22,"Rudy Gay","San Antonio Spurs",64,241,52.5,288,1.195,240,97,143,40.4,59.4,0,0.4,0.01,0.4,40.7,13,6,7,46.2,227,91,136,40.1,0.95
135,2,"Blake Griffin","Brooklyn Nets",38,88,73.9,105,1.193,88,35,53,39.8,59.7,0,0,0,0,39.8,0,0,0,,88,35,53,39.8,1
135,26,"Jeremy Lamb","Indiana Pacers",36,83,51.9,99,1.193,83,33,50,39.8,59.6,0,0,0,0,39.8,0,0,0,,83,33,50,39.8,1
137,5,"Edmond Sumner","Indiana Pacers",55,78,79.6,93,1.192,78,31,47,39.7,59.6,0,0,0,0,39.7,0,0,0,,78,31,47,39.7,1
138,24,"Garrison Mathews","Washington Wizards",69,184,83.6,219,1.19,179,68,111,38,56.7,0,4.9,0.11,4.9,39.7,2,1,1,50,177,67,110,37.9,0.99
138,7,"Armoni Brooks","Houston Rockets",20,116,72,138,1.19,116,46,70,39.7,59.5,0,0,0,0,39.7,0,0,0,,116,46,70,39.7,1
140,2,"Kawhi Leonard","Los Angeles Clippers",63,217,33.4,258,1.189,217,92,125,42.4,59.4,0,0,0,0,42.4,44,18,26,40.9,173,74,99,42.8,0.8
140,32,"Karl-Anthony Towns","Minnesota Timberwolves",50,307,81,365,1.189,307,126,181,41,59.1,0,0.7,0.01,0.7,41,30,15,15,50,277,111,166,40.1,0.9
140,2,"Lonzo Ball","New Orleans Pelicans",55,318,57.5,378,1.189,318,127,191,39.9,59.3,0,0.3,0,0.3,39.9,7,4,3,57.1,311,123,188,39.5,0.98
143,12,"Taurean Prince","Cleveland Cavaliers",29,75,46.3,89,1.187,75,30,45,40,59.3,0,0,0,0,40,2,1,1,50,73,29,44,39.7,0.97
144,0,"JaMychal Green","Denver Nuggets",68,222,94.5,263,1.185,222,89,133,40.1,59.2,0,0,0,0,40.1,13,4,9,30.8,209,85,124,40.7,0.94
145,7,"Facundo Campazzo","Denver Nuggets",75,190,66.9,225,1.184,189,74,115,39.2,58.7,0,1.6,0.03,1.6,39.5,0,0,0,,189,74,115,39.2,1
145,30,"Glenn Robinson III","Sacramento Kings",23,38,67.9,45,1.184,38,15,23,39.5,59.2,0,0,0,0,39.5,0,0,0,,38,15,23,39.5,1
147,41,"Trey Lyles","San Antonio Spurs",23,33,64.7,39,1.182,33,13,20,39.4,59.1,0,0,0,0,39.4,0,0,0,,33,13,20,39.4,1
147,22,"Zeke Nnaji","Denver Nuggets",47,66,91.7,78,1.182,66,26,40,39.4,59.1,0,0,0,0,39.4,1,0,1,0,65,26,39,40,0.98
147,30,"Julius Randle","New York Knicks",76,347,40.8,410,1.182,347,144,203,41.5,59.1,0,0,0,0,41.5,54,22,32,40.7,293,122,171,41.6,0.84
150,3,"Chuma Okeke","Orlando Magic",45,116,56,137,1.181,116,47,69,40.5,59.1,0,0,0,0,40.5,5,4,1,80,111,43,68,38.7,0.96
150,1,"Damion Lee","Golden State Warriors",57,177,85.1,209,1.181,177,70,107,39.5,58.8,0,0.6,0.01,0.6,39.5,5,2,3,40,172,68,104,39.5,0.97
152,30,"Furkan Korkmaz","Philadelphia 76ers",67,234,62.6,276,1.179,231,91,140,39.4,58.4,0,1.3,0.03,1.3,40.2,6,3,3,50,225,88,137,39.1,0.97
152,51,"Ryan Arcidiacono","Chicago Bulls",44,56,70,66,1.179,56,22,34,39.3,58.9,0,0,0,0,39.3,0,0,0,,56,22,34,39.3,1
154,33,"Robert Covington","Portland Trail Blazers",76,348,87.7,408,1.172,348,136,212,39.1,58.6,0,0,0,0,39.1,2,0,2,0,346,136,210,39.3,0.99
154,9,"RJ Barrett","New York Knicks",77,319,64.6,374,1.172,318,124,194,39,58.3,0,0.3,0.01,0.3,39.2,6,1,5,16.7,312,123,189,39.4,0.98
156,0,"D'Angelo Russell","Minnesota Timberwolves",42,170,35,199,1.171,170,68,102,40,58.5,0,0,0,0,40,11,5,6,45.5,159,63,96,39.6,0.94
157,15,"Nikola Jokic","Denver Nuggets",82,389,76.7,455,1.17,389,176,213,45.2,58.5,0,0,0,0,45.2,128,73,55,57,261,103,158,39.5,0.67
158,25,"P.J. Washington","Charlotte Hornets",65,261,81.6,305,1.169,261,102,159,39.1,58.4,0,0,0,0,39.1,6,1,5,16.7,255,101,154,39.6,0.98
159,5,"Malik Beasley","Minnesota Timberwolves",37,244,63.7,285,1.168,244,96,148,39.3,58.4,0,0,0,0,39.3,5,3,2,60,239,93,146,38.9,0.98
160,24,"Buddy Hield","Sacramento Kings",71,431,51.2,503,1.167,431,168,263,39,58.4,0,0,0,0,39,4,1,3,25,427,167,260,39.1,0.99
