sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,15,"Damian Jones","Utah Jazz",19,14,100,30,2.143,14,10,4,71.4,107.1,0,0,0,0,71.4,0,0,0,,14,10,4,71.4,1
2,10,"Luke Kennard","Memphis Grizzlies",29,118,67.4,198,1.678,118,66,52,55.9,83.9,0,0,0,0,55.9,0,0,0,,118,66,52,55.9,1
3,0,"Gary Payton II","Portland Trail Blazers",15,17,100,27,1.588,17,9,8,52.9,79.4,0,0,0,0,52.9,0,0,0,,17,9,8,52.9,1
4,7,"George Hill","Indiana Pacers",11,16,72.7,24,1.5,16,8,8,50,75,0,0,0,0,50,0,0,0,,16,8,8,50,1
4,34,"Jay Huff","Washington Wizards",7,12,92.3,18,1.5,12,6,6,50,75,0,0,0,0,50,0,0,0,,12,6,6,50,1
6,0,"Frank Kaminsky","Atlanta Hawks",26,24,96,35,1.458,24,12,12,50,72.9,0,0,0,0,50,1,1,0,100,23,11,12,47.8,0.96
7,1,"Devin Booker","Phoenix Suns",64,142,17.2,201,1.415,142,69,73,48.6,69,0,4.2,0.04,4.2,48.6,20,11,9,55,122,58,64,47.5,0.86
8,8,"Peyton Watson","Denver Nuggets",28,15,62.5,21,1.4,15,7,8,46.7,70,0,0,0,0,46.7,0,0,0,,15,7,8,46.7,1
9,5,"Luke Kennard","Los Angeles Clippers",35,108,62.1,151,1.398,108,50,58,46.3,69,0,1.9,0.02,1.9,46.3,3,1,2,33.3,105,49,56,46.7,0.97
10,10,"Mike Conley","Minnesota Timberwolves",31,79,41.6,110,1.392,79,37,42,46.8,69.6,0,0,0,0,46.8,2,1,1,50,77,36,41,46.8,0.97
11,0,"Tyrese Maxey","Philadelphia 76ers",71,264,45.4,367,1.39,264,122,142,46.2,69.3,0,0.4,0,0.4,46.2,4,0,4,0,260,122,138,46.9,0.98
12,18,"Yuta Watanabe","Brooklyn Nets",59,135,88.2,187,1.385,135,63,72,46.7,69.3,0,0,0,0,46.7,3,2,1,66.7,132,61,71,46.2,0.98
12,3,"Josh Hart","New York Knicks",36,78,75.7,108,1.385,78,36,42,46.2,69.2,0,0,0,0,46.2,0,0,0,,78,36,42,46.2,1
12,32,"Gabe York","Indiana Pacers",3,13,72.2,18,1.385,13,6,7,46.2,69.2,0,0,0,0,46.2,0,0,0,,13,6,7,46.2,1
15,3,"Chris Paul","Phoenix Suns",66,116,17.7,160,1.379,116,54,62,46.6,69,0,0,0,0,46.6,5,2,3,40,111,52,59,46.8,0.96
