sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,7,"Patrick Baldwin Jr.","Washington Wizards",22,15,71.4,30,2,15,10,5,66.7,100,0,0,0,0,66.7,0,0,0,,15,10,5,66.7,1
2,12,"Dru Smith","Miami Heat",14,24,80,42,1.75,24,14,10,58.3,87.5,0,0,0,0,58.3,0,0,0,,24,14,10,58.3,1
3,29,"Daeqwon Plowden","Atlanta Hawks",6,17,100,27,1.588,17,9,8,52.9,79.4,0,0,0,0,52.9,0,0,0,,17,9,8,52.9,1
4,30,"Tre Jones","Chicago Bulls",18,21,80.8,33,1.571,21,11,10,52.4,78.6,0,0,0,0,52.4,0,0,0,,21,11,10,52.4,1
5,0,"Dante Exum","Dallas Mavericks",22,46,67.6,69,1.5,46,23,23,50,75,0,0,0,0,50,0,0,0,,46,23,23,50,1
6,0,"Dariq Whitehead","Brooklyn Nets",20,64,81,93,1.453,64,31,33,48.4,72.7,0,0,0,0,48.4,0,0,0,,64,31,33,48.4,1
7,12,"Taurean Prince","Milwaukee Bucks",86,289,76.5,412,1.426,289,137,152,47.4,71.1,0,0.3,0,0.3,47.4,1,0,1,0,288,137,151,47.6,1
8,45,"Davion Mitchell","Miami Heat",36,80,61.1,114,1.425,80,38,42,47.5,71.3,0,0,0,0,47.5,0,0,0,,80,38,42,47.5,1
9,30,"Seth Curry","Charlotte Hornets",68,148,56.1,205,1.385,148,70,78,47.3,68.9,0,0.7,0.01,0.7,47.3,9,6,3,66.7,139,64,75,46,0.94
9,23,"Aaron Nesmith","Indiana Pacers",68,278,74.5,385,1.385,278,129,149,46.4,69.2,0,0,0,0,46.4,6,2,4,33.3,272,127,145,46.7,0.98
9,88,"Patty Mills","Los Angeles Clippers",13,13,65,18,1.385,13,6,7,46.2,69.2,0,0,0,0,46.2,0,0,0,,13,6,7,46.2,1
12,22,"Larry Nance Jr.","Atlanta Hawks",24,77,96.3,106,1.377,77,36,41,46.8,68.8,0,0,0,0,46.8,2,2,0,100,75,34,41,45.3,0.97
13,88,"Alex Ducas","Oklahoma City Thunder",21,22,95.7,30,1.364,22,10,12,45.5,68.2,0,0,0,0,45.5,1,0,1,0,21,10,11,47.6,0.95
14,23,"Jaden Ivey","Detroit Pistons",30,84,40.4,114,1.357,84,38,46,45.2,67.9,0,0,0,0,45.2,0,0,0,,84,38,46,45.2,1
15,3,"Jake LaRavia","Memphis Grizzlies",47,73,70.9,99,1.356,73,33,40,45.2,67.8,0,0,0,0,45.2,1,0,1,0,72,33,39,45.8,0.99
16,11,"Jalen Brunson","New York Knicks",83,169,19.1,229,1.355,168,75,93,44.6,66.7,0,2.4,0.04,2.4,45,2,1,1,50,166,74,92,44.6,0.99
17,22,"Khris Middleton","Milwaukee Bucks",23,48,34,65,1.354,48,22,26,45.8,65.6,0,4.2,0.04,4.2,45.8,5,3,2,60,43,19,24,44.2,0.9
18,10,"Luke Kennard","Memphis Grizzlies",70,215,60.9,291,1.353,214,96,118,44.9,66.8,0,1.4,0.02,1.4,45.1,5,2,3,40,209,94,115,45,0.98
18,2,"Ty Jerome","Cleveland Cavaliers",79,133,39,180,1.353,133,60,73,45.1,67.7,0,0,0,0,45.1,0,0,0,,133,60,73,45.1,1
18,21,"Isaiah Wong","Charlotte Hornets",20,17,27,23,1.353,17,8,9,47.1,67.6,0,0,0,0,47.1,2,1,1,50,15,7,8,46.7,0.88
18,8,"Zach Lavine","Sacramento Kings",33,102,31.6,138,1.353,102,47,55,46.1,67.6,0,0,0,0,46.1,5,3,2,60,97,44,53,45.4,0.95
22,20,"A.J. Green","Milwaukee Bucks",79,304,67.9,411,1.352,304,137,167,45.1,67.6,0,0,0,0,45.1,3,0,3,0,301,137,164,45.5,0.99
22,35,"Kevin Durant","Phoenix Suns",62,347,43.1,469,1.352,346,165,181,47.7,67.3,0,0.3,0.01,0.3,47.8,47,29,18,61.7,299,136,163,45.5,0.86
24,18,"Chuma Okeke","Philadelphia 76ers",7,20,90.9,27,1.35,20,9,11,45,67.5,0,0,0,0,45,0,0,0,,20,9,11,45,1
25,27,"Vit Krejci","Atlanta Hawks",59,165,76.7,222,1.345,165,74,91,44.8,67.3,0,0,0,0,44.8,2,0,2,0,163,74,89,45.4,0.99
26,10,"Brandon Williams","Dallas Mavericks",35,47,54.7,63,1.34,47,21,26,44.7,67,0,0,0,0,44.7,2,0,2,0,45,21,24,46.7,0.96
27,14,"Terance Mann","Atlanta Hawks",32,62,45.3,83,1.339,62,28,34,45.2,66.9,0,0,0,0,45.2,1,1,0,100,61,27,34,44.3,0.98
28,11,"Payton Pritchard","Boston Celtics",91,432,55,576,1.333,431,191,240,44.3,66.5,0,0.7,0.01,0.7,44.4,1,0,1,0,430,191,239,44.4,1
29,23,"Keon Ellis","Sacramento Kings",81,274,77,364,1.328,273,121,152,44.3,66.3,0,0.4,0.01,0.4,44.5,1,1,0,100,272,120,152,44.1,1
29,11,"Isaiah Joe","Oklahoma City Thunder",96,390,67.8,518,1.328,389,172,217,44.2,66.1,0,0.5,0.01,0.5,44.4,3,2,1,66.7,386,170,216,44,0.99
31,28,"Brice Sensabaugh","Utah Jazz",71,278,62.8,369,1.327,278,123,155,44.2,66.4,0,0.4,0,0.4,44.2,2,0,2,0,276,123,153,44.6,0.99
32,11,"Kyrie Irving","Dallas Mavericks",50,207,37.1,274,1.324,207,94,113,45.4,66.2,0,0,0,0,45.4,14,8,6,57.1,193,86,107,44.6,0.93
33,2,"Kawhi Leonard","Los Angeles Clippers",44,149,32.4,197,1.322,149,68,81,45.6,66.1,0,0,0,0,45.6,14,7,7,50,135,61,74,45.2,0.91
33,32,"Aaron Gordon","Denver Nuggets",65,171,61.5,226,1.322,171,77,94,45,66.1,0,0,0,0,45,9,5,4,55.6,162,72,90,44.4,0.95
35,8,"De'Anthony Melton","Golden State Warriors",6,25,69.4,33,1.32,25,11,14,44,66,0,0,0,0,44,0,0,0,,25,11,14,44,1
36,40,"Harrison Barnes","San Antonio Spurs",82,314,81.8,414,1.318,314,138,176,43.9,65.9,0,0,0,0,43.9,0,0,0,,314,138,176,43.9,1
37,5,"Anthony Edwards","Minnesota Timberwolves",94,262,21.5,345,1.317,262,117,145,44.7,65.8,0,0,0,0,44.7,9,6,3,66.7,253,111,142,43.9,0.97
