sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,0,"Kadeem Allen","New York Knicks",19,24,40,39,1.625,24,13,11,54.2,81.3,0,0,0,0,54.2,1,0,1,0,23,13,10,56.5,0.96
2,12,"Tim Frazier","Milwaukee Bucks",23,13,28.3,21,1.615,13,7,6,53.8,80.8,0,0,0,0,53.8,0,0,0,,13,7,6,53.8,1
3,22,"Otto Porter Jr.","Chicago Bulls",15,61,40.1,98,1.607,61,34,27,55.7,80.3,0,0,0,0,55.7,8,4,4,50,53,30,23,56.6,0.87
4,7,"James Nunnally","Minnesota Timberwolves",13,10,66.7,16,1.6,10,5,5,50,75,0,10,0.1,10,50,0,0,0,,10,5,5,50,1
5,13,"Malcolm Brogdon","Milwaukee Bucks",71,207,64.1,290,1.401,207,97,110,46.9,70,0,0,0,0,46.9,3,1,2,33.3,204,96,108,47.1,0.99
6,12,"Joe Harris","Brooklyn Nets",81,356,78.4,494,1.388,356,166,190,46.6,69.2,0,0.3,0,0.3,46.6,6,5,1,83.3,350,161,189,46,0.98
7,35,"Kenneth Faried","Houston Rockets",31,19,67.9,26,1.368,19,9,10,47.4,68.4,0,0,0,0,47.4,1,1,0,100,18,8,10,44.4,0.95
8,11,"Bryn Forbes","San Antonio Spurs",89,318,49.9,433,1.362,318,144,174,45.3,67.5,0,1.3,0.01,1.3,45.3,9,3,6,33.3,309,141,168,45.6,0.97
9,24,"Buddy Hield","Sacramento Kings",82,425,44.4,578,1.36,424,196,228,46.2,67.6,0,0.9,0.01,0.9,46.4,30,15,15,50,394,181,213,45.9,0.93
10,4,"Quinn Cook","Golden State Warriors",91,148,38.2,201,1.358,148,69,79,46.6,67.6,0,0.7,0.01,0.7,46.6,11,7,4,63.6,137,62,75,45.3,0.93
11,32,"Marcus Derrickson","Golden State Warriors",11,17,65.4,23,1.353,17,8,9,47.1,67.6,0,0,0,0,47.1,2,1,1,50,15,7,8,46.7,0.88
12,44,"Bojan Bogdanovic","Indiana Pacers",85,308,50.8,414,1.344,308,141,167,45.8,67.2,0,0,0,0,45.8,13,9,4,69.2,295,132,163,44.7,0.96
12,14,"DJ Augustin","Orlando Magic",86,163,40.1,219,1.344,162,72,90,44.4,66.7,0,0.6,0.02,0.6,44.8,0,0,0,,162,72,90,44.4,1
14,31,"Seth Curry","Portland Trail Blazers",90,202,47.2,271,1.342,201,90,111,44.8,67.2,0,1,0.02,1,45,7,0,7,0,194,90,104,46.4,0.97
15,4,"JaMychal Green","Los Angeles Clippers",30,95,81.9,127,1.337,95,43,52,45.3,66.8,0,0,0,0,45.3,3,2,1,66.7,92,41,51,44.6,0.97
16,20,"Landry Shamet","Los Angeles Clippers",31,149,73.8,198,1.329,149,66,83,44.3,66.1,0,0.7,0.01,0.7,44.3,2,1,1,50,147,65,82,44.2,0.99
16,2,"Collin Sexton","Cleveland Cavaliers",82,143,21.3,190,1.329,143,64,79,44.8,66.4,0,0,0,0,44.8,6,2,4,33.3,137,62,75,45.3,0.96
18,13,"Henry Ellenson","New York Knicks",17,31,72.1,41,1.323,31,14,17,45.2,66.1,0,0,0,0,45.2,1,1,0,100,30,13,17,43.3,0.97
19,7,"Dwayne Bacon","Charlotte Hornets",43,48,32.2,63,1.313,48,21,27,43.8,65.6,0,0,0,0,43.8,0,0,0,,48,21,27,43.8,1
20,11,"Meyers Leonard","Portland Trail Blazers",72,142,88.2,186,1.31,142,63,79,44.4,65.5,0,0,0,0,44.4,7,3,4,42.9,135,60,75,44.4,0.95
20,21,"TJ Warren","Phoenix Suns",43,155,58.5,203,1.31,154,67,87,43.5,64.9,0,1.3,0.03,1.3,43.9,1,1,0,100,153,66,87,43.1,0.99
22,14,"Allonzo Trier","New York Knicks",64,62,21.8,81,1.306,62,27,35,43.5,65.3,0,0,0,0,43.5,0,0,0,,62,27,35,43.5,1
23,4,"Alex Caruso","Los Angeles Lakers",25,30,38.5,39,1.3,30,13,17,43.3,65,0,0,0,0,43.3,2,0,2,0,28,13,15,46.4,0.93
23,45,"Thomas Welsh","Denver Nuggets",10,10,100,13,1.3,10,5,5,50,65,0,0,0,0,50,3,2,1,66.7,7,3,4,42.9,0.7
25,42,"Davis Bertans","San Antonio Spurs",81,316,80,410,1.297,315,136,179,43.2,64.1,0,1.6,0.02,1.6,43.4,11,4,7,36.4,304,132,172,43.4,0.97
25,14,"Danny Green","Toronto Raptors",104,478,76.2,620,1.297,478,209,269,43.7,64.9,0,0,0,0,43.7,17,7,10,41.2,461,202,259,43.8,0.96
27,22,"Tyler Dorsey","Memphis Grizzlies",21,71,60.2,92,1.296,71,31,40,43.7,64.8,0,0,0,0,43.7,1,1,0,100,70,30,40,42.9,0.99
28,30,"Stephen Curry","Golden State Warriors",91,620,48.7,801,1.292,618,268,350,43.4,63.7,0,1.6,0.02,1.6,43.5,42,17,25,40.5,576,251,325,43.6,0.93
29,33,"Dante Cunningham","San Antonio Spurs",69,76,95,98,1.289,76,33,43,43.4,64.5,0,0,0,0,43.4,11,1,10,9.1,65,32,33,49.2,0.86
30,12,"Taurean Prince","Atlanta Hawks",55,204,49.5,261,1.279,204,87,117,42.6,64,0,0,0,0,42.6,1,0,1,0,203,87,116,42.9,1
31,25,"Malik Beasley","Denver Nuggets",95,372,66.4,473,1.272,372,159,213,42.7,63.6,0,0,0,0,42.7,8,4,4,50,364,155,209,42.6,0.98
32,55,"E'Twaun Moore","New Orleans Pelicans",53,149,56.4,189,1.268,149,64,85,43,63.4,0,0.7,0.01,0.7,43,6,3,3,50,143,61,82,42.7,0.96
33,4,"Milos Teodosic","Los Angeles Clippers",15,19,55.9,24,1.263,19,8,11,42.1,63.2,0,0,0,0,42.1,0,0,0,,19,8,11,42.1,1
34,5,"Luke Kennard","Detroit Pistons",67,206,46.6,260,1.262,205,86,119,42,62.7,0,0.5,0.01,0.5,42.2,6,1,5,16.7,199,85,114,42.7,0.97
35,51,"Ryan Arcidiacono","Chicago Bulls",81,166,60.8,209,1.259,165,69,96,41.8,62.4,0,0.6,0.02,0.6,42.2,1,1,0,100,164,68,96,41.5,0.99
36,9,"Antonio Blakeney","Chicago Bulls",57,66,25.1,83,1.258,66,28,38,42.4,62.9,0,1.5,0.02,1.5,42.4,5,1,4,20,61,27,34,44.3,0.92
