sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,33,"Caleb Houstan","Atlanta Hawks",10,10,83.3,18,1.8,10,6,4,60,90,0,0,0,0,60,0,0,0,,10,6,4,60,1
2,23,"Eric Gordon","Philadelphia 76ers",6,13,92.9,21,1.615,13,7,6,53.8,80.8,0,0,0,0,53.8,0,0,0,,13,7,6,53.8,1
3,35,"Pete Nance","Milwaukee Bucks",12,12,100,18,1.5,12,6,6,50,75,0,0,0,0,50,0,0,0,,12,6,6,50,1
3,32,"Jeff Green","Houston Rockets",15,16,94.1,24,1.5,16,8,8,50,75,0,0,0,0,50,0,0,0,,16,8,8,50,1
3,11,"Gary Harris","Milwaukee Bucks",32,34,89.5,51,1.5,34,17,17,50,75,0,0,0,0,50,0,0,0,,34,17,17,50,1
3,4,"Jalen Green","Phoenix Suns",3,10,45.5,15,1.5,10,5,5,50,75,0,0,0,0,50,0,0,0,,10,5,5,50,1
7,5,"Anthony Edwards","Minnesota Timberwolves",35,93,21.2,139,1.495,93,47,46,50.5,74.7,0,0,0,0,50.5,6,2,4,33.3,87,45,42,51.7,0.94
8,12,"Collin Gillespie","Phoenix Suns",44,164,43,238,1.451,164,80,84,48.8,72.3,0,0.6,0.01,0.6,48.8,4,3,1,75,160,77,83,48.1,0.98
9,52,"Luka Garza","Boston Celtics",34,50,100,72,1.44,50,24,26,48,72,0,0,0,0,48,0,0,0,,50,24,26,48,1
10,4,"Luke Kennard","Atlanta Hawks",39,112,70.4,161,1.438,112,54,58,48.2,71,0,1.8,0.02,1.8,48.2,4,3,1,75,108,51,57,47.2,0.96
11,0,"Max Christie","Dallas Mavericks",40,172,70.2,246,1.43,172,82,90,47.7,71.5,0,0,0,0,47.7,0,0,0,,172,82,90,47.7,1
12,27,"Jordan Walsh","Boston Celtics",37,59,92.2,84,1.424,58,27,31,46.6,69.8,0,1.7,0.05,1.7,47.5,0,0,0,,58,27,31,46.6,1
13,34,"Giannis Antetokounmpo","Milwaukee Bucks",28,19,23.2,27,1.421,19,9,10,47.4,71.1,0,0,0,0,47.4,0,0,0,,19,9,10,47.4,1
14,93,"Noah Penda","Orlando Magic",27,36,70.6,51,1.417,36,17,19,47.2,70.8,0,0,0,0,47.2,0,0,0,,36,17,19,47.2,1
15,15,"Nikola Jokic","Denver Nuggets",32,137,69.9,194,1.416,137,69,68,50.4,70.1,0,1.5,0.01,1.5,50.4,19,15,4,78.9,118,54,64,45.8,0.86
