sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,7,"Justin Holiday","Chicago Bulls",27,46,48.4,70,1.522,46,24,22,52.2,76.1,0,0,0,0,52.2,2,2,0,100,44,22,22,50,0.96
2,30,"Troy Daniels","Charlotte Hornets",47,127,75.6,192,1.512,127,69,58,54.3,75.6,0,0,0,0,54.3,24,15,9,62.5,103,54,49,52.4,0.81
3,6,"Steve Novak","Oklahoma City Thunder",7,10,83.3,15,1.5,10,5,5,50,75,0,0,0,0,50,1,0,1,0,9,5,4,55.6,0.9
4,4,"JJ Redick","Los Angeles Clippers",81,471,57,669,1.42,471,243,228,51.6,70.3,0,1.9,0.02,1.9,51.6,121,67,54,55.4,350,176,174,50.3,0.74
5,0,"Jeff Teague","Atlanta Hawks",89,131,26.5,182,1.389,130,61,69,46.9,70,0.8,0,0,0,46.6,4,1,3,25,126,60,66,47.6,0.97
6,3,"Chris Paul","Los Angeles Clippers",78,92,9.9,127,1.38,92,44,48,47.8,69,0,0,0,0,47.8,9,5,4,55.6,83,39,44,47,0.9
7,30,"Seth Curry","Sacramento Kings",44,91,54.2,125,1.374,91,43,48,47.3,68.7,0,0,0,0,47.3,10,4,6,40,81,39,42,48.1,0.89
8,55,"Brandon Jennings","Orlando Magic",25,43,35.2,59,1.372,43,20,23,46.5,68.6,0,0,0,0,46.5,1,1,0,100,42,19,23,45.2,0.98
9,30,"Stephen Curry","Golden State Warriors",97,471,35.9,645,1.369,469,217,252,46.3,68,0,0.8,0.02,0.8,46.5,32,13,19,40.6,437,204,233,46.7,0.93
10,4,"James Ennis","New Orleans Pelicans",9,41,71.9,56,1.366,41,19,22,46.3,68.3,0,0,0,0,46.3,3,1,2,33.3,38,18,20,47.4,0.93
11,34,"Josh Huestis","Oklahoma City Thunder",7,11,91.7,15,1.364,11,5,6,45.5,68.2,0,0,0,0,45.5,3,0,3,0,8,5,3,62.5,0.73
12,16,"Toney Douglas","New Orleans Pelicans",61,94,31.9,127,1.351,94,43,51,45.7,67.6,0,1.1,0.01,1.1,45.7,4,2,2,50,90,41,49,45.6,0.96
13,23,"John Jenkins","Phoenix Suns",22,26,40,35,1.346,26,14,12,53.8,67.3,0,0,0,0,53.8,10,7,3,70,16,7,9,43.8,0.62
14,19,"Jerryd Bayless","Milwaukee Bucks",52,207,66.3,276,1.333,207,94,113,45.4,66.4,0,0.5,0,0.5,45.4,18,7,11,38.9,189,87,102,46,0.91
15,21,"TJ Warren","Phoenix Suns",47,79,37.1,105,1.329,79,39,40,49.4,66.5,0,0,0,0,49.4,18,12,6,66.7,61,27,34,44.3,0.77
16,55,"ETwaun Moore","Chicago Bulls",59,95,44.6,126,1.326,95,43,52,45.3,66.3,0,0,0,0,45.3,7,3,4,42.9,88,40,48,45.5,0.93
16,5,"JR Smith","Cleveland Cavaliers",98,521,62.8,691,1.326,521,233,288,44.7,66.2,0,0.2,0,0.2,44.7,16,9,7,56.3,505,224,281,44.4,0.97
18,20,"Manu Ginobili","San Antonio Spurs",68,156,56.5,205,1.314,156,70,86,44.9,65.4,0,0.6,0.01,0.6,44.9,10,6,4,60,146,64,82,43.8,0.94
19,2,"Kawhi Leonard","San Antonio Spurs",82,309,41.1,405,1.311,309,142,167,46,65.4,0,0.3,0,0.3,46,50,22,28,44,259,120,139,46.3,0.84
20,3,"George Hill","Indiana Pacers",81,269,52.3,351,1.305,269,119,150,44.2,65.2,0,0,0,0,44.2,14,6,8,42.9,255,113,142,44.3,0.95
21,14,"Michael Kidd-Gilchrist","Charlotte Hornets",7,10,52.6,13,1.3,10,5,5,50,65,0,0,0,0,50,3,2,1,66.7,7,3,4,42.9,0.7
22,0,"Josh Richardson","Miami Heat",66,165,67.6,214,1.297,165,73,92,44.2,64.8,0,0.6,0.01,0.6,44.2,14,5,9,35.7,151,68,83,45,0.92
23,15,"Matt Bonner","San Antonio Spurs",30,41,89.1,53,1.293,41,19,22,46.3,64.6,0,0,0,0,46.3,6,4,2,66.7,35,15,20,42.9,0.85
24,15,"Kemba Walker","Charlotte Hornets",88,243,25.1,313,1.288,243,106,137,43.6,64.4,0,0,0,0,43.6,9,5,4,55.6,234,101,133,43.2,0.96
25,8,"Channing Frye","Cleveland Cavaliers",43,167,91.8,215,1.287,167,74,93,44.3,64.4,0,0,0,0,44.3,12,7,5,58.3,155,67,88,43.2,0.93
26,18,"Matthew Dellavedova","Cleveland Cavaliers",96,205,59.8,260,1.268,205,89,116,43.4,63.4,0,0,0,0,43.4,15,7,8,46.7,190,82,108,43.2,0.93
27,17,"Jonathan Simmons","San Antonio Spurs",58,45,56.3,57,1.267,45,19,26,42.2,63.3,0,0,0,0,42.2,2,0,2,0,43,19,24,44.2,0.96
28,10,"Sonny Weems","Phoenix Suns",36,34,59.6,43,1.265,34,15,19,44.1,63.2,0,0,0,0,44.1,3,2,1,66.7,31,13,18,41.9,0.91
29,14,"DJ Augustin","Oklahoma City Thunder",34,38,48.7,48,1.263,38,16,22,42.1,63.2,0,0,0,0,42.1,1,0,1,0,37,16,21,43.2,0.97
30,6,"Darrun Hilliard","Detroit Pistons",38,42,51.2,53,1.262,42,18,24,42.9,63.1,0,0,0,0,42.9,3,1,2,33.3,39,17,22,43.6,0.93
