sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,5,"Austin Daye","Detroit Pistons",24,43,61.4,63,1.465,43,22,21,51.2,73.3,0,0,0,0,51.2,8,3,5,37.5,35,19,16,54.3,0.81
2,8,"Jose Calderon","Detroit Pistons",28,105,54.1,150,1.429,105,52,53,49.5,71.4,0,0,0,0,49.5,20,6,14,30,85,46,39,54.1,0.81
3,55,"Keyon Dooling","Memphis Grizzlies",21,19,54.3,27,1.421,19,9,10,47.4,71.1,0,0,0,0,47.4,1,0,1,0,18,9,9,50,0.95
4,10,"Steve Nash","Los Angeles Lakers",52,104,29.4,146,1.404,104,51,53,49,70.2,0,0,0,0,49,9,7,2,77.8,95,44,51,46.3,0.91
5,0,"Jeremy Pargo","Philadelphia 76ers",14,13,38.2,18,1.385,13,6,7,46.2,69.2,0,0,0,0,46.2,1,0,1,0,12,6,6,50,0.92
6,2,"Jarrett Jack","Golden State Warriors",92,139,19.3,189,1.36,139,68,71,48.9,68,0,0,0,0,48.9,24,15,9,62.5,115,53,62,46.1,0.83
7,30,"Stephen Curry","Golden State Warriors",90,397,32.9,535,1.348,396,187,209,47.2,67.3,0,0.3,0.01,0.3,47.4,59,28,31,47.5,337,159,178,47.2,0.85
8,5,"Steve Blake","Los Angeles Lakers",48,153,60.2,206,1.346,153,70,83,45.8,67.3,0,0.7,0.01,0,45.8,10,4,6,40,143,66,77,46.2,0.93
9,14,"Danny Green","San Antonio Spurs",101,506,81,678,1.34,505,230,275,45.5,66.9,0,0.4,0.01,0.4,45.7,27,14,13,51.9,478,216,262,45.2,0.95
10,8,"Shelvin Mack","Atlanta Hawks",24,15,22.1,20,1.333,15,7,8,46.7,66.7,0,0,0,0,46.7,2,1,1,50,13,6,7,46.2,0.87
10,15,"Matt Bonner","San Antonio Spurs",89,186,87.7,248,1.333,186,90,96,48.4,66.7,0,0,0,0,48.4,35,22,13,62.9,151,68,83,45,0.81
10,3,"Aaron Brooks","Sacramento Kings",47,63,33.5,84,1.333,63,28,35,44.4,66.7,0,0,0,0,44.4,1,0,1,0,62,28,34,45.2,0.98
13,3,"Louis Williams","Atlanta Hawks",39,106,35.7,141,1.33,106,49,57,46.2,66.5,0,0,0,0,46.2,12,6,6,50,94,43,51,45.7,0.89
14,9,"Martell Webster","Washington Wizards",76,341,76.3,451,1.323,339,154,185,45.4,64.6,0,2.9,0.04,2.9,45.7,44,24,20,54.5,295,130,165,44.1,0.87
15,26,"Kyle Korver","Atlanta Hawks",81,531,86.2,693,1.305,531,249,282,46.9,65,0,0.6,0.01,0.6,46.9,107,57,50,53.3,424,192,232,45.3,0.8
16,8,"Roger Mason Jr","New Orleans Pelicans",69,191,74.6,248,1.298,190,91,99,47.9,63.9,0,2.1,0.03,2.1,48.2,56,30,26,53.6,134,61,73,45.5,0.71
17,5,"John Lucas III","Toronto Raptors",63,107,39.6,138,1.29,107,47,60,43.9,64,0,0.9,0.01,0.9,43.9,12,4,8,33.3,95,43,52,45.3,0.89
18,11,"Jrue Holiday","Philadelphia 76ers",78,94,12.4,121,1.287,94,44,50,46.8,64.4,0,0,0,0,46.8,26,11,15,42.3,68,33,35,48.5,0.72
19,7,"Kyle Lowry","Toronto Raptors",69,134,34.1,172,1.284,134,58,76,43.3,63.8,0,0.7,0.01,0.7,43.3,12,3,9,25,122,55,67,45.1,0.91
19,23,"Kevin Martin","Oklahoma City Thunder",88,395,62.4,507,1.284,393,173,220,44,63.7,0,0.5,0.02,0.5,44.3,50,18,32,36,343,155,188,45.2,0.87
21,21,"Iman Shumpert","New York Knicks",58,152,60.6,194,1.276,152,66,86,43.4,63.8,0,0,0,0,43.4,8,4,4,50,144,62,82,43.1,0.95
22,7,"Royal Ivey","Philadelphia 76ers",54,89,78.1,113,1.27,89,38,51,42.7,63.5,0,0,0,0,42.7,5,1,4,20,84,37,47,44,0.94
23,32,"Francisco Garcia","Houston Rockets",24,101,79.5,127,1.257,101,44,57,43.6,62.9,0,0,0,0,43.6,6,5,1,83.3,95,39,56,41.1,0.94
24,1,"CJ Watson","Brooklyn Nets",88,210,59,263,1.252,210,91,119,43.3,62.6,0,0,0,0,43.3,26,10,16,38.5,184,81,103,44,0.88
25,8,"Jose Calderon","Toronto Raptors",45,175,48.7,219,1.251,175,79,96,45.1,62.6,0,0,0,0,45.1,30,18,12,60,145,61,84,42.1,0.83
25,13,"Mike Miller","Miami Heat",76,211,88.3,264,1.251,211,89,122,42.2,62.6,0,0,0,0,42.2,7,3,4,42.9,204,86,118,42.2,0.97
27,34,"Ray Allen","Miami Heat",102,413,70.1,515,1.247,413,175,238,42.4,62,0,0.7,0.01,0.7,42.4,37,13,24,35.1,376,162,214,43.1,0.91
28,12,"John Jenkins","Atlanta Hawks",65,134,59.6,167,1.246,133,60,73,45.1,60.9,0,3,0.05,3,45.5,28,18,10,64.3,105,42,63,40,0.79
29,13,"Mike James","Dallas Mavericks",45,106,62.7,132,1.245,106,44,62,41.5,62.3,0,0,0,0,41.5,2,0,2,0,104,44,60,42.3,0.98
29,6,"Derek Fisher","Oklahoma City Thunder",35,98,64.1,122,1.245,98,42,56,42.9,61.7,0,1,0.01,1,42.9,9,5,4,55.6,89,37,52,41.6,0.91
31,1,"Jordan Hamilton","Denver Nuggets",52,67,63.2,83,1.239,67,28,39,41.8,61.9,0,0,0,0,41.8,6,1,5,16.7,61,27,34,44.3,0.91
32,35,"Kevin Durant","Oklahoma City Thunder",92,384,38.6,475,1.237,384,177,207,46.1,61.3,0,1.6,0.02,1.6,46.1,118,60,58,50.8,266,117,149,44,0.69
33,16,"Steve Novak","New York Knicks",90,368,84.2,455,1.236,368,155,213,42.1,61.7,0,0.3,0,0.3,42.1,38,11,27,28.9,330,144,186,43.6,0.9
34,0,"Russell Westbrook","Oklahoma City Thunder",85,130,15.8,160,1.231,130,54,76,41.5,61.5,0,0,0,0,41.5,5,2,3,40,125,52,73,41.6,0.96
35,14,"Chris Copeland","New York Knicks",65,170,73.6,209,1.229,170,73,97,42.9,61.2,0,0.6,0.01,0.6,42.9,26,11,15,42.3,144,62,82,43.1,0.85
36,31,"Shane Battier","Miami Heat",95,392,95.4,480,1.224,392,160,232,40.8,61.2,0,0.3,0,0.3,40.8,3,0,3,0,389,160,229,41.1,0.99
36,14,"DJ Augustin","Indiana Pacers",95,183,67.3,224,1.224,183,75,108,41,61.2,0,0,0,0,41,1,1,0,100,182,74,108,40.7,0.99
38,2,"Wesley Matthews","Portland Trail Blazers",69,346,63.3,423,1.223,346,143,203,41.3,61.1,0,0,0,0,41.3,16,6,10,37.5,330,137,193,41.5,0.95
39,6,"Lebron James","Miami Heat",99,199,26,243,1.221,199,88,111,44.2,60.8,0,0.5,0.01,0.5,44.2,46,22,24,47.8,153,66,87,43.1,0.77
40,1,"Darius Morris","Los Angeles Lakers",58,64,57.1,78,1.219,64,26,38,40.6,60.9,0,0,0,0,40.6,2,0,2,0,62,26,36,41.9,0.97
41,2,"Kyrie Irving","Cleveland Cavaliers",61,125,19.5,152,1.216,125,54,71,43.2,60.8,0,0,0,0,43.2,26,10,16,38.5,99,44,55,44.4,0.79
42,0,"CJ Miles","Cleveland Cavaliers",70,306,69.7,371,1.212,306,128,178,41.8,60.5,0,0.3,0,0.3,41.8,33,14,19,42.4,273,114,159,41.8,0.89
43,31,"Sebastian Telfair","Phoenix Suns",46,62,34.1,75,1.21,62,26,36,41.9,60.5,0,0,0,0,41.9,5,3,2,60,57,23,34,40.4,0.92
44,2,"Nate Robinson","Chicago Bulls",94,278,38.3,336,1.209,278,115,163,41.4,60.3,0,0.4,0,0.4,41.4,36,10,26,27.8,242,105,137,43.4,0.87
45,21,"Wayne Ellington","Cleveland Cavaliers",38,104,41.1,125,1.202,104,45,59,43.3,60.1,0,0,0,0,43.3,19,10,9,52.6,85,35,50,41.2,0.82
46,21,"Wilson Chandler","Denver Nuggets",49,159,61.6,191,1.201,159,65,94,40.9,59.7,0,0.6,0.01,0.6,40.9,15,5,10,33.3,144,60,84,41.7,0.91
47,0,"Toney Douglas","Sacramento Kings",23,25,36.2,30,1.2,25,10,15,40,60,0,0,0,0,40,0,0,0,,25,10,15,40,1
48,8,"Quincy Pondexter","Memphis Grizzlies",74,196,77.2,235,1.199,196,79,117,40.3,59.7,0,0.5,0.01,0.5,40.3,6,3,3,50,190,76,114,40,0.97
49,34,"Willie Green","Los Angeles Clippers",75,222,78.2,266,1.198,222,99,123,44.6,59.9,0,0.5,0,0.5,44.6,61,31,30,50.8,161,68,93,42.2,0.73
49,3,"Wayne Ellington","Memphis Grizzlies",40,96,62.7,115,1.198,96,41,55,42.7,59.9,0,0,0,0,42.7,19,8,11,42.1,77,33,44,42.9,0.8
51,11,"Jose Juan Barea","Minnesota Timberwolves",74,138,33.1,165,1.196,138,56,82,40.6,59.8,0,0,0,0,40.6,12,3,9,25,126,53,73,42.1,0.91
52,5,"Maurice Williams","Utah Jazz",46,128,35.1,153,1.195,128,55,73,43,59.8,0,0,0,0,43,34,12,22,35.3,94,43,51,45.7,0.73
53,13,"James Harden","Houston Rockets",84,201,26.2,240,1.194,200,80,120,40,59.3,0,1.5,0.03,1.5,40.3,7,3,4,42.9,193,77,116,39.9,0.97
54,15,"Mario Chalmers","Miami Heat",100,316,70.7,377,1.193,315,127,188,40.3,59.4,0,0.3,0.01,0.3,40.5,17,7,10,41.2,298,120,178,40.3,0.95
54,21,"Darius Miller","New Orleans Pelicans",53,57,72.2,68,1.193,57,23,34,40.4,58.8,0,1.8,0.02,1.8,40.4,4,2,2,50,53,21,32,39.6,0.93
56,10,"Carlos Delfino","Houston Rockets",72,415,77,493,1.188,415,167,248,40.2,59.4,0,0,0,0,40.2,18,8,10,44.4,397,159,238,40.1,0.96
57,20,"Manu Ginobili","San Antonio Spurs",81,238,54,282,1.185,238,97,141,40.8,59,0,0.4,0,0.4,40.8,20,10,10,50,218,87,131,39.9,0.92
58,1,"Doron Lamb","Orlando Magic",24,22,61.1,26,1.182,22,9,13,40.9,59.1,0,0,0,0,40.9,6,1,5,16.7,16,8,8,50,0.73
59,1,"Chauncey Billups","Los Angeles Clippers",41,84,64.1,99,1.179,84,35,49,41.7,58.9,0,0,0,0,41.7,7,6,1,85.7,77,29,48,37.7,0.92
60,25,"Thabo Sefolosha","Oklahoma City Thunder",92,300,84.7,353,1.177,299,119,180,39.8,59,0.3,0,0,0,39.7,21,4,17,19,278,115,163,41.4,0.93
61,25,"Nando De Colo","San Antonio Spurs",77,86,55.1,101,1.174,86,36,50,41.9,58.7,0,0,0,0,41.9,14,7,7,50,72,29,43,40.3,0.84
61,8,"Randy Foye","Utah Jazz",82,459,75.9,539,1.174,459,191,268,41.6,58.7,0,0.2,0,0.2,41.6,80,34,46,42.5,379,157,222,41.4,0.83
61,5,"Jannero Pargo","Charlotte Hornets",18,46,38,54,1.174,46,18,28,39.1,58.7,0,0,0,0,39.1,3,0,3,0,43,18,25,41.9,0.93
64,7,"JJ Redick","Orlando Magic",50,260,55.1,305,1.173,260,108,152,41.5,57.9,0,1.5,0.02,1.5,41.5,45,23,22,51.1,215,85,130,39.5,0.83
65,15,"Toney Douglas","Houston Rockets",49,123,56.9,144,1.171,123,48,75,39,58.5,0,0,0,0,39,5,0,5,0,118,48,70,40.7,0.96
65,21,"Greivis Vasquez","New Orleans Pelicans",78,164,40.3,192,1.171,164,67,97,40.9,58.2,0,0.6,0.01,0.6,40.9,27,10,17,37,137,57,80,41.6,0.84
67,15,"Donald Sloan","Cleveland Cavaliers",20,18,45,21,1.167,18,7,11,38.9,58.3,0,5.6,0.06,5.6,38.9,2,0,2,0,16,7,9,43.8,0.89
68,17,"Mike Dunleavy","Milwaukee Bucks",79,375,76.2,437,1.165,375,154,221,41.1,57.9,0,0.8,0.01,0.8,41.1,89,28,61,31.5,286,126,160,44.1,0.76
69,4,"Jason Terry","Boston Celtics",85,373,63.5,434,1.164,373,160,213,42.9,58,0,0.3,0,0.3,42.9,87,47,40,54,286,113,173,39.5,0.77
70,88,"Nicolas Batum","Portland Trail Blazers",73,404,66.9,470,1.163,403,161,242,40,57.4,0.2,1.2,0.02,0.7,40.3,54,20,34,37,349,141,208,40.4,0.87
71,11,"Klay Thompson","Golden State Warriors",94,698,66.9,810,1.16,698,301,397,43.1,58,0,0.1,0,0.1,43.1,214,93,121,43.5,484,208,276,43,0.69
71,6,"Derek Fisher","Dallas Mavericks",9,25,51,29,1.16,25,10,15,40,58,0,0,0,0,40,4,1,3,25,21,9,12,42.9,0.84
73,6,"Eric Maynor","Portland Trail Blazers",27,44,51.2,51,1.159,44,17,27,38.6,58,0,0,0,0,38.6,0,0,0,,44,17,27,38.6,1
73,11,"Orlando Johnson","Indiana Pacers",63,82,59.4,95,1.159,82,32,50,39,57.3,0,1.2,0.01,1.2,39,6,2,4,33.3,76,30,46,39.5,0.93
75,21,"Chris Duhon","Los Angeles Lakers",48,76,66.7,88,1.158,76,30,46,39.5,57.9,0,0,0,0,39.5,3,2,1,66.7,73,28,45,38.4,0.96
75,32,"OJ Mayo","Dallas Mavericks",82,317,44.4,367,1.158,317,131,186,41.3,57.9,0,0,0,0,41.3,62,26,36,41.9,255,105,150,41.2,0.8
77,8,"Jeff Green","Boston Celtics",87,216,55,250,1.157,216,89,127,41.2,57.9,0,0,0,0,41.2,44,17,27,38.6,172,72,100,41.9,0.8
77,7,"Carmelo Anthony","New York Knicks",79,427,40.9,494,1.157,427,186,241,43.6,57.8,0,0,0,0,43.6,125,64,61,51.2,302,122,180,40.4,0.71
79,25,"Vince Carter","Dallas Mavericks",81,304,54.7,351,1.155,304,121,183,39.8,57.7,0,0,0,0,39.8,19,12,7,63.2,285,109,176,38.2,0.94
80,12,"Kirk Hinrich","Chicago Bulls",64,171,49.1,197,1.152,171,68,103,39.8,57.6,0,0,0,0,39.8,17,7,10,41.2,154,61,93,39.6,0.9
81,2,"Patrick Beverley","Houston Rockets",47,106,68.4,122,1.151,106,41,65,38.7,57.5,0,0,0,0,38.7,3,1,2,33.3,103,40,63,38.8,0.97
82,4,"Darren Collison","Dallas Mavericks",81,133,35.8,153,1.15,133,57,76,42.9,57.5,0,0,0,0,42.9,40,18,22,45,93,39,54,41.9,0.7
83,9,"Pablo Prigioni","New York Knicks",89,67,34.5,77,1.149,67,26,41,38.8,57.5,0,0,0,0,38.8,4,1,3,25,63,25,38,39.7,0.94
84,5,"Austin Daye","Memphis Grizzlies",35,61,64.2,70,1.148,61,25,36,41,57.4,0,0,0,0,41,8,5,3,62.5,53,20,33,37.7,0.87
85,5,"John Salmons","Sacramento Kings",76,239,53.2,274,1.146,239,93,146,38.9,56.9,0,0.8,0.01,0.8,38.9,20,7,13,35,219,86,133,39.3,0.92
