sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,5,"Jannero Pargo","Charlotte Hornets",9,13,38.2,24,1.846,13,8,5,61.5,92.3,0,0,0,0,61.5,0,0,0,,13,8,5,61.5,1
2,16,"Steve Novak","Utah Jazz",22,28,80,45,1.607,28,15,13,53.6,80.4,0,0,0,0,53.6,1,0,1,0,27,15,12,55.6,0.96
3,8,"Luke Babbitt","New Orleans Pelicans",63,116,77.9,179,1.543,116,61,55,52.6,77.2,0,0,0,0,52.6,6,4,2,66.7,110,57,53,51.8,0.95
4,12,"A.J. Price","Indiana Pacers",10,23,30.7,33,1.435,23,11,12,47.8,69.6,0,4.3,0.04,4.3,47.8,2,1,1,50,21,10,11,47.6,0.91
5,18,"Victor  Claver","Portland Trail Blazers",10,14,100,20,1.429,14,7,7,50,71.4,0,0,0,0,50,3,1,2,33.3,11,6,5,54.5,0.79
6,1,"Jordan Hamilton","Los Angeles Clippers",14,15,53.6,21,1.4,15,7,8,46.7,70,0,0,0,0,46.7,0,0,0,,15,7,8,46.7,1
7,70,"Luigi Datome","Boston Celtics",21,38,58.5,53,1.395,38,18,20,47.4,69.7,0,0,0,0,47.4,3,1,2,33.3,35,17,18,48.6,0.92
8,10,"Eric Gordon","New Orleans Pelicans",65,299,61.1,416,1.391,299,140,159,46.8,69.4,0,0.3,0,0.3,46.8,17,5,12,29.4,282,135,147,47.9,0.94
9,2,"Kyrie Irving","Cleveland Cavaliers",88,215,26.3,298,1.386,215,101,114,47,69.3,0,0,0,0,47,12,5,7,41.7,203,96,107,47.3,0.94
10,9,"Pablo Prigioni","New York Knicks",43,78,58.2,108,1.385,78,37,41,47.4,69.2,0,0,0,0,47.4,4,3,1,75,74,34,40,45.9,0.95
11,26,"Kyle Korver","Atlanta Hawks",89,529,77.2,727,1.374,528,250,278,47.3,68.4,0,0.6,0.01,0.6,47.4,54,28,26,51.9,474,222,252,46.8,0.9
12,15,"Hedo Turkoglu","Los Angeles Clippers",73,110,61.5,151,1.373,110,51,59,46.4,68.6,0,0,0,0,46.4,2,2,0,100,108,49,59,45.4,0.98
13,1,"Alexey Shved","New York Knicks",16,35,36.8,48,1.371,35,16,19,45.7,68.6,0,0,0,0,45.7,1,0,1,0,34,16,18,47.1,0.97
14,23,"Chris Johnson","Utah Jazz",4,11,84.6,15,1.364,11,5,6,45.5,68.2,0,0,0,0,45.5,0,0,0,,11,5,6,45.5,1
15,11,"Meyers Leonard","Portland Trail Blazers",61,141,84.4,191,1.355,141,68,73,48.2,67.4,0,0.7,0.01,0.7,48.2,23,14,9,60.9,118,54,64,45.8,0.84
16,12,"Tayshaun Prince","Boston Celtics",9,20,51.3,27,1.35,20,11,9,55,67.5,0,0,0,0,55,13,6,7,46.2,7,5,2,71.4,0.35
17,2,"Anthony Morrow","Oklahoma City Thunder",74,351,72.2,470,1.339,349,163,186,46.7,66.2,0,1.4,0.03,1.4,47,54,27,27,50,295,136,159,46.1,0.85
18,30,"Troy Daniels","Charlotte Hornets",11,33,63.5,44,1.333,33,16,17,48.5,66.7,0,0,0,0,48.5,6,4,2,66.7,27,12,15,44.4,0.82
19,30,"Stephen Curry","Golden State Warriors",101,445,36.3,591,1.328,444,202,242,45.5,65.9,0,1.1,0.02,1.1,45.6,57,21,36,36.8,387,181,206,46.8,0.87
20,3,"Chris Paul","Los Angeles Clippers",94,146,13.6,192,1.315,146,66,80,45.2,65.8,0,0,0,0,45.2,10,6,4,60,136,60,76,44.1,0.93
21,11,"Ricky Ledo","New York Knicks",12,16,40,21,1.313,16,7,9,43.8,65.6,0,0,0,0,43.8,1,0,1,0,15,7,8,46.7,0.94
22,4,"Marcus Thornton","Boston Celtics",39,97,48.7,127,1.309,97,43,54,44.3,65.5,0,0,0,0,44.3,8,2,6,25,89,41,48,46.1,0.92
