sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,11,"Josh Magette","Atlanta Hawks",18,10,27,18,1.8,10,6,4,60,90,0,0,0,0,60,0,0,0,,10,6,4,60,1
2,30,"Aaron Brooks","Minnesota Timberwolves",34,15,34.1,24,1.6,15,8,7,53.3,80,0,0,0,0,53.3,1,0,1,0,14,8,6,57.1,0.93
3,18,"Omri Casspi","Golden State Warriors",53,17,65.4,27,1.588,17,9,8,52.9,79.4,0,0,0,0,52.9,0,0,0,,17,9,8,52.9,1
4,32,"Julyan Stone","Charlotte Hornets",23,12,92.3,18,1.5,12,6,6,50,75,0,0,0,0,50,0,0,0,,12,6,6,50,1
4,8,"Gian Clavell","Dallas Mavericks",7,10,58.8,15,1.5,10,5,5,50,75,0,0,0,0,50,0,0,0,,10,5,5,50,1
4,34,"DeAndre Liggins","New Orleans Pelicans",29,14,50,21,1.5,14,7,7,50,75,0,0,0,0,50,1,0,1,0,13,7,6,53.8,0.93
7,5,"J.J. Barea","Dallas Mavericks",69,124,26.7,185,1.492,124,62,62,50,74.6,0,0,0,0,50,4,1,3,25,120,61,59,50.8,0.97
8,31,"Tomas Satoransky","Washington Wizards",79,105,58,153,1.457,105,53,52,50.5,72.9,0,0,0,0,50.5,12,6,6,50,93,47,46,50.5,0.89
9,24,"Buddy Hield","Sacramento Kings",80,253,36.6,365,1.443,252,125,127,49.6,72,0,0.4,0.01,0.4,49.8,24,12,12,50,228,113,115,49.6,0.9
10,25,"Raul Neto","Utah Jazz",49,41,47.7,59,1.439,41,20,21,48.8,72,0,0,0,0,48.8,2,1,1,50,39,19,20,48.7,0.95
11,2,"Joe  Ingles","Utah Jazz",93,401,67.3,567,1.414,401,189,212,47.1,70.6,0,0.2,0,0.2,47.1,3,1,2,33.3,398,188,210,47.2,0.99
12,35,"Mirza Teletovic","Milwaukee Bucks",10,44,86.3,62,1.409,44,21,23,47.7,70.5,0,0,0,0,47.7,1,1,0,100,43,20,23,46.5,0.98
13,3,"George Hill","Sacramento Kings",43,89,43.4,125,1.404,89,42,47,47.2,69.7,0,1.1,0.01,1.1,47.2,4,2,2,50,85,40,45,47.1,0.96
14,25,"Derrick Rose","Minnesota Timberwolves",14,15,32.6,21,1.4,15,7,8,46.7,70,0,0,0,0,46.7,0,0,0,,15,7,8,46.7,1
15,12,"T.J. McConnell","Philadelphia 76ers",86,59,21.1,82,1.39,59,28,31,47.5,69.5,0,0,0,0,47.5,5,2,3,40,54,26,28,48.1,0.92
16,6,"Shabazz Napier","Portland Trail Blazers",76,129,33.8,178,1.38,129,60,69,46.5,68.6,0,0.8,0.01,0.8,46.5,4,3,1,75,125,57,68,45.6,0.97
17,14,"Derrick Walton Jr.","Miami Heat",16,11,44,15,1.364,11,5,6,45.5,68.2,0,0,0,0,45.5,1,0,1,0,10,5,5,50,0.91
18,20,"Doug McDermott","Dallas Mavericks",26,87,77.7,118,1.356,87,40,47,46,67.8,0,0,0,0,46,11,2,9,18.2,76,38,38,50,0.87
19,25,"Reggie Bullock","Detroit Pistons",62,263,72.5,354,1.346,263,121,142,46,67.3,0,0,0,0,46,17,9,8,52.9,246,112,134,45.5,0.94
20,35,"Kevin Durant","Golden State Warriors",89,334,31.1,448,1.341,334,160,174,47.9,66.6,0,0.9,0.01,0.9,47.9,63,35,28,55.6,271,125,146,46.1,0.81
20,81,"Jose Calderon","Cleveland Cavaliers",70,91,55.8,122,1.341,91,41,50,45.1,67,0,0,0,0,45.1,2,1,1,50,89,40,49,44.9,0.98
22,2,"Darren Collison","Indiana Pacers",76,169,35.1,226,1.337,169,78,91,46.2,66.6,0,0.6,0.01,0.6,46.2,21,9,12,42.9,148,69,79,46.6,0.88
23,43,"Anthony Tolliver","Detroit Pistons",79,362,97.1,483,1.334,360,159,201,44.2,66.1,0,1.7,0.03,1.7,44.5,3,1,2,33.3,357,158,199,44.3,0.99
24,23,"Trey Burke","New York Knicks",36,72,25.7,96,1.333,72,34,38,47.2,66.7,0,0,0,0,47.2,8,6,2,75,64,28,36,43.8,0.89
25,2,"Nik Stauskas","Brooklyn Nets",35,59,49.6,78,1.322,59,26,33,44.1,66.1,0,0,0,0,44.1,0,0,0,,59,26,33,44.1,1
26,22,"T.J. Leaf","Indiana Pacers",54,44,73.3,58,1.318,44,20,24,45.5,65.9,0,0,0,0,45.5,2,2,0,100,42,18,24,42.9,0.95
27,5,"Luke Kennard","Detroit Pistons",73,178,54.3,234,1.315,178,82,96,46.1,65.7,0,0.6,0.01,0.6,46.1,21,12,9,57.1,157,70,87,44.6,0.88
28,26,"Kyle Korver","Cleveland Cavaliers",95,447,78.4,585,1.309,446,200,246,44.8,64.9,0,0.9,0.01,0.9,45,38,21,17,55.3,408,179,229,43.9,0.91
29,7,"Wayne Selden","Memphis Grizzlies",35,88,54.7,115,1.307,88,39,49,44.3,65.3,0,0,0,0,44.3,3,2,1,66.7,85,37,48,43.5,0.97
30,21,"Patrick Beverly","Los Angeles Clippers",11,46,68.7,60,1.304,46,20,26,43.5,65.2,0,0,0,0,43.5,1,0,1,0,45,20,25,44.4,0.98
31,0,"Sean Kilpatrick","Chicago Bulls",9,30,45.5,39,1.3,30,13,17,43.3,65,0,0,0,0,43.3,1,0,1,0,29,13,16,44.8,0.97
32,13,"Jamil Wilson","Los Angeles Clippers",15,64,90.1,83,1.297,64,28,36,43.8,64.8,0,0,0,0,43.8,1,1,0,100,63,27,36,42.9,0.98
33,30,"Mike Scott","Washington Wizards",82,225,74,290,1.289,225,108,117,48,64.4,0,0,0,0,48,58,34,24,58.6,167,74,93,44.3,0.74
34,17,"JJ Redick","Philadelphia 76ers",80,439,49.8,565,1.287,436,198,238,45.4,63.4,0,1.6,0.03,1.6,45.8,78,41,37,52.6,358,157,201,43.9,0.82
35,9,"Ramon Sessions","Washington Wizards",15,14,66.7,18,1.286,14,6,8,42.9,64.3,0,0,0,0,42.9,0,0,0,,14,6,8,42.9,1
36,30,"Stephen Curry","Golden State Warriors",66,372,45.4,478,1.285,370,161,209,43.5,63.5,0,1.6,0.02,1.6,43.8,24,13,11,54.2,346,148,198,42.8,0.94
36,22,"Otto Porter Jr.","Washington Wizards",82,358,60.1,460,1.285,358,168,190,46.9,64.2,0,0,0,0,46.9,78,44,34,56.4,280,124,156,44.3,0.78
38,23,"Fred VanVleet","Toronto Raptors",82,201,63.8,258,1.284,201,86,115,42.8,63.9,0,1,0.01,1,42.8,3,1,2,33.3,198,85,113,42.9,0.99
39,14,"DJ Augustin","Orlando Magic",75,156,48.1,200,1.282,155,66,89,42.6,63.9,0,0.6,0.01,0.6,42.9,1,0,1,0,154,66,88,42.9,0.99
40,0,"Jayson Tatum","Boston Celtics",99,233,39.6,298,1.279,232,101,131,43.5,63.6,0,0.4,0.01,0.4,43.8,21,8,13,38.1,211,93,118,44.1,0.91
41,40,"Glenn Robinson III","Indiana Pacers",25,36,67.9,46,1.278,36,16,20,44.4,63.9,0,0,0,0,44.4,3,2,1,66.7,33,14,19,42.4,0.92
42,27,"Jamal Murray","Denver Nuggets",81,268,41,342,1.276,268,115,153,42.9,63.4,0,0.7,0.01,0.7,42.9,7,5,2,71.4,261,110,151,42.1,0.97
43,7,"Kyle Lowry","Toronto Raptors",88,356,46.9,454,1.275,355,150,205,42.3,63.4,0,0.8,0.01,0.8,42.4,3,0,3,0,352,150,202,42.6,0.99
44,12,"Taurean Prince","Atlanta Hawks",82,332,55.8,423,1.274,332,141,191,42.5,63.4,0,0.6,0.01,0.6,42.5,6,2,4,33.3,326,139,187,42.6,0.98
44,4,"Maurice  Harkless","Portland Trail Blazers",61,117,84.8,149,1.274,117,50,67,42.7,63.7,0,0,0,0,42.7,3,1,2,33.3,114,49,65,43,0.97
46,22,"Cameron Payne","Chicago Bulls",25,44,35.5,56,1.273,44,19,25,43.2,63.6,0,0,0,0,43.2,1,1,0,100,43,18,25,41.9,0.98
47,34,"Devin Harris","Dallas Mavericks",44,87,58,110,1.264,87,37,50,42.5,63.2,0,0,0,0,42.5,1,1,0,100,86,36,50,41.9,0.99
48,0,"Jeff Teague","Minnesota Timberwolves",75,95,26.7,120,1.263,95,41,54,43.2,63.2,0,0,0,0,43.2,4,3,1,75,91,38,53,41.8,0.96
49,4,"Milos Teodosic","Los Angeles Clippers",45,144,46.2,181,1.257,144,62,82,43.1,62.8,0,0,0,0,43.1,11,5,6,45.5,133,57,76,42.9,0.92
50,18,"Marco Belinelli","Philadelphia 76ers",38,176,57.3,221,1.256,176,80,96,45.5,61.9,0,2.3,0.02,2.3,45.5,37,22,15,59.5,139,58,81,41.7,0.79
50,25,"Chandler Parsons","Memphis Grizzlies",36,90,52.6,113,1.256,90,38,52,42.2,62.8,0,0,0,0,42.2,5,1,4,20,85,37,48,43.5,0.94
52,55,"E'Twaun Moore","New Orleans Pelicans",91,318,67.2,399,1.255,317,135,182,42.6,62.5,0,0.3,0.01,0.3,42.8,22,9,13,40.9,295,126,169,42.7,0.93
53,11,"Klay Thompson","Golden State Warriors",94,758,64.5,950,1.253,758,352,406,46.4,62.6,0,0.1,0,0.1,46.4,203,107,96,52.7,555,245,310,44.1,0.73
54,34,"Tobias Harris","Los Angeles Clippers",32,139,48.8,174,1.252,139,59,80,42.4,62.6,0,0,0,0,42.4,8,3,5,37.5,131,56,75,42.7,0.94
55,3,"Bradley Beal","Washington Wizards",88,383,35.6,479,1.251,383,164,219,42.8,62.1,0,1,0.01,1,42.8,36,16,20,44.4,347,148,199,42.7,0.91
56,24,"Kent  Bazemore","Atlanta Hawks",65,185,43.4,231,1.249,185,79,106,42.7,62.4,0,0,0,0,42.7,11,6,5,54.5,174,73,101,42,0.94
57,12,"Terry Rozier III","Boston Celtics",99,321,43.1,400,1.246,320,134,186,41.9,62.2,0,0.3,0.01,0.3,42.1,9,4,5,44.4,311,130,181,41.8,0.97
57,8,"Nemanja Bjelica","Minnesota Timberwolves",72,175,87.1,218,1.246,175,73,102,41.7,62.3,0,0,0,0,41.7,4,1,3,25,171,72,99,42.1,0.98
59,8,"Jonas Jerebko","Utah Jazz",84,169,84.9,208,1.231,169,71,98,42,61.5,0,0,0,0,42,13,5,8,38.5,156,66,90,42.3,0.92
60,12,"Joe Harris","Brooklyn Nets",78,313,79.4,385,1.23,311,127,184,40.8,61.1,0,0.6,0.02,0.3,41.2,4,1,3,25,307,126,181,41,0.99
61,4,"Quinn Cook","Golden State Warriors",50,75,32.8,92,1.227,75,31,44,41.3,61.3,0,0,0,0,41.3,3,1,2,33.3,72,30,42,41.7,0.96
62,55,"Delon Wright","Toronto Raptors",79,115,58.4,141,1.226,115,47,68,40.9,61.3,0,0,0,0,40.9,1,0,1,0,114,47,67,41.2,0.99
