sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,24,"Jalen Pickett","Denver Nuggets",30,10,28.6,20,2,10,7,3,70,100,0,0,0,0,70,1,1,0,100,9,6,3,66.7,0.9
2,12,"Danilo Gallinari","Detroit Pistons",6,11,78.6,21,1.909,11,7,4,63.6,95.5,0,0,0,0,63.6,0,0,0,,11,7,4,63.6,1
3,7,"Joe Ingles","Orlando Magic",75,122,70.1,186,1.525,122,62,60,50.8,76.2,0,0,0,0,50.8,0,0,0,,122,62,60,50.8,1
4,23,"Tre Mann","Oklahoma City Thunder",14,10,43.5,15,1.5,10,5,5,50,75,0,0,0,0,50,0,0,0,,10,5,5,50,1
4,25,"Orlando Robinson","Miami Heat",38,16,88.9,24,1.5,16,8,8,50,75,0,0,0,0,50,0,0,0,,16,8,8,50,1
6,11,"Malcolm Brogdon","Portland Trail Blazers",39,122,42.5,180,1.475,122,60,62,49.2,73.8,0,0,0,0,49.2,1,0,1,0,121,60,61,49.6,0.99
7,10,"Luke Kennard","Memphis Grizzlies",39,192,70.1,282,1.469,191,93,98,48.7,73,0,0.5,0.02,0.5,49,2,0,2,0,189,93,96,49.2,0.99
8,33,"Gordon Hayward","Oklahoma City Thunder",33,28,53.8,41,1.464,28,14,14,50,73.2,0,0,0,0,50,1,1,0,100,27,13,14,48.1,0.96
9,24,"Norman Powell","Los Angeles Clippers",82,300,60.7,432,1.44,299,144,155,48.2,71.7,0,0.3,0.01,0.3,48.3,7,3,4,42.9,292,141,151,48.3,0.98
10,0,"Dante Exum","Dallas Mavericks",76,117,74.5,168,1.436,117,56,61,47.9,71.8,0,0,0,0,47.9,1,0,1,0,116,56,60,48.3,0.99
11,41,"Kelly Olynyk","Utah Jazz",50,75,72.1,106,1.413,75,36,39,48,70.7,0,0,0,0,48,5,2,3,40,70,34,36,48.6,0.93
12,27,"Vit Krejci","Atlanta Hawks",22,54,73,76,1.407,54,25,29,46.3,69.4,0,1.9,0.02,1.9,46.3,0,0,0,,54,25,29,46.3,1
13,3,"MarJon Beauchamp","Milwaukee Bucks",52,50,50,70,1.4,50,24,26,48,70,0,0,0,0,48,3,2,1,66.7,47,22,25,46.8,0.94
14,4,"Jrue Holiday","Boston Celtics",88,207,41.4,288,1.391,207,96,111,46.4,69.6,0,0,0,0,46.4,2,0,2,0,205,96,109,46.8,0.99
15,33,"Johnny Juzang","Utah Jazz",20,71,82.6,98,1.38,70,32,38,45.7,67.9,0,2.8,0.06,2.8,46.5,2,1,1,50,68,31,37,45.6,0.97
16,4,"Delon Wright","Miami Heat",20,37,78.7,51,1.378,37,17,20,45.9,68.9,0,0,0,0,45.9,0,0,0,,37,17,20,45.9,1
17,8,"Nick Smith Jr.","Charlotte Hornets",51,111,50,152,1.369,111,51,60,45.9,68.5,0,0,0,0,45.9,2,1,1,50,109,50,59,45.9,0.98
18,6,"Jordan McLaughlin","Minnesota Timberwolves",62,76,76.8,104,1.368,76,35,41,46.1,68.4,0,0,0,0,46.1,1,1,0,100,75,34,41,45.3,0.99
19,8,"Grayson Allen","Phoenix Suns",77,378,81.8,513,1.357,378,171,207,45.2,67.9,0,0,0,0,45.2,0,0,0,,378,171,207,45.2,1
19,37,"Matt Ryan","New Orleans Pelicans",29,84,80.8,114,1.357,84,38,46,45.2,67.3,0,2.4,0.02,2.4,45.2,3,1,2,33.3,81,37,44,45.7,0.96
21,17,"Stanley Umude","Detroit Pistons",24,51,83.6,69,1.353,51,23,28,45.1,67.6,0,0,0,0,45.1,0,0,0,,51,23,28,45.1,1
22,22,"Jimmy Butler","Miami Heat",61,122,42.5,165,1.352,122,59,63,48.4,67.6,0,0,0,0,48.4,14,12,2,85.7,108,47,61,43.5,0.89
22,12,"Lindy Waters III","Oklahoma City Thunder",41,71,75.5,96,1.352,71,33,38,46.5,67.6,0,0,0,0,46.5,3,3,0,100,68,30,38,44.1,0.96
22,3,"Bradley Beal","Phoenix Suns",57,196,43,265,1.352,196,90,106,45.9,67.3,0,0.5,0.01,0.5,45.9,9,6,3,66.7,187,84,103,44.9,0.95
25,12,"Leaky Black","Charlotte Hornets",26,20,83.3,27,1.35,20,9,11,45,67.5,0,0,0,0,45,0,0,0,,20,9,11,45,1
26,19,"Simone Fontecchio","Detroit Pistons",16,95,81.9,128,1.347,95,43,52,45.3,66.8,0,1.1,0.01,1.1,45.3,2,2,0,100,93,41,52,44.1,0.98
27,11,"Jalen Brunson","New York Knicks",90,222,19.3,298,1.342,221,98,123,44.3,66.5,0,0.9,0.02,0.9,44.6,2,0,2,0,219,98,121,44.7,0.99
28,21,"Aaron Wiggins","Oklahoma City Thunder",88,139,81.3,186,1.338,139,62,77,44.6,66.9,0,0,0,0,44.6,1,0,1,0,138,62,76,44.9,0.99
29,35,"Marvin Bagley III","Washington Wizards",24,18,75,24,1.333,18,8,10,44.4,66.7,0,0,0,0,44.4,1,0,1,0,17,8,9,47.1,0.94
