sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,9,"Chris Chiozza","Washington Wizards",10,10,41.7,18,1.8,10,6,4,60,90,0,0,0,0,60,1,0,1,0,9,6,3,66.7,0.9
2,3,"Keldon Johnson","San Antonio Spurs",17,22,71,39,1.773,22,13,9,59.1,88.6,0,0,0,0,59.1,0,0,0,,22,13,9,59.1,1
3,10,"Caleb Martin","Charlotte Hornets",18,34,73.9,59,1.735,34,20,14,58.8,86.8,0,0,0,0,58.8,2,1,1,50,32,19,13,59.4,0.94
4,5,"Rodney Hood","Portland Trail Blazers",21,47,41.6,76,1.617,47,25,22,53.2,79.8,0,2.1,0.02,2.1,53.2,0,0,0,,47,25,22,53.2,1
5,11,"Dion Waiters","Miami Heat",3,11,55,17,1.545,11,6,5,54.5,77.3,0,0,0,0,54.5,1,1,0,100,10,5,5,50,0.91
6,30,"Seth Curry","Dallas Mavericks",70,230,50.8,351,1.526,229,117,112,51.1,75.8,0,2.2,0.03,2.2,51.3,9,4,5,44.4,220,113,107,51.4,0.96
7,1,"Zion Williamson","New Orleans Pelicans",24,10,50,15,1.5,10,5,5,50,75,0,0,0,0,50,1,0,1,0,9,5,4,55.6,0.9
7,35,"Wenyen Gabriel","Portland Trail Blazers",24,16,84.2,24,1.5,16,8,8,50,75,0,0,0,0,50,0,0,0,,16,8,8,50,1
9,1,"Reggie Jackson","Los Angeles Clippers",29,67,63.2,96,1.433,67,32,35,47.8,71.6,0,0,0,0,47.8,0,0,0,,67,32,35,47.8,1
10,4,"JJ Redick","New Orleans Pelicans",60,283,50.8,401,1.417,280,137,143,48.9,70,0,2.5,0.04,2.5,49.5,34,19,15,55.9,246,118,128,48,0.88
11,30,"Troy Daniels","Denver Nuggets",12,22,66.7,31,1.409,22,11,11,50,70.5,0,0,0,0,50,2,2,0,100,20,9,11,45,0.91
12,21,"Matt Thomas","Toronto Raptors",51,92,60.9,129,1.402,92,44,48,47.8,70.1,0,1.1,0.01,1.1,47.8,4,3,1,75,88,41,47,46.6,0.96
13,3,"Terry Rozier III","Charlotte Hornets",63,237,39.6,330,1.392,236,109,127,46.2,68.6,0,2.1,0.03,2.1,46.4,5,3,2,60,231,106,125,45.9,0.98
14,13,"Marcus Morris","New York Knicks",43,182,38.3,253,1.39,181,86,95,47.5,68.2,0,2.7,0.03,2.7,47.8,24,11,13,45.8,157,75,82,47.8,0.87
15,3,"George Hill","Milwaukee Bucks",69,127,52.3,176,1.386,127,59,68,46.5,68.9,0,0.8,0.01,0.8,46.5,5,2,3,40,122,57,65,46.7,0.96
16,35,"Melvin Frazier Jr.","Orlando Magic",19,13,56.5,18,1.385,13,6,7,46.2,69.2,0,0,0,0,46.2,0,0,0,,13,6,7,46.2,1
17,11,"Trae Young","Atlanta Hawks",60,100,15.8,138,1.38,100,46,54,46,68.5,0,1,0.01,1,46,3,1,2,33.3,97,45,52,46.4,0.97
18,55,"Duncan Robinson","Miami Heat",94,638,82,872,1.367,636,288,348,45.3,67.8,0,1.1,0.02,1.1,45.5,6,2,4,33.3,630,286,344,45.4,0.99
19,10,"Bol Bol","Denver Nuggets",10,11,61.1,15,1.364,11,5,6,45.5,68.2,0,0,0,0,45.5,1,0,1,0,10,5,5,50,0.91
19,4,"Isaiah Thomas","Washington Wizards",40,121,39,165,1.364,121,57,64,47.1,68.2,0,0,0,0,47.1,12,6,6,50,109,51,58,46.8,0.9
21,12,"Joe Harris","Brooklyn Nets",71,329,67.4,448,1.362,329,151,178,45.9,68.1,0,0,0,0,45.9,13,5,8,38.5,316,146,170,46.2,0.96
22,9,"Brad Wanamaker","Boston Celtics",88,73,40.8,99,1.356,73,33,40,45.2,67.8,0,0,0,0,45.2,0,0,0,,73,33,40,45.2,1
23,3,"Grayson Allen","Memphis Grizzlies",39,116,76.3,157,1.353,116,52,64,44.8,67.2,0,0.9,0.01,0.9,44.8,0,0,0,,116,52,64,44.8,1
24,44,"Anthony Tolliver","Memphis Grizzlies",14,37,86,50,1.351,37,17,20,45.9,67.6,0,0,0,0,45.9,1,1,0,100,36,16,20,44.4,0.97
25,3,"Yogi Ferrell","Sacramento Kings",50,32,23,43,1.344,32,15,17,46.9,67.2,0,0,0,0,46.9,2,2,0,100,30,13,17,43.3,0.94
26,22,"Khris Middleton","Milwaukee Bucks",72,240,31.3,320,1.333,239,110,129,46,66.3,0,1.3,0.02,1.3,46.3,22,13,9,59.1,217,97,120,44.7,0.91
26,12,"Tim Frazier","Detroit Pistons",27,15,27.3,20,1.333,15,7,8,46.7,66.7,0,0,0,0,46.7,1,1,0,100,14,6,8,42.9,0.93
28,3,"CJ McCollum","Portland Trail Blazers",76,259,28.7,345,1.332,259,116,143,44.8,66.4,0,0.4,0,0.4,44.8,9,4,5,44.4,250,112,138,44.8,0.97
29,18,"Shake Milton","Philadelphia 76ers",44,124,63.6,165,1.331,124,55,69,44.4,66.5,0,0,0,0,44.4,0,0,0,,124,55,69,44.4,1
30,19,"Raul Neto","Philadelphia 76ers",56,58,50.4,77,1.328,58,26,32,44.8,66.4,0,0,0,0,44.8,1,1,0,100,57,25,32,43.9,0.98
31,6,"Jordan McLaughlin","Minnesota Timberwolves",30,43,55.8,57,1.326,43,19,24,44.2,66.3,0,0,0,0,44.2,0,0,0,,43,19,24,44.2,1
32,15,"Cameron Payne","Phoenix Suns",8,25,69.4,33,1.32,25,11,14,44,66,0,0,0,0,44,1,0,1,0,24,11,13,45.8,0.96
32,23,"Fred VanVleet","Toronto Raptors",65,272,48.1,359,1.32,272,120,152,44.1,65.8,0,0.4,0,0.4,44.1,5,2,3,40,267,118,149,44.2,0.98
34,24,"Norman Powell","Toronto Raptors",63,259,70.2,340,1.313,259,114,145,44,65.6,0,0.4,0,0.4,44,7,2,5,28.6,252,112,140,44.4,0.97
35,16,"James Johnson","Miami Heat",18,32,68.1,42,1.313,32,14,18,43.8,65.6,0,0,0,0,43.8,0,0,0,,32,14,18,43.8,1
36,2,"Gary Trent Jr.","Portland Trail Blazers",67,209,53.7,274,1.311,209,92,117,44,65.3,0,0.5,0,0.5,44,6,3,3,50,203,89,114,43.8,0.97
37,3,"Trey Burke","Dallas Mavericks",14,39,43.8,51,1.308,39,17,22,43.6,65.4,0,0,0,0,43.6,0,0,0,,39,17,22,43.6,1
37,2,"Chris Chiozza","Brooklyn Nets",22,39,45.9,51,1.308,39,17,22,43.6,65.4,0,0,0,0,43.6,0,0,0,,39,17,22,43.6,1
39,25,"Derrick Rose","Detroit Pistons",50,46,16.5,60,1.304,46,20,26,43.5,65.2,0,0,0,0,43.5,1,0,1,0,45,20,25,44.4,0.98
