sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
205,41,"Kelly Olynyk","Boston Celtics",93,255,80.4,266,1.043,255,93,162,36.5,52.2,0,0,0,0,36.5,33,13,20,39.4,222,80,142,36,0.87
208,17,"Rodney McGruder","Miami Heat",78,215,78.2,224,1.042,215,76,139,35.3,51.9,0,0.5,0,0.5,35.3,14,5,9,35.7,201,71,130,35.3,0.93
209,7,"Ersan Ilyasova","Atlanta Hawks",32,101,71.6,105,1.04,101,39,62,38.6,52,0,0,0,0,38.6,25,12,13,48,76,27,49,35.5,0.75
210,1,"Reggie Jackson","Detroit Pistons",52,79,21.8,82,1.038,78,27,51,34.6,51.3,0,1.3,0.04,1.3,35.4,3,1,2,33.3,75,26,49,34.7,0.96
210,33,"Marc Gasol","Memphis Grizzlies",80,450,78,467,1.038,450,179,271,39.8,51.8,0,0.2,0,0.2,39.8,178,71,107,39.9,272,108,164,39.7,0.6
212,17,"PJ Tucker","Phoenix Suns",57,138,72.6,143,1.036,138,50,88,36.2,51.8,0,0,0,0,36.2,13,7,6,53.8,125,43,82,34.4,0.91
213,40,"Ivica Zubac","Los Angeles Lakers",38,29,87.9,30,1.034,29,15,14,51.7,51.7,0,0,0,0,51.7,27,15,12,55.6,2,0,2,0,0.07
213,6,"Kristaps Porzingis","New York Knicks",66,378,67.3,391,1.034,377,142,235,37.7,51.6,0,0.3,0.01,0.3,37.8,83,37,46,44.6,294,105,189,35.7,0.78
213,4,"Maurice  Harkless","Portland Trail Blazers",81,207,86.3,214,1.034,207,72,135,34.8,51.7,0,0,0,0,34.8,10,2,8,20,197,70,127,35.5,0.95
216,19,"Leandro Barbosa","Phoenix Suns",67,93,43.1,96,1.032,93,34,59,36.6,51.6,0,0,0,0,36.6,13,6,7,46.2,80,28,52,35,0.86
216,5,"Victor Oladipo","Oklahoma City Thunder",72,347,55.6,358,1.032,346,122,224,35.3,51.4,0,0.3,0.01,0.3,35.4,30,10,20,33.3,316,112,204,35.4,0.91
218,0,"Avery Bradley","Boston Celtics",73,383,57.3,395,1.031,382,142,240,37.2,51.2,0,0.8,0.01,0.8,37.3,92,35,57,38,290,107,183,36.9,0.76
219,11,"Brook Lopez","Brooklyn Nets",75,403,80.8,415,1.03,403,143,260,35.5,51.4,0,0.2,0,0.2,35.5,29,15,14,51.7,374,128,246,34.2,0.93
220,2,"Marvin  Williams","Charlotte Hornets",76,377,92.2,387,1.027,377,133,244,35.3,51.3,0,0,0,0,35.3,31,12,19,38.7,346,121,225,35,0.92
221,11,"Jamal Crawford","Los Angeles Clippers",89,171,23.4,175,1.023,171,59,112,34.5,50.9,0,0.6,0.01,0.6,34.5,11,3,8,27.3,160,56,104,35,0.94
222,13,"James Young","Boston Celtics",39,49,86,50,1.02,49,17,32,34.7,51,0,0,0,0,34.7,1,1,0,100,48,16,32,33.3,0.98
223,31,"Terrence Ross","Toronto Raptors",54,221,59.1,225,1.018,221,76,145,34.4,50.9,0,0,0,0,34.4,16,3,13,18.8,205,73,132,35.6,0.93
224,3,"David West","Golden State Warriors",85,116,87.9,118,1.017,116,57,59,49.1,50.9,0,0,0,0,49.1,107,53,54,49.5,9,4,5,44.4,0.08
225,41,"Trey Lyles","Utah Jazz",73,193,71.7,196,1.016,193,67,126,34.7,50.8,0,0,0,0,34.7,8,5,3,62.5,185,62,123,33.5,0.96
226,23,"Draymond Green","Golden State Warriors",93,332,92,337,1.015,332,113,219,34,50.8,0,0,0,0,34,9,2,7,22.2,323,111,212,34.4,0.97
227,21,"Wilson Chandler","Denver Nuggets",71,292,54.5,296,1.014,292,101,191,34.6,50.7,0,0,0,0,34.6,19,7,12,36.8,273,94,179,34.4,0.93
228,8,"Al Farouq Aminu","Portland Trail Blazers",65,226,81.9,229,1.013,226,78,148,34.5,50.7,0,0,0,0,34.5,11,5,6,45.5,215,73,142,34,0.95
228,21,"Thaddeus Young","Indiana Pacers",78,155,82.4,157,1.013,155,56,99,36.1,50.6,0,0,0,0,36.1,35,11,24,31.4,120,45,75,37.5,0.77
228,31,"Hollis Thompson","Philadelphia 76ers",31,78,78,79,1.013,78,27,51,34.6,50.6,0,0,0,0,34.6,9,2,7,22.2,69,25,44,36.2,0.88
231,17,"Jonas Valanciunas","Toronto Raptors",90,92,72.4,93,1.011,92,46,46,50,50.5,0,0,0,0,50,89,45,44,50.6,3,1,2,33.3,0.03
231,15,"DeMarcus Cousins","Sacramento Kings",55,282,60.3,285,1.011,282,103,179,36.5,50.4,0,0.4,0,0.4,36.5,63,25,38,39.7,219,78,141,35.6,0.78
233,35,"Mirza Teletovic","Milwaukee Bucks",73,293,83.7,296,1.01,293,99,194,33.8,50.5,0,0,0,0,33.8,8,1,7,12.5,285,98,187,34.4,0.97
234,7,"Jaylen Brown","Boston Celtics",95,144,63.7,145,1.007,144,49,95,34,50.3,0,0.7,0.01,0.7,34,6,2,4,33.3,138,47,91,34.1,0.96
235,40,"Harrison Barnes","Dallas Mavericks",79,331,47.7,332,1.003,331,131,200,39.6,50.2,0,0,0,0,39.6,132,61,71,46.2,199,70,129,35.2,0.6
235,5,"DeMarre Carroll","Toronto Raptors",82,333,82,334,1.003,332,113,219,34,50.2,0,0.6,0.01,0.6,34.2,13,6,7,46.2,319,107,212,33.5,0.96
235,1,"Devin Booker","Phoenix Suns",78,340,36.7,341,1.003,340,122,218,35.9,50.1,0,0,0,0,35.9,82,25,57,30.5,258,97,161,37.6,0.76
238,12,"Taurean Prince","Atlanta Hawks",65,103,63.6,103,1,103,35,68,34,50,0,0,0,0,34,4,2,2,50,99,33,66,33.3,0.96
