sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,33,"Mike Muscala","Oklahoma City Thunder",35,13,6.3,19,1.462,13,8,5,61.5,73.1,0,0,61.5,8,5,3,62.5,5,3,2,60,0.38
1,35,"Marvin Bagley III","Sacramento Kings",43,13,10.5,19,1.462,13,7,6,53.8,73.1,0,0,53.8,4,2,2,50,9,5,4,55.6,0.69
3,6,"Gabriel Deck","Oklahoma City Thunder",10,10,40,14,1.4,10,7,3,70,70,0,0,70,8,7,1,87.5,2,0,2,0,0.2
4,8,"Wayne Ellington","Detroit Pistons",46,123,41,172,1.398,123,60,63,48.8,69.5,0.01,0.8,48.8,24,9,15,37.5,99,51,48,51.5,0.8
5,2,"Quinn Cook","Los Angeles Lakers",16,16,76.2,22,1.375,16,9,7,56.3,68.8,0,0,56.3,8,5,3,62.5,8,4,4,50,0.5
6,21,"Kelan Martin","Indiana Pacers",37,33,37.5,45,1.364,33,18,15,54.5,68.2,0,0,54.5,15,9,6,60,18,9,9,50,0.55
6,1,"Paul Watson","Toronto Raptors",27,11,16.9,15,1.364,11,5,6,45.5,68.2,0,0,45.5,1,0,1,0,10,5,5,50,0.91
8,7,"Amir Coffey","Los Angeles Clippers",54,12,18.5,16,1.333,12,6,6,50,66.7,0,0,50,7,2,5,28.6,5,4,1,80,0.42
9,7,"Isaiah Joe","Philadelphia 76ers",45,29,23.4,38,1.31,29,15,14,51.7,65.5,0,0,51.7,14,7,7,50,15,8,7,53.3,0.52
10,0,"Kevin Love","Cleveland Cavaliers",25,36,20.7,46,1.278,36,16,20,44.4,63.9,0,0,44.4,7,2,5,28.6,29,14,15,48.3,0.81
10,12,"Darius Miller","Oklahoma City Thunder",18,18,39.1,23,1.278,18,8,10,44.4,58.3,0.11,11.1,44.4,3,3,0,100,15,5,10,33.3,0.83
12,4,"Quinn Cook","Cleveland Cavaliers",7,21,75,26,1.238,21,11,10,52.4,61.9,0,0,52.4,14,7,7,50,7,4,3,57.1,0.33
13,15,"Mychal Mulder","Golden State Warriors",62,17,7.7,21,1.235,17,7,10,41.2,61.8,0,0,41.2,2,0,2,0,15,7,8,46.7,0.88
14,17,"JJ Redick","Dallas Mavericks",13,23,46,28,1.217,23,10,13,43.5,60.9,0,0,43.5,9,2,7,22.2,14,8,6,57.1,0.61
15,0,"D.J. Wilson","Houston Rockets",23,14,19.4,17,1.214,14,7,7,50,60.7,0,0,50,8,4,4,50,6,3,3,50,0.43
16,2,"Joe  Ingles","Utah Jazz",78,213,44.7,258,1.211,213,87,126,40.8,60.6,0,0,40.8,9,3,6,33.3,204,84,120,41.2,0.96
17,0,"Miles Bridges","Charlotte Hornets",67,99,30.7,118,1.192,99,41,58,41.4,59.6,0,0,41.4,18,5,13,27.8,81,36,45,44.4,0.82
18,30,"Stephen Curry","Golden State Warriors",65,570,60.3,673,1.181,570,236,334,41.4,58.2,0.02,1.8,41.4,103,44,59,42.7,467,192,275,41.1,0.82
19,11,"Mike Conley","Utah Jazz",58,280,66,329,1.175,280,116,164,41.4,58.6,0,0.4,41.4,50,20,30,40,230,96,134,41.7,0.82
20,25,"Chris Boucher","Toronto Raptors",60,25,9.7,29,1.16,25,12,13,48,56,0.04,4,48,17,8,9,47.1,8,4,4,50,0.32
21,4,"Carsen Edwards","Boston Celtics",34,33,40.2,38,1.152,33,15,18,45.5,57.6,0,0,45.5,14,7,7,50,19,8,11,42.1,0.58
22,7,"Eric Paschall","Golden State Warriors",40,73,53.7,84,1.151,73,40,33,54.8,56.2,0.03,2.7,54.8,71,38,33,53.5,2,2,0,100,0.03
23,20,"Doug McDermott","Indiana Pacers",68,83,26.4,95,1.145,83,32,51,38.6,57.2,0,0,38.6,10,1,9,10,73,31,42,42.5,0.88
24,55,"Duncan Robinson","Miami Heat",76,195,29.6,223,1.144,195,75,120,38.5,56.4,0.02,1.5,38.5,18,5,13,27.8,177,70,107,39.5,0.91
25,8,"Maurice Harkless","Sacramento Kings",26,14,16.7,16,1.143,14,7,7,50,57.1,0,0,50,10,5,5,50,4,2,2,50,0.29
26,13,"Jordan Nwora","Milwaukee Bucks",35,50,50,57,1.14,50,22,28,44,57,0,0,44,26,9,17,34.6,24,13,11,54.2,0.48
27,24,"Norman Powell","Toronto Raptors",42,115,37.8,131,1.139,115,48,67,41.7,57,0,0,41.7,31,13,18,41.9,84,35,49,41.7,0.73
28,14,"D.J. Augustin","Houston Rockets",20,58,56.9,66,1.138,58,24,34,41.4,56.9,0,0,41.4,11,6,5,54.5,47,18,29,38.3,0.81
29,10,"Evan Fournier","Orlando Magic",26,131,56.2,149,1.137,131,56,75,42.7,56.9,0,0,42.7,42,19,23,45.2,89,37,52,41.6,0.68
30,11,"James Ennis III","Orlando Magic",41,37,30.3,42,1.135,37,16,21,43.2,54.1,0.05,5.4,43.2,14,8,6,57.1,23,8,15,34.8,0.62
30,2,"Shai Gilgeous-Alexander","Oklahoma City Thunder",35,223,86.1,253,1.135,223,97,126,43.5,56.1,0.02,1.8,43.5,87,41,46,47.1,136,56,80,41.2,0.61
32,7,"Kyle Guy","Sacramento Kings",31,15,28.8,17,1.133,15,7,8,46.7,56.7,0,0,46.7,7,4,3,57.1,8,3,5,37.5,0.53
33,25,"Mikal Bridges","Phoenix Suns",94,134,25.2,151,1.127,134,68,66,50.7,55.6,0.01,1.5,50.7,107,55,52,51.4,27,13,14,48.1,0.2
34,8,"Justin Holiday","Indiana Pacers",74,133,26.3,149,1.12,133,56,77,42.1,56,0,0,42.1,43,19,24,44.2,90,37,53,41.1,0.68
35,13,"James Harden","Brooklyn Nets",45,310,88.1,347,1.119,310,117,193,37.7,55.2,0.02,2.3,37.7,20,9,11,45,290,108,182,37.2,0.94
36,15,"Sam Merrill","Milwaukee Bucks",38,17,29.8,19,1.118,17,7,10,41.2,55.9,0,0,41.2,5,2,3,40,12,5,7,41.7,0.71
37,0,"Tyrese Haliburton","Sacramento Kings",58,195,53.6,217,1.113,195,81,114,41.5,54.9,0.02,1.5,41.5,63,29,34,46,132,52,80,39.4,0.68
38,26,"Jeremy Lamb","Indiana Pacers",36,73,45.6,81,1.11,73,32,41,43.8,55.5,0,0,43.8,31,15,16,48.4,42,17,25,40.5,0.58
39,12,"LaMarcus Aldridge","San Antonio Spurs",21,19,11.4,21,1.105,19,9,10,47.4,52.6,0.05,5.3,47.4,15,7,8,46.7,4,2,2,50,0.21
40,7,"Kevin Durant","Brooklyn Nets",47,385,66.5,425,1.104,385,185,200,48.1,54.4,0.02,1.8,48.1,265,136,129,51.3,120,49,71,40.8,0.31
41,7,"Troy Brown Jr.","Chicago Bulls",13,10,31.3,11,1.1,10,5,5,50,55,0,0,50,6,4,2,66.7,4,1,3,25,0.4
41,0,"Torrey Craig","Phoenix Suns",54,30,21,33,1.1,30,14,16,46.7,55,0,0,46.7,20,9,11,45,10,5,5,50,0.33
41,33,"Nicolas Batum","Los Angeles Clippers",86,60,15.3,66,1.1,60,27,33,45,54.2,0.02,1.7,45,37,16,21,43.2,23,11,12,47.8,0.38
44,5,"Malik Beasley","Minnesota Timberwolves",37,133,34.7,146,1.098,133,56,77,42.1,54.9,0,0,42.1,54,22,32,40.7,79,34,45,43,0.59
