sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,2,"Quinn Cook","Dallas Mavericks",5,11,52.4,22,2,11,9,2,81.8,100,0,0,81.8,7,5,2,71.4,4,4,0,100,0.36
2,3,"Derrick Williams","Cleveland Cavaliers",33,15,20.5,20,1.333,15,9,6,60,66.7,0,0,60,10,7,3,70,5,2,3,40,0.33
3,26,"Kyle Korver","Cleveland Cavaliers",53,65,19.5,84,1.292,65,33,32,50.8,64.6,0,0,50.8,27,15,12,55.6,38,18,20,47.4,0.58
4,33,"Robert Covington","Philadelphia 76ers",67,38,8.4,48,1.263,38,18,20,47.4,61.8,0.03,2.6,47.4,19,7,12,36.8,19,11,8,57.9,0.5
5,1,"James Jones","Cleveland Cavaliers",56,15,17.6,18,1.2,15,7,8,46.7,60,0,0,46.7,9,3,6,33.3,6,4,2,66.7,0.4
6,9,"Sheldon McClellan","Washington Wizards",37,23,39.7,27,1.174,23,13,10,56.5,58.7,0,0,56.5,21,12,9,57.1,2,1,1,50,0.09
7,31,"Deron Williams","Cleveland Cavaliers",42,78,53.4,91,1.167,78,38,40,48.7,57.1,0.03,2.6,48.7,51,25,26,49,27,13,14,48.1,0.35
7,33,"Myles Turner","Indiana Pacers",85,24,5.7,28,1.167,24,13,11,54.2,58.3,0,0,54.2,21,11,10,52.4,3,2,1,66.7,0.13
9,25,"Doug McDermott","Oklahoma City Thunder",27,25,25,29,1.16,25,14,11,56,58,0,0,56,24,13,11,54.2,1,1,0,100,0.04
10,44,"Nikola Mirotic","Chicago Bulls",76,67,14.4,76,1.134,67,30,37,44.8,56.7,0,0,44.8,29,14,15,48.3,38,16,22,42.1,0.57
10,7,"Kyle Lowry","Toronto Raptors",68,396,61.4,449,1.134,396,165,231,41.7,55.6,0.03,2.8,41.7,126,55,71,43.7,270,110,160,40.7,0.68
12,11,"Brook Lopez","Brooklyn Nets",75,71,14.2,80,1.127,71,35,36,49.3,52.8,0.07,7,49.3,61,30,31,49.2,10,5,5,50,0.14
13,44,"Bojan Bogdanovic","Washington Wizards",39,49,23.7,55,1.122,49,24,25,49,56.1,0,0,49,34,17,17,50,15,7,8,46.7,0.31
14,30,"Troy Daniels","Memphis Grizzlies",73,130,28.5,144,1.108,130,54,76,41.5,54.6,0.02,1.5,41.5,57,20,37,35.1,73,34,39,46.6,0.56
15,24,"Buddy Hield","Sacramento Kings",25,124,56.9,137,1.105,124,57,67,46,55.2,0,0,46,71,34,37,47.9,53,23,30,43.4,0.43
16,7,"Serge Ibaka","Orlando Magic",56,39,10.5,43,1.103,39,21,18,53.8,55.1,0,0,53.8,38,20,18,52.6,1,1,0,100,0.03
17,42,"Alexis Ajinca","New Orleans Pelicans",39,10,16.7,11,1.1,10,5,5,50,50,0.1,10,50,10,5,5,50,0,0,0,,0
18,95,"DeAndre Bembry","Atlanta Hawks",38,11,36.7,12,1.091,11,6,5,54.5,54.5,0,0,54.5,10,6,4,60,1,0,1,0,0.09
19,30,"Stephen Curry","Golden State Warriors",96,684,57,745,1.089,684,275,409,40.2,54,0.01,0.9,40.2,190,86,104,45.3,494,189,305,38.3,0.72
20,0,"Avery Bradley","Boston Celtics",73,254,38,274,1.079,254,118,136,46.5,53.5,0.01,0.8,46.5,171,82,89,48,83,36,47,43.4,0.33
21,44,"Jeff Teague","Indiana Pacers",86,257,60,277,1.078,257,117,140,45.5,52.7,0.03,2.7,45.5,151,80,71,53,106,37,69,34.9,0.41
22,42,"Nene Hilario","Houston Rockets",76,14,17.7,15,1.071,14,7,7,50,53.6,0,0,50,13,6,7,46.2,1,1,0,100,0.07
23,17,"PJ Tucker","Phoenix Suns",57,44,23.2,47,1.068,44,22,22,50,53.4,0,0,50,36,19,17,52.8,8,3,5,37.5,0.18
23,11,"Mike Conley","Memphis Grizzlies",75,414,61.4,442,1.068,414,172,242,41.5,53,0.01,1.2,41.5,177,77,100,43.5,237,95,142,40.1,0.57
25,22,"Taj Gibson","Chicago Bulls",55,16,12,17,1.063,16,8,8,50,50,0.13,12.5,50,16,8,8,50,0,0,0,,0
26,6,"Shabazz Napier","Portland Trail Blazers",57,89,58.6,94,1.056,89,36,53,40.4,50.6,0.06,5.6,40.4,46,18,28,39.1,43,18,25,41.9,0.48
26,14,"Jason Smith","Washington Wizards",87,18,6.9,19,1.056,18,9,9,50,50,0.06,5.6,50,17,9,8,52.9,1,0,1,0,0.06
28,8,"Channing Frye","Cleveland Cavaliers",86,40,9.1,42,1.05,40,19,21,47.5,52.5,0,0,47.5,29,15,14,51.7,11,4,7,36.4,0.28
29,3,"Bradley Beal","Washington Wizards",90,493,46.9,515,1.045,493,223,270,45.2,51.6,0.02,1.8,45.2,322,160,162,49.7,171,63,108,36.8,0.35
30,0,"Aaron Brooks","Indiana Pacers",66,95,52.2,99,1.042,95,39,56,41.1,51.6,0.01,1.1,41.1,46,19,27,41.3,49,20,29,40.8,0.52
30,23,"Louis Williams","Los Angeles Lakers",58,262,62.4,273,1.042,262,99,163,37.8,49.8,0.05,4.6,37.8,96,36,60,37.5,166,63,103,38,0.63
32,10,"Tyler Ennis","Los Angeles Lakers",22,55,73.3,57,1.036,55,22,33,40,51.8,0,0,40,21,9,12,42.9,34,13,21,38.2,0.62
33,31,"Terrence Ross","Toronto Raptors",54,145,38.8,150,1.034,145,65,80,44.8,51.4,0.01,0.7,44.8,98,46,52,46.9,47,19,28,40.4,0.32
34,27,"Jordan Crawford","New Orleans Pelicans",19,91,53.8,94,1.033,91,42,49,46.2,51.6,0.01,1.1,46.2,68,32,36,47.1,23,10,13,43.5,0.25
35,30,"Seth Curry","Dallas Mavericks",70,259,51.1,267,1.031,259,114,145,44,51,0.02,1.5,44,173,78,95,45.1,86,36,50,41.9,0.33
36,20,"Rashad Vaughn","Milwaukee Bucks",44,33,28.7,34,1.03,33,14,19,42.4,51.5,0,0,42.4,21,8,13,38.1,12,6,6,50,0.36
37,3,"Jared Dudley","Phoenix Suns",64,34,12.1,35,1.029,34,17,17,50,51.5,0,0,50,31,16,15,51.6,3,1,2,33.3,0.09
37,4,"Isaiah Thomas","Boston Celtics",91,587,58.5,604,1.029,587,235,352,40,50.9,0.02,1.4,40,214,107,107,50,373,128,245,34.3,0.64
37,3,"Jason Terry","Milwaukee Bucks",80,35,16.4,36,1.029,35,14,21,40,50,0.03,2.9,40,22,7,15,31.8,13,7,6,53.8,0.37
40,3,"CJ McCollum","Portland Trail Blazers",84,618,62.7,633,1.024,618,283,335,45.8,50.6,0.01,1.3,45.8,477,223,254,46.8,141,60,81,42.6,0.23
41,3,"Chris Paul","Los Angeles Clippers",68,527,70.2,539,1.023,527,236,291,44.8,50.9,0,0.4,44.8,356,171,185,48,171,65,106,38,0.32
