sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,15,"Amir Johnson","Toronto Raptors",81,16,9.4,22,1.375,16,11,5,68.8,68.8,0,0,68.8,16,11,5,68.8,0,0,0,,0
2,50,"Emeka Okafor","Washington Wizards",79,18,8.5,24,1.333,18,12,6,66.7,66.7,0,0,66.7,18,12,6,66.7,0,0,0,,0
3,23,"Anthony Morrow","Dallas Mavericks",17,11,55,14,1.273,11,7,4,63.6,63.6,0,0,63.6,10,7,3,70,1,0,1,0,0.09
4,44,"Andrew Nicholson","Orlando Magic",75,23,12.6,28,1.217,23,14,9,60.9,60.9,0,0,60.9,23,14,9,60.9,0,0,0,,0
5,34,"Brandan Wright","Dallas Mavericks",64,23,29.9,26,1.13,23,13,10,56.5,56.5,0.04,4.3,56.5,22,13,9,59.1,1,0,1,0,0.04
6,9,"Pablo Prigioni","New York Knicks",89,101,52.1,113,1.119,101,41,60,40.6,55.9,0,0,40.6,26,10,16,38.5,75,31,44,41.3,0.74
7,15,"Mickael Gelabale","Minnesota Timberwolves",36,18,19.8,20,1.111,18,10,8,55.6,55.6,0,0,55.6,17,10,7,58.8,1,0,1,0,0.06
8,3,"Aaron Brooks","Sacramento Kings",47,94,50,103,1.096,94,44,50,46.8,54.3,0.01,1.1,46.8,57,30,27,52.6,37,14,23,37.8,0.39
9,43,"Kris Humphries","Brooklyn Nets",72,13,13.3,14,1.077,13,6,7,46.2,46.2,0.15,15.4,46.2,12,6,6,50,1,0,1,0,0.08
10,21,"Chris Duhon","Los Angeles Lakers",48,27,23.7,29,1.074,27,11,16,40.7,53.7,0,0,40.7,12,4,8,33.3,15,7,8,46.7,0.56
11,19,"Beno Udrih","Milwaukee Bucks",40,113,57.9,121,1.071,113,59,54,52.2,53.1,0.01,0.9,52.2,107,57,50,53.3,6,2,4,33.3,0.05
11,20,"Jodie Meeks","Los Angeles Lakers",79,85,21.5,91,1.071,85,36,49,42.4,52.9,0.01,1.2,42.4,39,18,21,46.2,46,18,28,39.1,0.54
13,30,"Stephen Curry","Golden State Warriors",90,709,58.7,756,1.066,709,307,402,43.3,52.8,0.01,0.8,43.4,390,173,217,44.4,319,134,185,42,0.45
14,8,"Shelvin Mack","Atlanta Hawks",24,46,67.6,49,1.065,46,21,25,45.7,53.3,0,0,45.7,25,14,11,56,21,7,14,33.3,0.46
