sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,11,"Ayo Dosunmu","Chicago Bulls",37,22,13.6,44,2,22,16,6,72.7,97.7,0.05,4.5,72.7,7,5,2,71.4,15,11,4,73.3,0.68
2,55,"Baylor Scheierman","Boston Celtics",37,11,16.7,19,1.727,11,7,4,63.6,86.4,0,0,63.6,2,2,0,100,9,5,4,55.6,0.82
3,1,"Ziaire Williams","Brooklyn Nets",30,15,9.4,23,1.533,15,8,7,53.3,73.3,0.07,6.7,53.3,4,2,2,50,11,6,5,54.5,0.73
4,13,"Ousmane Dieng","Oklahoma City Thunder",20,25,51,38,1.52,25,15,10,60,76,0,0,60,12,7,5,58.3,13,8,5,61.5,0.52
5,11,"Bryce McGowens","New Orleans Pelicans",28,22,32.8,32,1.455,22,13,9,59.1,70.5,0.05,4.5,59.1,14,8,6,57.1,8,5,3,62.5,0.36
6,2,"Herbert Jones","New Orleans Pelicans",23,23,19.7,33,1.435,23,14,9,60.9,71.7,0,0,60.9,14,9,5,64.3,9,5,4,55.6,0.39
7,4,"Luke Kennard","Atlanta Hawks",39,46,28.9,65,1.413,46,29,17,63,70.7,0,0,63,28,22,6,78.6,18,7,11,38.9,0.39
8,24,"Cam Spencer","Memphis Grizzlies",40,149,58.9,193,1.295,149,74,75,49.7,64.1,0.02,2,49.7,51,31,20,60.8,98,43,55,43.9,0.66
9,5,"Nikola Jovic","Miami Heat",33,12,9.2,15,1.25,12,5,7,41.7,62.5,0,0,41.7,3,0,3,0,9,5,4,55.6,0.75
9,4,"Jalen Green","Phoenix Suns",3,12,54.5,15,1.25,12,6,6,50,62.5,0,0,50,4,3,1,75,8,3,5,37.5,0.67
11,10,"Tim Hardaway Jr.","Denver Nuggets",43,106,30.1,132,1.245,106,51,55,48.1,62.3,0,0,48.1,42,21,21,50,64,30,34,46.9,0.6
12,17,"Jamaree Bouyea","Phoenix Suns",19,29,51.8,36,1.241,29,14,15,48.3,60.3,0.03,3.4,48.3,16,7,9,43.8,13,7,6,53.8,0.45
13,9,"Kelly Oubre Jr.","Philadelphia 76ers",20,34,28.1,42,1.235,34,18,16,52.9,60.3,0.03,2.9,52.9,20,13,7,65,14,5,9,35.7,0.41
14,0,"Royce O'Neale","Phoenix Suns",44,67,21.6,81,1.209,67,27,40,40.3,60.4,0,0,40.3,1,0,1,0,66,27,39,40.9,0.99
15,30,"Stephen Curry","Golden State Warriors",35,253,54.1,304,1.202,253,109,144,43.1,59.3,0.02,1.6,43.1,51,27,24,52.9,202,82,120,40.6,0.8
16,10,"RayJ Dennis","Indiana Pacers",14,10,24.4,12,1.2,10,4,6,40,60,0,0,40,0,0,0,,10,4,6,40,1
16,5,"Sam Merrill","Cleveland Cavaliers",24,60,29.9,72,1.2,60,25,35,41.7,59.2,0.02,1.7,41.7,11,4,7,36.4,49,21,28,42.9,0.82
16,0,"Jalen Duren","Detroit Pistons",34,20,71.4,24,1.2,20,12,8,60,60,0,0,60,20,12,8,60,0,0,0,,0
19,7,"Kon Knueppel","Charlotte Hornets",42,140,34.1,166,1.186,140,66,74,47.1,58.9,0.01,0.7,47.1,73,33,40,45.2,67,33,34,49.3,0.48
20,28,"Rui Hachimura","Los Angeles Lakers",32,76,37.4,90,1.184,76,43,33,56.6,59.2,0,0,56.6,68,39,29,57.4,8,4,4,50,0.11
21,27,"Jamal Murray","Denver Nuggets",40,356,75.9,420,1.18,356,166,190,46.6,58.6,0.01,0.8,46.6,164,81,83,49.4,192,85,107,44.3,0.54
21,3,"CJ McCollum","Washington Wizards",35,217,62.9,256,1.18,217,99,118,45.6,57.6,0.03,2.8,45.6,94,47,47,50,123,52,71,42.3,0.57
23,44,"Landry Shamet","New York Knicks",18,30,33.7,35,1.167,30,13,17,43.3,58.3,0,0,43.3,9,4,5,44.4,21,9,12,42.9,0.7
23,44,"Patrick Williams","Chicago Bulls",39,42,28,49,1.167,42,20,22,47.6,58.3,0,0,47.6,24,11,13,45.8,18,9,9,50,0.43
25,20,"A.J. Green","Milwaukee Bucks",39,81,28.8,94,1.16,81,33,48,40.7,58,0,0,40.7,10,5,5,50,71,28,43,39.4,0.88
25,2,"Shai Gilgeous-Alexander","Oklahoma City Thunder",42,432,88.5,501,1.16,432,214,218,49.5,57.1,0.02,2.3,49.5,270,149,121,55.2,162,65,97,40.1,0.38
27,0,"Simone Fontecchio","Miami Heat",41,38,18.8,44,1.158,38,15,23,39.5,56.6,0.05,5.3,39.5,5,2,3,40,33,13,20,39.4,0.87
28,23,"Cameron Johnson","Denver Nuggets",28,45,28.5,52,1.156,45,20,25,44.4,56.7,0.02,2.2,44.4,24,9,15,37.5,21,11,10,52.4,0.47
29,2,"Miles McBride","New York Knicks",32,118,41.8,136,1.153,118,53,65,44.9,57.2,0.01,0.8,44.9,55,24,31,43.6,63,29,34,46,0.53
30,34,"Kenrich Williams","Oklahoma City Thunder",24,20,30.3,23,1.15,20,11,9,55,57.5,0,0,55,13,10,3,76.9,7,1,6,14.3,0.35
31,12,"Dru Smith","Miami Heat",43,14,15.4,16,1.143,14,6,8,42.9,57.1,0.07,7.1,42.9,2,2,0,100,12,4,8,33.3,0.86
31,3,"Keldon Johnson","San Antonio Spurs",45,14,9.8,16,1.143,14,6,8,42.9,57.1,0,0,42.9,4,2,2,50,10,4,6,40,0.71
33,2,"Kawhi Leonard","Los Angeles Clippers",30,280,67.6,318,1.136,280,134,146,47.9,55.4,0.03,2.9,47.9,171,92,79,53.8,109,42,67,38.5,0.39
34,24,"Corey Kispert","Washington Wizards",19,15,19.2,17,1.133,15,6,9,40,56.7,0,0,40,1,1,0,100,14,5,9,35.7,0.93
35,45,"Davion Mitchell","Miami Heat",40,63,42.6,71,1.127,63,29,34,46,56.3,0,0,46,32,16,16,50,31,13,18,41.9,0.49
35,30,"Sam Hauser","Boston Celtics",41,63,22.2,71,1.127,63,26,37,41.3,56.3,0,0,41.3,16,7,9,43.8,47,19,28,40.4,0.75
37,11,"Jason Richardson","Orlando Magic",29,24,38.7,27,1.125,24,11,13,45.8,56.3,0,0,45.8,10,6,4,60,14,5,9,35.7,0.58
37,0,"Max Christie","Dallas Mavericks",40,72,29.4,81,1.125,72,31,41,43.1,55.6,0.01,1.4,43.1,25,13,12,52,47,18,29,38.3,0.65
39,7,"Carlton Carrington","Washington Wizards",42,178,62.9,200,1.124,178,79,99,44.4,56.2,0,0,44.4,78,37,41,47.4,100,42,58,42,0.56
