sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
265,18,"Cory Joseph","Detroit Pistons",65,108,46.4,84,0.778,108,37,71,34.3,38.9,0,0,34.3,76,27,49,35.5,32,10,22,31.3,0.3
266,4,"Evan Mobley","Cleveland Cavaliers",71,103,47,80,0.777,103,39,64,37.9,38.3,0.02,1.9,37.9,94,38,56,40.4,9,1,8,11.1,0.09
267,1,"Lonnie Walker IV","San Antonio Spurs",71,255,47,198,0.776,255,88,167,34.5,38.6,0,0.4,34.5,171,67,104,39.2,84,21,63,25,0.33
267,12,"Grant Williams","Boston Celtics",101,49,13.4,38,0.776,49,14,35,28.6,38.8,0,0,28.6,16,4,12,25,33,10,23,30.3,0.67
269,13,"Jordan Nwora","Milwaukee Bucks",70,124,41.6,96,0.774,124,37,87,29.8,38.7,0,0,29.8,61,15,46,24.6,63,22,41,34.9,0.51
270,8,"Ziaire Williams","Memphis Grizzlies",72,75,22.6,58,0.773,75,26,49,34.7,38.7,0,0,34.7,46,20,26,43.5,29,6,23,20.7,0.39
270,30,"Furkan Korkmaz","Philadelphia 76ers",76,132,40.9,102,0.773,132,39,93,29.5,38.6,0,0,29.5,43,15,28,34.9,89,24,65,27,0.67
272,3,"Anthony Davis","Los Angeles Lakers",40,79,34.1,61,0.772,79,29,50,36.7,38,0.01,1.3,36.7,75,27,48,36,4,2,2,50,0.05
273,50,"Cole Anthony","Orlando Magic",65,309,56,238,0.77,309,97,212,31.4,38.3,0.01,0.6,31.4,156,54,102,34.6,153,43,110,28.1,0.5
274,13,"Kelly Olynyk","Detroit Pistons",40,52,35.1,40,0.769,52,15,37,28.8,38.5,0,0,28.8,16,5,11,31.3,36,10,26,27.8,0.69
275,8,"Rui Hachimura","Washington Wizards",42,95,41.7,73,0.768,95,35,60,36.8,37.4,0.02,2.1,36.8,90,34,56,37.8,5,1,4,20,0.05
275,41,"Saddiq Bey","Detroit Pistons",82,280,36.4,215,0.768,280,88,192,31.4,38.4,0,0,31.4,129,49,80,38,151,39,112,25.8,0.54
275,3,"Caris LeVert","Cleveland Cavaliers",21,99,69.2,76,0.768,99,34,65,34.3,38.4,0,0,34.3,66,26,40,39.4,33,8,25,24.2,0.33
275,4,"Devonte' Graham","New Orleans Pelicans",84,327,47.4,251,0.768,327,95,232,29.1,38.4,0,0,29.1,99,34,65,34.3,228,61,167,26.8,0.7
279,9,"Jerami Grant","Detroit Pistons",47,183,40.8,140,0.765,183,66,117,36.1,37.4,0.02,1.6,36.1,165,61,104,37,18,5,13,27.8,0.1
280,7,"Facundo Campazzo","Denver Nuggets",69,72,35.1,55,0.764,72,20,52,27.8,38.2,0,0,27.8,10,5,5,50,62,15,47,24.2,0.86
281,9,"Derrick White","Boston Celtics",49,62,27.3,47,0.758,62,19,43,30.6,37.1,0.03,3.2,30.6,30,11,19,36.7,32,8,24,25,0.52
281,35,"PJ Dozier","Denver Nuggets",18,33,45.8,25,0.758,33,11,22,33.3,37.9,0,0,33.3,19,8,11,42.1,14,3,11,21.4,0.42
