sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,15,"Cameron Payne","Phoenix Suns",8,10,27.8,16,1.6,10,6,4,60,80,0,0,60,5,2,3,40,5,4,1,80,0.5
2,45,"Courtney Lee","Dallas Mavericks",24,19,31.7,26,1.368,19,10,9,52.6,68.4,0,0,52.6,10,4,6,40,9,6,3,66.7,0.47
3,21,"Matt Thomas","Toronto Raptors",51,58,38.4,79,1.362,58,34,24,58.6,68.1,0,0,58.6,35,23,12,65.7,23,11,12,47.8,0.4
4,17,"Tony Snell","Detroit Pistons",59,39,13.7,53,1.359,39,20,19,51.3,67.9,0,0,51.3,20,7,13,35,19,13,6,68.4,0.49
5,8,"Nemanja Bjelica","Sacramento Kings",72,46,13.3,62,1.348,46,22,24,47.8,65.2,0.04,4.3,47.8,14,6,8,42.9,32,16,16,50,0.7
5,3,"OG Anunoby","Toronto Raptors",80,46,16,62,1.348,46,23,23,50,67.4,0,0,50,16,7,9,43.8,30,16,14,53.3,0.65
7,3,"Chris Clemons","Houston Rockets",35,46,39.7,61,1.326,46,21,25,45.7,66.3,0,0,45.7,3,2,1,66.7,43,19,24,44.2,0.93
8,0,"Brandon Goodwin","Atlanta Hawks",34,39,39.8,50,1.282,39,18,21,46.2,64.1,0,0,46.2,10,4,6,40,29,14,15,48.3,0.74
9,15,"Frank Mason","Milwaukee Bucks",11,14,53.8,17,1.214,14,7,7,50,60.7,0,0,50,6,4,2,66.7,8,3,5,37.5,0.57
10,5,"Malik Beasley","Minnesota Timberwolves",14,56,40.6,67,1.196,56,25,31,44.6,59.8,0,0,44.6,21,8,13,38.1,35,17,18,48.6,0.63
11,5,"Rodney Hood","Portland Trail Blazers",21,59,52.2,70,1.186,59,31,28,52.5,58.5,0.02,1.7,52.5,40,24,16,60,19,7,12,36.8,0.32
12,11,"Brook Lopez","Milwaukee Bucks",78,27,6.5,32,1.185,27,14,13,51.9,59.3,0,0,51.9,20,10,10,50,7,4,3,57.1,0.26
13,32,"Jeff Green","Houston Rockets",30,12,8.9,14,1.167,12,5,7,41.7,58.3,0,0,41.7,1,1,0,100,11,4,7,36.4,0.92
