sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,54,"Sandro Mamukelashvili","San Antonio Spurs",46,11,15.9,20,1.818,11,8,3,72.7,90.9,0,0,72.7,5,4,1,80,6,4,2,66.7,0.55
2,24,"Garrison Mathews","Atlanta Hawks",67,36,17.3,51,1.417,36,19,17,52.8,70.8,0.03,2.8,52.8,8,6,2,75,28,13,15,46.4,0.78
3,35,"Christian Wood","Los Angeles Lakers",50,10,7.9,14,1.4,10,6,4,60,70,0,0,60,6,4,2,66.7,4,2,2,50,0.4
4,23,"Derrick Rose","Memphis Grizzlies",24,36,54.5,50,1.389,36,22,14,61.1,69.4,0,0,61.1,25,16,9,64,11,6,5,54.5,0.31
5,2,"James Bouknight","Charlotte Hornets",14,16,50,21,1.313,16,7,9,43.8,65.6,0,0,43.8,2,0,2,0,14,7,7,50,0.88
6,6,"Jordan McLaughlin","Minnesota Timberwolves",62,23,23.2,30,1.304,23,11,12,47.8,65.2,0,0,47.8,4,3,1,75,19,8,11,42.1,0.83
6,11,"Domantas Sabonis","Sacramento Kings",84,23,15.5,30,1.304,23,13,10,56.5,65.2,0.04,4.3,56.5,17,9,8,52.9,6,4,2,66.7,0.26
8,24,"Pat Connaughton","Milwaukee Bucks",82,27,10.8,35,1.296,27,12,15,44.4,64.8,0,0,44.4,2,1,1,50,25,11,14,44,0.93
9,17,"Doug McDermott","San Antonio Spurs",46,21,11.7,27,1.286,21,9,12,42.9,64.3,0,0,42.9,2,0,2,0,19,9,10,47.4,0.9
9,32,"Dean Wade","Cleveland Cavaliers",57,14,6.3,18,1.286,14,7,7,50,64.3,0,0,50,9,3,6,33.3,5,4,1,80,0.36
11,0,"Royce O'Neale","Phoenix Suns",34,25,14.1,32,1.28,25,11,14,44,64,0,0,44,2,1,1,50,23,10,13,43.5,0.92
12,14,"Jules Bernard","Washington Wizards",20,11,32.4,14,1.273,11,5,6,45.5,63.6,0,0,45.5,3,1,2,33.3,8,4,4,50,0.73
