sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,24,"Carl Landry","Sacramento Kings",70,15,12,20,1.333,15,10,5,66.7,66.7,0,0,66.7,15,10,5,66.7,0,0,0,,0
2,0,"Isaiah Canaan","Houston Rockets",28,31,34.4,40,1.29,31,14,17,45.2,62.9,0.03,3.2,45.2,6,3,3,50,25,11,14,44,0.81
3,5,"Kendall Marshall","Milwaukee Bucks",28,18,29.5,23,1.278,18,9,9,50,63.9,0,0,50,13,4,9,30.8,5,5,0,100,0.28
4,22,"Taj Gibson","Chicago Bulls",74,11,13.3,14,1.273,11,7,4,63.6,63.6,0,0,63.6,11,7,4,63.6,0,0,0,,0
5,9,"Nikola Vucevic","Orlando Magic",74,24,7,29,1.208,24,14,10,58.3,58.3,0.08,8.3,58.3,24,14,10,58.3,0,0,0,,0
6,0,"Brandon Davies","Philadelphia 76ers",20,11,21.6,13,1.182,11,6,5,54.5,54.5,0.09,9.1,54.5,9,6,3,66.7,2,0,2,0,0.18
7,15,"Matt Bonner","San Antonio Spurs",79,16,9.5,18,1.125,16,9,7,56.3,56.3,0,0,56.3,14,9,5,64.3,2,0,2,0,0.13
7,20,"Dwight Buycks","Los Angeles Lakers",6,16,64,18,1.125,16,8,8,50,56.3,0,0,50,13,6,7,46.2,3,2,1,66.7,0.19
9,30,"Stephen Curry","Golden State Warriors",101,703,57.4,790,1.124,703,302,401,43,56.1,0,0.1,43,271,117,154,43.2,432,185,247,42.8,0.61
10,0,"Kevin Love","Cleveland Cavaliers",79,48,9,53,1.104,48,23,25,47.9,55.2,0,0,47.9,32,16,16,50,16,7,9,43.8,0.33
10,5,"JR Smith","Cleveland Cavaliers",64,202,33.4,223,1.104,202,92,110,45.5,55.2,0,0,45.5,106,53,53,50,96,39,57,40.6,0.48
12,54,"Patrick Patterson","Toronto Raptors",85,62,15.9,68,1.097,62,33,29,53.2,54,0.03,3.2,53.2,58,32,26,55.2,4,1,3,25,0.06
13,23,"Austin Daye","San Antonio Spurs",26,25,28.4,27,1.08,25,12,13,48,54,0,0,48,20,9,11,45,5,3,2,60,0.2
14,7,"Isaiah Canaan","Philadelphia 76ers",22,93,49.7,100,1.075,93,35,58,37.6,53.2,0.01,1.1,37.6,21,6,15,28.6,72,29,43,40.3,0.77
15,35,"Kevin Durant","Oklahoma City Thunder",27,132,44.4,140,1.061,132,61,71,46.2,52.7,0.01,0.8,46.2,82,44,38,53.7,50,17,33,34,0.38
16,30,"Troy Daniels","Minnesota Timberwolves",19,17,32.7,18,1.059,17,7,10,41.2,52.9,0,0,41.2,6,3,3,50,11,4,7,36.4,0.65
16,12,"A.J. Price","Indiana Pacers",10,51,68,54,1.059,51,24,27,47.1,52,0.02,2,47.1,34,19,15,55.9,17,5,12,29.4,0.33
18,26,"Kyle Korver","Atlanta Hawks",89,151,22,159,1.053,151,62,89,41.1,51.3,0.03,3.3,41.1,74,31,43,41.9,77,31,46,40.3,0.51
19,3,"Chris Paul","Los Angeles Clippers",94,773,71.8,813,1.052,773,371,402,48,52.3,0.01,0.6,48,599,305,294,50.9,174,66,108,37.9,0.23
20,13,"Luke Ridnour","Orlando Magic",47,85,60.7,89,1.047,85,42,43,49.4,51.8,0.01,1.2,49.4,65,38,27,58.5,20,4,16,20,0.24
21,2,"Kevin Garnett","Brooklyn Nets",42,52,31.9,54,1.038,52,27,25,51.9,51.9,0,0,51.9,51,27,24,52.9,1,0,1,0,0.02
22,12,"John Jenkins","Atlanta Hawks",28,29,33.3,30,1.034,29,14,15,48.3,51.7,0,0,48.3,23,12,11,52.2,6,2,4,33.3,0.21
23,11,"Jeremy Lamb","Oklahoma City Thunder",47,74,43.5,76,1.027,74,31,43,41.9,50.7,0.03,2.7,41.9,45,18,27,40,29,13,16,44.8,0.39
24,12,"Gary Neal","Minnesota Timberwolves",11,43,48.3,44,1.023,43,19,24,44.2,51.2,0,0,44.2,30,13,17,43.3,13,6,7,46.2,0.3
25,7,"Darren Collison","Sacramento Kings",45,242,66.9,247,1.021,242,111,131,45.9,51,0,0,45.9,180,86,94,47.8,62,25,37,40.3,0.26
26,2,"Wesley Matthews","Portland Trail Blazers",60,153,29.5,156,1.02,153,62,91,40.5,51,0,0,40.5,65,30,35,46.2,88,32,56,36.4,0.58
27,4,"JJ Redick","Los Angeles Clippers",92,356,37.9,361,1.014,356,159,197,44.7,50.3,0.01,0.8,44.7,247,119,128,48.2,109,40,69,36.7,0.31
28,11,"Mike Conley","Memphis Grizzlies",78,249,52.5,249,1,249,100,149,40.2,49.4,0.01,1.2,40.2,133,54,79,40.6,116,46,70,39.7,0.47
