sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,33,"Mike Muscala","Oklahoma City Thunder",43,10,6.3,18,1.8,10,7,3,70,90,0,0,70,5,3,2,60,5,4,1,80,0.5
2,30,"Julian Champagnie","San Antonio Spurs",15,10,11.5,15,1.5,10,6,4,60,70,0.1,10,60,5,4,1,80,5,2,3,40,0.5
3,24,"Mason Plumlee","Charlotte Hornets",56,10,62.5,14,1.4,10,7,3,70,70,0,0,70,10,7,3,70,0,0,0,,0
3,42,"Al Horford","Boston Celtics",83,15,3.4,21,1.4,15,9,6,60,70,0,0,60,8,6,2,75,7,3,4,42.9,0.47
5,13,"Kira Lewis Jr.","New Orleans Pelicans",26,14,32.6,19,1.357,14,8,6,57.1,67.9,0,0,57.1,8,5,3,62.5,6,3,3,50,0.43
5,11,"Kris Dunn","Utah Jazz",22,14,30.4,19,1.357,14,8,6,57.1,67.9,0,0,57.1,8,5,3,62.5,6,3,3,50,0.43
7,10,"Eric Gordon","Los Angeles Clippers",27,29,19.7,39,1.345,29,14,15,48.3,67.2,0,0,48.3,7,3,4,42.9,22,11,11,50,0.76
8,7,"Joe Ingles","Milwaukee Bucks",51,76,33,102,1.342,76,35,41,46.1,67.1,0,0,46.1,6,3,3,50,70,32,38,45.7,0.92
9,44,"Davis Bertans","Dallas Mavericks",45,15,10.5,20,1.333,15,7,8,46.7,66.7,0,0,46.7,1,1,0,100,14,6,8,42.9,0.93
10,24,"Pat Connaughton","Milwaukee Bucks",65,19,5.5,25,1.316,19,9,10,47.4,65.8,0,0,47.4,3,2,1,66.7,16,7,9,43.8,0.84
11,11,"Jaden Springer","Philadelphia 76ers",20,10,66.7,13,1.3,10,6,4,60,65,0,0,60,9,5,4,55.6,1,1,0,100,0.1
12,33,"Nicolas Batum","Los Angeles Clippers",83,21,6.1,27,1.286,21,9,12,42.9,61.9,0.05,4.8,42.9,5,1,4,20,16,8,8,50,0.76
13,15,"Nikola Jokic","Denver Nuggets",89,71,21.7,90,1.268,71,35,36,49.3,62,0.04,4.2,49.3,34,17,17,50,37,18,19,48.6,0.52
14,5,"Skylar Mays","Portland Trail Blazers",6,20,54.1,25,1.25,20,10,10,50,62.5,0,0,50,11,5,6,45.5,9,5,4,55.6,0.45
15,7,"Kevin Durant","Brooklyn Nets",39,367,72.1,457,1.245,367,202,165,55,59.7,0.06,5.7,55,275,168,107,61.1,92,34,58,37,0.25
16,10,"Mike Conley","Minnesota Timberwolves",31,106,55.8,131,1.236,106,45,61,42.5,61.3,0.01,0.9,42.5,12,5,7,41.7,94,40,54,42.6,0.89
17,12,"Grant Williams","Boston Celtics",94,72,20.8,88,1.222,72,31,41,43.1,61.1,0,0,43.1,13,5,8,38.5,59,26,33,44.1,0.82
18,6,"Nickeil Alexander-Walker","Utah Jazz",36,51,47.2,62,1.216,51,25,26,49,60.8,0,0,49,20,13,7,65,31,12,19,38.7,0.61
