sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,13,"Drew Peterson","Boston Celtics",25,13,37.1,22,1.692,13,8,5,61.5,84.6,0,0,61.5,2,2,0,100,11,6,5,54.5,0.85
2,3,"Jordan McLaughlin","Sacramento Kings",28,16,53.3,22,1.375,16,8,8,50,68.8,0,0,50,4,2,2,50,12,6,6,50,0.75
3,30,"Sam Hauser","Boston Celtics",79,102,22.6,135,1.324,102,51,51,50,65.7,0.01,1,50,26,19,7,73.1,76,32,44,42.1,0.75
4,42,"Kevin Love","Miami Heat",23,13,17.6,17,1.308,13,6,7,46.2,65.4,0,0,46.2,3,1,2,33.3,10,5,5,50,0.77
5,42,"Maxi Kleber","Dallas Mavericks",34,10,17.5,13,1.3,10,6,4,60,65,0,0,60,8,5,3,62.5,2,1,1,50,0.2
6,30,"Ochai Agbaji","Toronto Raptors",64,33,12.4,41,1.242,33,16,17,48.5,62.1,0,0,48.5,14,7,7,50,19,9,10,47.4,0.58
7,7,"Shake Milton","Brooklyn Nets",27,34,36.6,42,1.235,34,17,17,50,60.3,0.06,5.9,50,17,10,7,58.8,17,7,10,41.2,0.5
8,11,"Naz Reid","Minnesota Timberwolves",95,93,17.4,114,1.226,93,39,54,41.9,61.3,0.01,1.1,41.9,7,3,4,42.9,86,36,50,41.9,0.92
9,27,"Vit Krejci","Atlanta Hawks",59,50,23.3,61,1.22,50,22,28,44,60,0.02,2,44,6,6,0,100,44,16,28,36.4,0.88
10,2,"Ty Jerome","Cleveland Cavaliers",79,200,58.7,243,1.215,200,88,112,44,60,0.02,1.5,44,50,24,26,48,150,64,86,42.7,0.75
11,17,"Yuki Kawamura","Memphis Grizzlies",22,15,53.6,18,1.2,15,7,8,46.7,60,0,0,46.7,5,3,2,60,10,4,6,40,0.67
12,9,"Kevin Huerter","Sacramento Kings",43,72,30.9,86,1.194,72,34,38,47.2,59.7,0,0,47.2,26,16,10,61.5,46,18,28,39.1,0.64
13,17,"Dennis Schroder","Brooklyn Nets",23,98,50,116,1.184,98,48,50,49,58.2,0.02,2,49,46,30,16,65.2,52,18,34,34.6,0.53
14,30,"Seth Curry","Charlotte Hornets",68,113,42.8,133,1.177,113,56,57,49.6,58,0.02,1.8,49.6,73,37,36,50.7,40,19,21,47.5,0.35
15,8,"Lamar Stevens","Memphis Grizzlies",20,12,31.6,14,1.167,12,6,6,50,54.2,0.08,8.3,50,8,5,3,62.5,4,1,3,25,0.33
15,2,"Deandre Ayton","Portland Trail Blazers",40,12,11.3,14,1.167,12,7,5,58.3,58.3,0,0,58.3,12,7,5,58.3,0,0,0,,0
17,45,"Davion Mitchell","Miami Heat",36,49,37.4,57,1.163,49,20,29,40.8,58.2,0,0,40.8,12,3,9,25,37,17,20,45.9,0.76
18,22,"Khris Middleton","Milwaukee Bucks",23,93,66,108,1.161,93,46,47,49.5,58.1,0,0,49.5,50,30,20,60,43,16,27,37.2,0.46
19,77,"Jamison Battle","Toronto Raptors",59,50,18,58,1.16,50,22,28,44,58,0,0,44,17,8,9,47.1,33,14,19,42.4,0.66
20,0,"Christian Braun","Denver Nuggets",93,90,26.2,104,1.156,90,40,50,44.4,57.2,0.01,1.1,44.4,37,17,20,45.9,53,23,30,43.4,0.59
21,24,"Haywood Highsmith","Miami Heat",80,13,5,15,1.154,13,5,8,38.5,57.7,0,0,38.5,2,0,2,0,11,5,6,45.5,0.85
22,8,"Zach Lavine","Chicago Bulls",42,294,69.5,338,1.15,294,128,166,43.5,57.5,0,0,43.5,109,46,63,42.2,185,82,103,44.3,0.63
23,1,"Cameron Payne","New York Knicks",86,142,47.5,163,1.148,142,57,85,40.1,57,0.01,0.7,40.1,17,9,8,52.9,125,48,77,38.4,0.88
24,12,"De'Andre Hunter","Cleveland Cavaliers",35,75,35.4,86,1.147,75,35,40,46.7,57.3,0.01,1.3,46.7,40,19,21,47.5,35,16,19,45.7,0.47
25,41,"Kelly Olynyk","Toronto Raptors",24,14,25.9,16,1.143,14,6,8,42.9,57.1,0,0,42.9,6,2,4,33.3,8,4,4,50,0.57
25,36,"Marcus Smart","Memphis Grizzlies",19,35,32.7,40,1.143,35,16,19,45.7,57.1,0,0,45.7,16,8,8,50,19,8,11,42.1,0.54
25,14,"Gary Harris","Orlando Magic",54,14,12.2,16,1.143,14,6,8,42.9,57.1,0,0,42.9,5,2,3,40,9,4,5,44.4,0.64
28,10,"Bogdan Bogdanovic","Los Angeles Clippers",37,121,50.6,138,1.14,121,57,64,47.1,56.6,0.01,0.8,47.1,63,34,29,54,58,23,35,39.7,0.48
29,7,"Kevin Porter Jr.","Milwaukee Bucks",35,132,78.6,150,1.136,132,63,69,47.7,55.7,0.03,3,47.7,81,42,39,51.9,51,21,30,41.2,0.39
29,8,"Deni Avdija","Portland Trail Blazers",72,110,28.4,125,1.136,110,48,62,43.6,56.8,0.02,1.8,43.6,40,19,21,47.5,70,29,41,41.4,0.64
31,30,"Stephen Curry","Golden State Warriors",79,562,56.3,637,1.133,562,230,332,40.9,56.3,0.01,0.7,40.9,103,57,46,55.3,459,173,286,37.7,0.82
31,44,"Andre Jackson Jr.","Milwaukee Bucks",70,15,17.9,17,1.133,15,6,9,40,56.7,0,0,40,3,1,2,33.3,12,5,7,41.7,0.8
33,8,"Zach Lavine","Sacramento Kings",33,219,67.8,247,1.128,219,92,127,42,56.2,0,0.5,42,76,30,46,39.5,143,62,81,43.4,0.65
34,24,"Cam Spencer","Memphis Grizzlies",25,16,25.8,18,1.125,16,7,9,43.8,56.3,0,0,43.8,7,3,4,42.9,9,4,5,44.4,0.56
34,0,"Keion Brooks Jr.","New Orleans Pelicans",14,16,28.6,18,1.125,16,8,8,50,53.1,0.06,6.3,50,13,7,6,53.8,3,1,2,33.3,0.19
36,13,"Jordan Poole","Washington Wizards",68,386,56.8,433,1.122,386,150,236,38.9,56,0,0.3,38.9,51,18,33,35.3,335,132,203,39.4,0.87
37,5,"Quentin Grimes","Dallas Mavericks",47,105,41.5,117,1.114,105,46,59,43.8,55.7,0,0,43.8,52,21,31,40.4,53,25,28,47.2,0.5
38,35,"Kevin Durant","Phoenix Suns",62,453,56.3,503,1.11,453,236,217,52.1,54.7,0.02,1.5,52.1,380,212,168,55.8,73,24,49,32.9,0.16
39,55,"Duncan Robinson","Miami Heat",80,197,37.8,218,1.107,197,74,123,37.6,55.3,0,0,37.6,15,4,11,26.7,182,70,112,38.5,0.92
40,15,"Jose Alvarado","New Orleans Pelicans",56,123,37.5,136,1.106,123,48,75,39,55.3,0,0,39,15,8,7,53.3,108,40,68,37,0.88
41,12,"Collin Gillespie","Phoenix Suns",33,50,43.1,55,1.1,50,21,29,42,54,0.02,2,42,23,9,14,39.1,27,12,15,44.4,0.54
42,8,"Grayson Allen","Phoenix Suns",64,61,17.2,67,1.098,61,23,38,37.7,54.9,0,0,37.7,4,2,2,50,57,21,36,36.8,0.93
43,40,"Harrison Barnes","San Antonio Spurs",82,65,16.9,71,1.092,65,27,38,41.5,54.6,0,0,41.5,21,10,11,47.6,44,17,27,38.6,0.68
43,12,"De'Andre Hunter","Atlanta Hawks",37,109,34.1,119,1.092,109,49,60,45,53.2,0.03,2.8,45,61,31,30,50.8,48,18,30,37.5,0.44
45,17,"Dorian Finney-Smith","Los Angeles Lakers",48,11,4.8,12,1.091,11,5,6,45.5,54.5,0,0,45.5,5,3,2,60,6,2,4,33.3,0.55
45,20,"Georges Niang","Atlanta Hawks",30,11,5.4,12,1.091,11,5,6,45.5,54.5,0,0,45.5,6,3,3,50,5,2,3,40,0.45
47,32,"Aaron Gordon","Denver Nuggets",65,101,36.3,110,1.089,101,43,58,42.6,54.5,0,0,42.6,38,19,19,50,63,24,39,38.1,0.62
48,10,"Darius Garland","Cleveland Cavaliers",80,475,65.7,516,1.086,475,193,282,40.6,53.7,0.01,1.3,40.6,154,69,85,44.8,321,124,197,38.6,0.68
49,5,"Immanuel Quickley","Toronto Raptors",33,131,51.6,142,1.084,131,50,81,38.2,53.8,0.01,0.8,38.2,25,9,16,36,106,41,65,38.7,0.81
50,54,"Sandro Mamukelashvili","San Antonio Spurs",61,14,8.5,15,1.071,14,5,9,35.7,53.6,0,0,35.7,1,0,1,0,13,5,8,38.5,0.93
50,3,"Caris LeVert","Atlanta Hawks",28,84,44.9,90,1.071,84,35,49,41.7,52.4,0.02,2.4,41.7,40,17,23,42.5,44,18,26,40.9,0.52
52,25,"Marcus Sasser","Detroit Pistons",57,129,64.8,138,1.07,129,52,77,40.3,53.5,0,0,40.3,42,18,24,42.9,87,34,53,39.1,0.67
53,18,"Alec Burks","Miami Heat",52,62,25.7,66,1.065,62,25,37,40.3,52.4,0.02,1.6,40.3,22,10,12,45.5,40,15,25,37.5,0.65
