sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,31,"Bryce Dejean-Jones","New Orleans Pelicans",14,15,34.1,22,1.467,15,9,6,60,73.3,0,0,60,10,5,5,50,5,4,1,80,0.33
2,12,"Jordan McRae","Cleveland Cavaliers",17,18,66.7,24,1.333,18,9,9,50,63.9,0.06,5.6,50,12,4,8,33.3,6,5,1,83.3,0.33
3,18,"Omri Casspi","Sacramento Kings",69,59,20.7,74,1.254,59,25,34,42.4,62.7,0,0,42.4,8,1,7,12.5,51,24,27,47.1,0.86
4,42,"Alexis Ajinca","New Orleans Pelicans",59,13,10.5,16,1.231,13,8,5,61.5,61.5,0,0,61.5,13,8,5,61.5,0,0,0,,0
5,31,"Caron Butler","Sacramento Kings",17,18,36.7,22,1.222,18,11,7,61.1,61.1,0,0,61.1,17,11,6,64.7,1,0,1,0,0.06
6,30,"Stephen Curry","Golden State Warriors",97,784,59.8,950,1.212,784,344,440,43.9,60.3,0.01,0.5,43.9,187,86,101,46,597,258,339,43.2,0.76
7,3,"Mike Miller","Denver Nuggets",47,10,17.9,12,1.2,10,4,6,40,60,0,0,40,3,0,3,0,7,4,3,57.1,0.7
8,12,"DJ Augustin","Denver Nuggets",28,93,65.5,109,1.172,93,41,52,44.1,56.5,0.05,5.4,44.1,33,18,15,54.5,60,23,37,38.3,0.65
9,10,"Eric Gordon","New Orleans Pelicans",45,127,34,148,1.165,127,57,70,44.9,56.7,0.03,3.1,44.9,67,27,40,40.3,60,30,30,50,0.47
10,24,"Andre Miller","Minnesota Timberwolves",26,20,95.2,23,1.15,20,11,9,55,55,0.05,5,55,17,11,6,64.7,3,0,3,0,0.15
11,97,"Johnny OBryant","Milwaukee Bucks",66,14,14.9,16,1.143,14,8,6,57.1,57.1,0,0,57.1,14,8,6,57.1,0,0,0,,0
12,9,"Andrea Bargnani","Brooklyn Nets",46,52,26.3,58,1.115,52,27,25,51.9,51.9,0.08,7.7,51.9,52,27,25,51.9,0,0,0,,0
13,21,"Ian Clark","Golden State Warriors",82,53,39.8,59,1.113,53,24,29,45.3,54.7,0.02,1.9,45.3,26,14,12,53.8,27,10,17,37,0.51
