sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,8,"Luke Babbitt","Atlanta Hawks",37,40,26.7,58,1.45,40,25,15,62.5,71.3,0.03,2.5,62.5,30,18,12,60,10,7,3,70,0.25
2,4,"Derrick White","San Antonio Spurs",20,13,59.1,17,1.308,13,6,7,46.2,65.4,0,0,46.2,5,1,4,20,8,5,3,62.5,0.62
3,23,"Sterling Brown","Milwaukee Bucks",57,34,27.2,44,1.294,34,19,15,55.9,64.7,0,0,55.9,25,13,12,52,9,6,3,66.7,0.26
4,44,"Nikola Mirotic","Chicago Bulls",25,60,30.3,76,1.267,60,29,31,48.3,61.7,0.03,3.3,48.3,30,13,17,43.3,30,16,14,53.3,0.5
5,12,"Joe Harris","Brooklyn Nets",78,75,19,94,1.253,75,36,39,48,62,0.01,1.3,48,28,15,13,53.6,47,21,26,44.7,0.63
6,14,"Gerald Green","Houston Rockets",58,139,32.9,170,1.223,139,63,76,45.3,60.8,0.01,0.7,45.3,43,20,23,46.5,96,43,53,44.8,0.69
7,2,"Marvin  Williams","Charlotte Hornets",78,19,5.8,23,1.211,19,9,10,47.4,60.5,0,0,47.4,9,4,5,44.4,10,5,5,50,0.53
8,21,"Darius Miller","New Orleans Pelicans",91,112,23.4,135,1.205,112,58,54,51.8,59.4,0.02,1.8,51.8,76,41,35,53.9,36,17,19,47.2,0.32
9,27,"Jusuf Nurkic","Portland Trail Blazers",83,10,6.8,12,1.2,10,6,4,60,60,0,0,60,9,6,3,66.7,1,0,1,0,0.1
9,27,"Jordan Crawford","New Orleans Pelicans",7,20,58.8,24,1.2,20,10,10,50,60,0,0,50,10,6,4,60,10,4,6,40,0.5
11,30,"Stephen Curry","Golden State Warriors",66,419,51.1,487,1.162,419,183,236,43.7,57.6,0.01,1.4,43.7,126,66,60,52.4,293,117,176,39.9,0.7
12,3,"David West","Golden State Warriors",91,20,12.5,23,1.15,20,11,9,55,57.5,0,0,55,18,10,8,55.6,2,1,1,50,0.1
13,33,"Myles Turner","Indiana Pacers",72,22,5.8,25,1.136,22,12,10,54.5,56.8,0,0,54.5,17,11,6,64.7,5,1,4,20,0.23
13,4,"Quinn Cook","Golden State Warriors",50,147,64.2,167,1.136,147,72,75,49,56.5,0.01,0.7,49,90,50,40,55.6,57,22,35,38.6,0.39
15,14,"DJ Augustin","Orlando Magic",75,156,48.1,176,1.128,156,66,90,42.3,55.8,0.01,1.3,42.3,50,24,26,48,106,42,64,39.6,0.68
16,12,"Luc Mbah a Moute","Houston Rockets",70,16,8.2,18,1.125,16,6,10,37.5,56.3,0,0,37.5,6,0,6,0,10,6,4,60,0.63
17,11,"Kyrie Irving","Boston Celtics",60,346,54.5,387,1.118,346,162,184,46.8,55.3,0.02,2,46.8,193,103,90,53.4,153,59,94,38.6,0.44
18,25,"Chandler Parsons","Memphis Grizzlies",36,77,45,85,1.104,77,36,41,46.8,55.2,0,0,46.8,43,23,20,53.5,34,13,21,38.2,0.44
19,34,"Devin Harris","Denver Nuggets",27,48,41.4,52,1.083,48,19,29,39.6,53.1,0.02,2.1,39.6,14,6,8,42.9,34,13,21,38.2,0.71
20,3,"Chris Paul","Houston Rockets",73,480,59,518,1.079,480,217,263,45.2,53.3,0.01,1.3,45.2,277,139,138,50.2,203,78,125,38.4,0.42
21,0,"Sean Kilpatrick","Chicago Bulls",9,27,40.9,29,1.074,27,12,15,44.4,51.9,0.04,3.7,44.4,17,8,9,47.1,10,4,6,40,0.37
22,23,"Royce ONeale","Utah Jazz",80,43,26.2,46,1.07,43,18,25,41.9,53.5,0,0,41.9,18,8,10,44.4,25,10,15,40,0.58
22,21,"Damyean Dotson","New York Knicks",44,43,38.4,46,1.07,43,21,22,48.8,53.5,0,0,48.8,27,17,10,63,16,4,12,25,0.37
24,25,"Austin Rivers","Los Angeles Clippers",61,131,33.3,140,1.069,131,49,82,37.4,53.4,0,0,37.4,25,7,18,28,106,42,64,39.6,0.81
25,44,"Bojan Bogdanovic","Indiana Pacers",87,195,32.7,208,1.067,195,89,106,45.6,52.8,0.01,1,45.6,136,61,75,44.9,59,28,31,47.5,0.3
26,12,"Tyreke Evans","Memphis Grizzlies",52,186,49.2,198,1.065,186,74,112,39.8,53,0.01,0.5,39.8,66,25,41,37.9,120,49,71,40.8,0.65
27,37,"Semi Ojeleye","Boston Celtics",90,16,9.9,17,1.063,16,7,9,43.8,53.1,0,0,43.8,8,4,4,50,8,3,5,37.5,0.5
28,15,"Isaiah Whitehead","Brooklyn Nets",16,17,58.6,18,1.059,17,7,10,41.2,50,0.06,5.9,41.2,11,4,7,36.4,6,3,3,50,0.35
28,4,"Lorenzo Brown","Toronto Raptors",18,17,53.1,18,1.059,17,8,9,47.1,52.9,0,0,47.1,13,6,7,46.2,4,2,2,50,0.24
30,9,"C.J. Williams","Los Angeles Clippers",38,56,47.1,59,1.054,56,25,31,44.6,52.7,0,0,44.6,33,16,17,48.5,23,9,14,39.1,0.41
