sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,15,"Shabazz Muhammad","Minnesota Timberwolves",37,11,32.4,18,1.636,11,8,3,72.7,72.7,0.18,18.2,72.7,11,8,3,72.7,0,0,0,,0
2,30,"Troy Daniels","Houston Rockets",9,14,31.8,21,1.5,14,8,6,57.1,75,0,0,57.1,5,3,2,60,9,5,4,55.6,0.64
3,21,"Roger Mason Jr.","Miami Heat",25,17,27,22,1.294,17,9,8,52.9,64.7,0,0,52.9,10,5,5,50,7,4,3,57.1,0.41
4,9,"Pablo Prigioni","New York Knicks",66,62,39.2,79,1.274,62,28,34,45.2,63.7,0,0,45.2,15,5,10,33.3,47,23,24,48.9,0.76
5,8,"Rasual Butler","Indiana Pacers",61,28,27.5,34,1.214,28,14,14,50,60.7,0,0,50,19,8,11,42.1,9,6,3,66.7,0.32
6,34,"Peyton Siva","Detroit Pistons",24,16,53.3,19,1.188,16,7,9,43.8,59.4,0,0,43.8,5,2,3,40,11,5,6,45.5,0.69
7,7,"Elton Brand","Atlanta Hawks",80,33,22,38,1.152,33,19,14,57.6,57.6,0.03,3,57.6,33,19,14,57.6,0,0,0,,0
8,7,"Jimmer Fredette","Sacramento Kings",41,88,65.7,99,1.125,88,41,47,46.6,56.3,0.01,1.1,46.6,50,24,26,48,38,17,21,44.7,0.43
9,30,"Stephen Curry","Golden State Warriors",85,751,68.3,833,1.109,751,333,418,44.3,54.9,0.01,1.2,44.3,359,174,185,48.5,392,159,233,40.6,0.52
10,40,"Jeremy Evans","Utah Jazz",66,11,11.1,12,1.091,11,6,5,54.5,54.5,0,0,54.5,11,6,5,54.5,0,0,0,,0
11,10,"Greivis Vasquez","Sacramento Kings",18,35,48.6,38,1.086,35,16,19,45.7,52.9,0.03,2.9,45.7,21,11,10,52.4,14,5,9,35.7,0.4
12,11,"Courtney Lee","Boston Celtics",30,65,52,70,1.077,65,33,32,50.8,53.8,0,0,50.8,57,29,28,50.9,8,4,4,50,0.12
12,22,"Chris Copeland","Indiana Pacers",53,13,13.3,14,1.077,13,5,8,38.5,53.8,0.08,7.7,38.5,2,1,1,50,11,4,7,36.4,0.85
14,41,"Dirk Nowitzki","Dallas Mavericks",87,192,23.2,205,1.068,192,96,96,50,52.3,0.03,3.1,50,171,87,84,50.9,21,9,12,42.9,0.11
15,33,"Marc Gasol","Memphis Grizzlies",66,18,6.9,19,1.056,18,9,9,50,52.8,0,0,50,13,8,5,61.5,5,1,4,20,0.28
16,8,"Patty Mills","San Antonio Spurs",104,345,53.4,363,1.052,345,155,190,44.9,52.6,0,0,44.9,230,102,128,44.3,115,53,62,46.1,0.33
17,4,"Randy Foye","Denver Nuggets",81,221,33.4,232,1.05,221,96,125,43.4,52.5,0,0.5,43.4,133,56,77,42.1,88,40,48,45.5,0.4
18,25,"Nando De Colo","San Antonio Spurs",26,27,50,28,1.037,27,12,15,44.4,50,0.04,3.7,44.4,21,9,12,42.9,6,3,3,50,0.22
19,21,"Greivis Vasquez","Toronto Raptors",68,110,32.9,114,1.036,110,49,61,44.5,51.8,0,0,44.5,62,33,29,53.2,48,16,32,33.3,0.44
20,0,"Damian Lillard","Portland Trail Blazers",93,491,56.6,504,1.026,491,200,291,40.7,50.9,0.01,1,40.7,215,100,115,46.5,276,100,176,36.2,0.56
21,14,"Danny Green","San Antonio Spurs",91,161,30.6,163,1.012,161,64,97,39.8,50.3,0.01,0.6,39.8,80,30,50,37.5,81,34,47,42,0.5
22,6,"Derek Fisher","Oklahoma City Thunder",100,147,38.8,148,1.007,147,60,87,40.8,50,0.01,1.4,40.8,88,33,55,37.5,59,27,32,45.8,0.4
23,9,"Rajon Rondo","Boston Celtics",30,89,56.3,89,1,89,38,51,42.7,49.4,0.01,1.1,42.7,54,26,28,48.1,35,12,23,34.3,0.39
23,1,"Doron Lamb","Orlando Magic",67,26,23,26,1,26,11,15,42.3,50,0,0,42.3,20,7,13,35,6,4,2,66.7,0.23
23,23,"Toure Murry","New York Knicks",51,43,65.2,43,1,43,20,23,46.5,48.8,0.02,2.3,46.5,39,18,21,46.2,4,2,2,50,0.09
23,15,"Anthony Bennett","Cleveland Cavaliers",52,16,13,16,1,16,7,9,43.8,50,0,0,43.8,13,5,8,38.5,3,2,1,66.7,0.19
23,22,"Matt Barnes","Los Angeles Clippers",77,34,8.6,34,1,34,14,20,41.2,50,0,0,41.2,20,8,12,40,14,6,8,42.9,0.41
23,14,"Jason Smith","New Orleans Pelicans",31,20,9.8,20,1,20,10,10,50,50,0,0,50,20,10,10,50,0,0,0,,0
23,5,"Courtney Lee","Memphis Grizzlies",56,133,40.8,133,1,133,65,68,48.9,49.2,0.02,2.3,48.9,126,64,62,50.8,7,1,6,14.3,0.05
23,15,"Matt Bonner","San Antonio Spurs",83,11,8.2,11,1,11,5,6,45.5,50,0,0,45.5,10,4,6,40,1,1,0,100,0.09
23,14,"D.J. Augustin","Chicago Bulls",66,302,60.2,302,1,302,119,183,39.4,49.3,0.02,2,39.4,151,59,92,39.1,151,60,91,39.7,0.5
32,27,"Jordan Crawford","Boston Celtics",39,178,58.6,177,0.994,178,80,98,44.9,49.4,0.01,0.6,44.9,129,64,65,49.6,49,16,33,32.7,0.28
33,3,"Chris Paul","Los Angeles Clippers",75,542,71.9,538,0.993,542,244,298,45,49,0.01,1.3,45,420,201,219,47.9,122,43,79,35.2,0.23
34,34,"Mike Dunleavy","Chicago Bulls",87,147,24,144,0.98,147,62,85,42.2,49,0,0,42.2,110,42,68,38.2,37,20,17,54.1,0.25
35,13,"Mike Miller","Memphis Grizzlies",89,90,22.1,88,0.978,90,40,50,44.4,48.3,0.01,1.1,44.4,78,33,45,42.3,12,7,5,58.3,0.13
36,15,"Mario Chalmers","Miami Heat",93,60,19.5,58,0.967,60,23,37,38.3,46.7,0.05,5,38.3,31,13,18,41.9,29,10,19,34.5,0.48
37,19,"Beno Udrih","Memphis Grizzlies",17,25,58.1,24,0.96,25,12,13,48,48,0,0,48,23,12,11,52.2,2,0,2,0,0.08
37,20,"Tony Snell","Chicago Bulls",83,50,20.2,48,0.96,50,22,28,44,48,0,0,44,37,18,19,48.6,13,4,9,30.8,0.26
39,5,"Jannero Pargo","Charlotte Hornets",30,67,59.8,64,0.955,67,29,38,43.3,47.8,0,0,43.3,43,23,20,53.5,24,6,18,25,0.36
39,4,"JJ Redick","Los Angeles Clippers",48,156,35.5,149,0.955,156,68,88,43.6,47.4,0.01,0.6,43.6,112,56,56,50,44,12,32,27.3,0.28
39,22,"Isaiah Thomas","Sacramento Kings",73,423,65.3,404,0.955,423,172,251,40.7,47.4,0.01,1.2,40.7,250,115,135,46,173,57,116,32.9,0.41
42,8,"Jose Calderon","Dallas Mavericks",88,316,43.8,300,0.949,316,135,181,42.7,47.3,0,0.3,42.7,245,106,139,43.3,71,29,42,40.8,0.22
43,34,"Ray Allen","Miami Heat",93,128,24.4,121,0.945,128,55,73,43,46.9,0.01,0.8,43,91,45,46,49.5,37,10,27,27,0.29
44,0,"Toney Douglas","Golden State Warriors",28,35,48.6,33,0.943,35,13,22,37.1,47.1,0.03,2.9,37.1,12,6,6,50,23,7,16,30.4,0.66
45,11,"Mike Conley","Memphis Grizzlies",80,305,53.7,287,0.941,305,127,178,41.6,46.7,0.01,1,41.6,213,96,117,45.1,92,31,61,33.7,0.3
46,31,"Jason Terry","Brooklyn Nets",36,33,24.6,31,0.939,33,12,21,36.4,47,0,0,36.4,21,5,16,23.8,12,7,5,58.3,0.36
47,26,"Kyle Korver","Atlanta Hawks",79,157,25.2,147,0.936,157,64,93,40.8,46.5,0.01,1.3,40.8,108,46,62,42.6,49,18,31,36.7,0.31
47,4,"Arron Afflalo","Orlando Magic",73,250,37.5,234,0.936,250,108,142,43.2,45.4,0.03,2.8,43.2,217,97,120,44.7,33,11,22,33.3,0.13
49,11,"Glen Davis","Orlando Magic",45,31,13.8,29,0.935,31,14,17,45.2,46.8,0,0,45.2,28,13,15,46.4,3,1,2,33.3,0.1
50,0,"CJ Miles","Cleveland Cavaliers",60,76,25.9,71,0.934,76,32,44,42.1,46.7,0,0,42.1,60,25,35,41.7,16,7,9,43.8,0.21
51,23,"Anthony Davis","New Orleans Pelicans",67,74,22.6,69,0.932,74,32,42,43.2,43.2,0.07,6.8,43.2,74,32,42,43.2,0,0,0,,0
52,0,"Nick Young","Los Angeles Lakers",70,349,52.3,325,0.931,349,141,208,40.4,45.6,0.02,2.3,40.4,263,105,158,39.9,86,36,50,41.9,0.25
52,2,"Kyrie Irving","Cleveland Cavaliers",71,507,63.3,472,0.931,507,208,299,41,46.4,0.01,0.6,41,377,154,223,40.8,130,54,76,41.5,0.26
54,6,"Lebron James","Miami Heat",97,316,42.8,294,0.93,316,122,194,38.6,46.4,0.01,0.9,38.6,187,73,114,39,129,49,80,38,0.41
55,6,"Pero Antic","Atlanta Hawks",57,14,6.1,13,0.929,14,6,8,42.9,46.4,0,0,42.9,8,5,3,62.5,6,1,5,16.7,0.43
56,11,"Markieff Morris","Phoenix Suns",81,82,28.9,76,0.927,82,37,45,45.1,45.7,0.01,1.2,45.1,76,36,40,47.4,6,1,5,16.7,0.07
57,8,"Deron Williams","Brooklyn Nets",76,270,48.3,250,0.926,270,108,162,40,45.9,0.01,1.1,40,168,76,92,45.2,102,32,70,31.4,0.38
57,14,"Gerald Green","Phoenix Suns",82,296,38.1,274,0.926,296,116,180,39.2,46.3,0,0,39.2,191,74,117,38.7,105,42,63,40,0.35
59,4,"Luis Scola","Indiana Pacers",100,26,6.9,24,0.923,26,12,14,46.2,46.2,0,0,46.2,23,12,11,52.2,3,0,3,0,0.12
60,12,"Gary Neal","Charlotte Hornets",26,103,60.9,95,0.922,103,41,62,39.8,45.1,0.02,1.9,39.8,69,30,39,43.5,34,11,23,32.4,0.33
60,3,"Dwyane Wade","Miami Heat",74,269,66.3,248,0.922,269,119,150,44.2,45.5,0.01,1.5,44.2,252,112,140,44.4,17,7,10,41.2,0.06
62,22,"James Jones","Miami Heat",35,12,11.9,11,0.917,12,4,8,33.3,45.8,0,0,33.3,6,1,5,16.7,6,3,3,50,0.5
62,9,"Serge Ibaka","Oklahoma City Thunder",98,36,6.7,33,0.917,36,16,20,44.4,45.8,0,0,44.4,34,15,19,44.1,2,1,1,50,0.06
62,33,"Ryan Anderson","New Orleans Pelicans",22,48,21.1,44,0.917,48,21,27,43.8,45.8,0,0,43.8,40,19,21,47.5,8,2,6,25,0.17
65,11,"Jrue Holiday","New Orleans Pelicans",35,203,81.9,186,0.916,203,85,118,41.9,45.8,0,0,41.9,157,69,88,43.9,46,16,30,34.8,0.23
66,1,"Jordan Farmar","Los Angeles Lakers",41,115,46.7,105,0.913,115,42,73,36.5,45.2,0.01,0.9,36.5,67,22,45,32.8,48,20,28,41.7,0.42
66,32,"Spencer Hawes","Cleveland Cavaliers",27,23,16.3,21,0.913,23,10,13,43.5,45.7,0,0,43.5,22,9,13,40.9,1,1,0,100,0.04
68,2,"Kawhi Leonard","San Antonio Spurs",90,194,41.4,177,0.912,194,85,109,43.8,45.4,0.01,1,43.8,174,79,95,45.4,20,6,14,30,0.1
68,35,"Kevin Durant","Oklahoma City Thunder",100,657,52.9,599,0.912,657,260,397,39.6,44.7,0.02,2,39.6,454,193,261,42.5,203,67,136,33,0.31
68,0,"Russell Westbrook","Oklahoma City Thunder",71,453,70.1,413,0.912,453,175,278,38.6,44.9,0.02,1.8,38.6,296,118,178,39.9,157,57,100,36.3,0.35
71,13,"James Harden","Houston Rockets",79,391,50.3,356,0.91,391,145,246,37.1,44.9,0.01,1.3,37.1,213,84,129,39.4,178,61,117,34.3,0.46
72,2,"Kyle O'Quinn","Orlando Magic",69,11,6.9,10,0.909,11,5,6,45.5,45.5,0,0,45.5,10,5,5,50,1,0,1,0,0.09
