sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,8,"James Ennis III","Houston Rockets",40,14,11.4,21,1.5,14,7,7,50,71.4,0.07,7.1,50,1,1,0,100,13,6,7,46.2,0.93
2,8,"Alex Abrines","Oklahoma City Thunder",31,17,12.4,25,1.471,17,9,8,52.9,73.5,0,0,52.9,5,2,3,40,12,7,5,58.3,0.71
3,12,"C.J. Williams","Minnesota Timberwolves",15,11,50,16,1.455,11,7,4,63.6,72.7,0,0,63.6,6,5,1,83.3,5,2,3,40,0.45
4,26,"Kyle Korver","Cleveland Cavaliers",16,18,26.5,26,1.444,18,9,9,50,69.4,0.06,5.6,50,6,2,4,33.3,12,7,5,58.3,0.67
5,67,"Taj Gibson","Minnesota Timberwolves",70,12,13.3,16,1.333,12,8,4,66.7,66.7,0,0,66.7,9,8,1,88.9,3,0,3,0,0.25
5,31,"Georges Niang","Utah Jazz",64,12,9.6,16,1.333,12,6,6,50,66.7,0,0,50,5,2,3,40,7,4,3,57.1,0.58
5,0,"Kevin Love","Cleveland Cavaliers",22,36,21.1,48,1.333,36,17,19,47.2,66.7,0,0,47.2,9,3,6,33.3,27,14,13,51.9,0.75
8,22,"Wilson Chandler","Los Angeles Clippers",19,14,22.2,18,1.286,14,8,6,57.1,64.3,0,0,57.1,12,6,6,50,2,2,0,100,0.14
9,0,"Avery Bradley","Memphis Grizzlies",14,91,62.8,114,1.253,91,49,42,53.8,62.1,0.01,1.1,53.8,63,34,29,54,28,15,13,53.6,0.31
10,3,"George Hill","Cleveland Cavaliers",13,34,56.7,42,1.235,34,19,15,55.9,61.8,0,0,55.9,26,15,11,57.7,8,4,4,50,0.24
11,3,"Cameron Payne","Cleveland Cavaliers",9,18,58.1,22,1.222,18,8,10,44.4,61.1,0,0,44.4,6,2,4,33.3,12,6,6,50,0.67
12,11,"Meyers Leonard","Portland Trail Blazers",72,14,8.7,17,1.214,14,7,7,50,60.7,0,0,50,8,4,4,50,6,3,3,50,0.43
12,0,"Isaiah Canaan","Phoenix Suns",19,28,34.1,34,1.214,28,14,14,50,60.7,0,0,50,9,8,1,88.9,19,6,13,31.6,0.68
14,6,"Jared Dudley","Brooklyn Nets",63,15,8.2,18,1.2,15,8,7,53.3,60,0,0,53.3,11,6,5,54.5,4,2,2,50,0.27
15,1,"Damion Lee","Golden State Warriors",32,22,25.3,26,1.182,22,11,11,50,59.1,0,0,50,15,7,8,46.7,7,4,3,57.1,0.32
16,22,"Deandre Ayton","Phoenix Suns",71,12,8.8,14,1.167,12,7,5,58.3,58.3,0,0,58.3,12,7,5,58.3,0,0,0,,0
17,3,"Trey Burke","Dallas Mavericks",25,60,55,69,1.15,60,29,31,48.3,56.7,0.02,1.7,48.3,34,19,15,55.9,26,10,16,38.5,0.43
18,14,"DJ Augustin","Orlando Magic",86,226,55.7,258,1.142,226,96,130,42.5,56.2,0.02,2.2,42.5,72,34,38,47.2,154,62,92,40.3,0.68
19,1,"Nik Stauskas","Cleveland Cavaliers",24,38,47.5,43,1.132,38,16,22,42.1,56.6,0,0,42.1,17,5,12,29.4,21,11,10,52.4,0.55
20,30,"Stephen Curry","Golden State Warriors",91,613,48.2,693,1.131,613,257,356,41.9,56.2,0.01,1,41.9,171,82,89,48,442,175,267,39.6,0.72
21,13,"Bam Adebayo","Miami Heat",82,23,46,26,1.13,23,12,11,52.2,56.5,0,0,52.2,18,10,8,55.6,5,2,3,40,0.22
21,9,"Chasson Randle","Washington Wizards",49,46,36.8,52,1.13,46,18,28,39.1,56.5,0,0,39.1,13,2,11,15.4,33,16,17,48.5,0.72
23,11,"Brook Lopez","Milwaukee Bucks",96,95,15,107,1.126,95,40,55,42.1,55.3,0.03,3.2,42.1,41,15,26,36.6,54,25,29,46.3,0.57
24,3,"Jared Terrell","Minnesota Timberwolves",14,16,57.1,18,1.125,16,8,8,50,56.3,0,0,50,11,6,5,54.5,5,2,3,40,0.31
24,5,"D.J. Wilson","Milwaukee Bucks",56,32,19.9,36,1.125,32,15,17,46.9,56.3,0,0,46.9,22,9,13,40.9,10,6,4,60,0.31
26,1,"Landry Shamet","Philadelphia 76ers",54,83,29.3,93,1.12,83,35,48,42.2,54.2,0.04,3.6,42.2,32,15,17,46.9,51,20,31,39.2,0.61
27,8,"Wayne Ellington","Detroit Pistons",32,109,42.6,122,1.119,109,43,66,39.4,56,0,0,39.4,13,7,6,53.8,96,36,60,37.5,0.88
28,30,"Troy Daniels","Phoenix Suns",51,87,36.9,97,1.115,87,38,49,43.7,55.7,0.01,1.1,43.7,37,17,20,45.9,50,21,29,42,0.57
29,43,"Anthony Tolliver","Minnesota Timberwolves",65,10,4.5,11,1.1,10,4,6,40,55,0,0,40,1,1,0,100,9,3,6,33.3,0.9
30,12,"Kelly Oubre Jr.","Washington Wizards",29,41,26.1,45,1.098,41,18,23,43.9,52.4,0.05,4.9,43.9,22,11,11,50,19,7,12,36.8,0.46
31,2,"Joe  Ingles","Utah Jazz",87,180,33.4,197,1.094,180,69,111,38.3,54.7,0,0,38.3,25,10,15,40,155,59,96,38.1,0.86
32,7,"JaVale McGee","Los Angeles Lakers",75,11,27.5,12,1.091,11,6,5,54.5,54.5,0,0,54.5,11,6,5,54.5,0,0,0,,0
33,21,"Patrick Beverly","Los Angeles Clippers",84,90,27.5,98,1.089,90,34,56,37.8,53.9,0.01,1.1,37.8,16,5,11,31.3,74,29,45,39.2,0.82
34,24,"Pat Connaughton","Milwaukee Bucks",76,34,13,37,1.088,34,15,19,44.1,54.4,0,0,44.1,17,8,9,47.1,17,7,10,41.2,0.5
35,20,"Brandon Knight","Cleveland Cavaliers",27,72,53.3,78,1.083,72,33,39,45.8,54.2,0,0,45.8,36,21,15,58.3,36,12,24,33.3,0.5
36,4,"Danuel House","Houston Rockets",46,51,23.9,55,1.078,51,19,32,37.3,53.9,0,0,37.3,4,2,2,50,47,17,30,36.2,0.92
37,22,"Glenn Robinson III","Detroit Pistons",50,27,26.5,29,1.074,27,14,13,51.9,53.7,0,0,51.9,24,13,11,54.2,3,1,2,33.3,0.11
38,13,"James Harden","Houston Rockets",89,547,44,587,1.073,547,203,344,37.1,53.1,0.01,1.5,37.1,72,28,44,38.9,475,175,300,36.8,0.87
38,22,"Rudy Gay","San Antonio Spurs",76,219,49.5,235,1.073,219,112,107,51.1,53.4,0.01,0.9,51.1,193,102,91,52.8,26,10,16,38.5,0.12
40,12,"Joe Harris","Brooklyn Nets",81,97,21.4,104,1.072,97,39,58,40.2,53.6,0,0,40.2,40,13,27,32.5,57,26,31,45.6,0.59
41,42,"Davis Bertans","San Antonio Spurs",81,79,20,84,1.063,79,34,45,43,53.2,0.01,1.3,43,35,18,17,51.4,44,16,28,36.4,0.56
42,26,"Kyle Korver","Utah Jazz",58,133,34.5,141,1.06,133,52,81,39.1,51.9,0.02,2.3,39.1,52,18,34,34.6,81,34,47,42,0.61
43,9,"Langston Galloway","Detroit Pistons",84,102,21,108,1.059,102,47,55,46.1,52.5,0.02,2,46.1,72,34,38,47.2,30,13,17,43.3,0.29
44,23,"Blake Griffin","Detroit Pistons",77,251,42.2,265,1.056,251,91,160,36.3,52.2,0.01,1.2,36.3,37,11,26,29.7,214,80,134,37.4,0.85
45,7,"Jeremy Lin","Atlanta Hawks",51,129,59.2,136,1.054,129,60,69,46.5,52.7,0,0,46.5,84,44,40,52.4,45,16,29,35.6,0.35
45,1,"Kyle Anderson","Memphis Grizzlies",44,37,45.7,39,1.054,37,19,18,51.4,52.7,0,0,51.4,34,18,16,52.9,3,1,2,33.3,0.08
47,17,"JJ Redick","Philadelphia 76ers",88,538,53,566,1.052,538,230,308,42.8,52.3,0.01,0.7,42.8,251,127,124,50.6,287,103,184,35.9,0.53
48,2,"Wayne Ellington","Miami Heat",25,41,25.3,43,1.049,41,15,26,36.6,52.4,0,0,36.6,5,2,3,40,36,13,23,36.1,0.88
49,3,"Chris Paul","Houston Rockets",69,387,58.8,405,1.047,387,171,216,44.2,51.9,0.01,0.8,44.2,208,111,97,53.4,179,60,119,33.5,0.46
50,3,"Yogi Ferrell","Sacramento Kings",71,152,61.8,159,1.046,152,68,84,44.7,52,0.01,1.3,44.7,93,46,47,49.5,59,22,37,37.3,0.39
51,3,"CJ McCollum","Portland Trail Blazers",86,656,66.5,685,1.044,656,293,363,44.7,52.1,0,0.3,44.7,387,196,191,50.6,269,97,172,36.1,0.41
52,14,"Jonathon Simmons","Philadelphia 76ers",22,23,48.9,24,1.043,23,11,12,47.8,52.2,0,0,47.8,16,9,7,56.3,7,2,5,28.6,0.3
53,35,"Kevin Durant","Golden State Warriors",90,606,58.6,629,1.038,606,281,325,46.4,51.2,0.01,1.3,46.4,424,222,202,52.4,182,59,123,32.4,0.3
54,34,"Tobias Harris","Los Angeles Clippers",55,254,54.5,263,1.035,254,115,139,45.3,50.8,0.02,2,45.3,197,87,110,44.2,57,28,29,49.1,0.22
54,3,"Kevin Huerter","Atlanta Hawks",75,173,40.9,179,1.035,173,69,104,39.9,51.7,0,0,39.9,64,28,36,43.8,109,41,68,37.6,0.63
54,15,"Kemba Walker","Charlotte Hornets",82,753,71,779,1.035,753,309,444,41,51.4,0.01,0.9,41,303,153,150,50.5,450,156,294,34.7,0.6
57,33,"Wesley Johnson","New Orleans Pelicans",26,29,40.3,30,1.034,29,12,17,41.4,51.7,0,0,41.4,18,6,12,33.3,11,6,5,54.5,0.38
58,22,"Khris Middleton","Milwaukee Bucks",92,398,47,410,1.03,398,168,230,42.2,50.8,0.02,1.3,42.5,208,100,108,48.1,190,68,122,35.8,0.48
59,0,"Damian Lillard","Portland Trail Blazers",96,806,68.7,829,1.029,806,323,483,40.1,51,0.01,1,40.1,334,147,187,44,472,176,296,37.3,0.59
60,3,"Tim Hardaway Jr.","New York Knicks",46,252,49.9,258,1.024,252,103,149,40.9,50,0.02,2.4,40.9,136,57,79,41.9,116,46,70,39.7,0.46
60,31,"Seth Curry","Portland Trail Blazers",90,211,49.3,216,1.024,211,88,123,41.7,50.7,0.01,0.9,41.7,116,50,66,43.1,95,38,57,40,0.45
62,16,"James Johnson","Miami Heat",55,53,29,54,1.019,53,22,31,41.5,50.9,0.02,1.9,41.5,28,12,16,42.9,25,10,15,40,0.47
63,11,"Bryn Forbes","San Antonio Spurs",89,312,49,317,1.016,312,133,179,42.6,50.3,0.01,1,42.6,183,85,98,46.4,129,48,81,37.2,0.41
64,11,"Monte Morris","Denver Nuggets",96,209,49.6,212,1.014,209,96,113,45.9,50,0.01,1.4,45.9,157,79,78,50.3,52,17,35,32.7,0.25
65,11,"Klay Thompson","Golden State Warriors",99,508,38.4,513,1.01,508,227,281,44.7,50.4,0,0.2,44.7,377,169,208,44.8,131,58,73,44.3,0.26
66,4,"Derrick White","San Antonio Spurs",74,184,59.5,185,1.005,184,85,99,46.2,49.7,0.01,1.1,46.2,146,72,74,49.3,38,13,25,34.2,0.21
67,8,"Jordan Clarkson","Cleveland Cavaliers",81,367,54.5,368,1.003,367,156,211,42.5,49.9,0.01,0.8,42.5,197,102,95,51.8,170,54,116,31.8,0.46
68,33,"Zach Collins","Portland Trail Blazers",93,19,11,19,1,19,7,12,36.8,47.4,0.11,10.5,36.8,14,3,11,21.4,5,4,1,80,0.26
68,23,"Ben McLemore","Sacramento Kings",19,20,37.7,20,1,20,8,12,40,50,0,0,40,9,4,5,44.4,11,4,7,36.4,0.55
68,42,"Maxi Kleber","Dallas Mavericks",71,23,9.5,23,1,23,10,13,43.5,50,0,0,43.5,15,7,8,46.7,8,3,5,37.5,0.35
68,7,"Ersan Ilyasova","Milwaukee Bucks",82,44,18,44,1,44,17,27,38.6,50,0,0,38.6,12,7,5,58.3,32,10,22,31.3,0.73
68,4,"Milos Teodosic","Los Angeles Clippers",15,14,41.2,14,1,14,6,8,42.9,50,0,0,42.9,7,4,3,57.1,7,2,5,28.6,0.5
68,9,"Channing Frye","Cleveland Cavaliers",36,16,17.2,16,1,16,6,10,37.5,50,0,0,37.5,7,2,5,28.6,9,4,5,44.4,0.56
74,23,"LeBron James","Los Angeles Lakers",55,252,50.8,251,0.996,252,102,150,40.5,49.2,0.01,1.2,40.5,128,58,70,45.3,124,44,80,35.5,0.49
75,2,"Kawhi Leonard","Toronto Raptors",84,614,63.6,610,0.993,614,268,346,43.6,49.1,0.01,1.3,43.6,446,201,245,45.1,168,67,101,39.9,0.27
76,14,"Wayne Selden","Chicago Bulls",43,84,45.7,83,0.988,84,38,46,45.2,48.8,0.01,1.2,45.2,66,32,34,48.5,18,6,12,33.3,0.21
77,8,"Danilo Gallinari","Los Angeles Clippers",74,236,37.3,233,0.987,236,99,137,41.9,48.5,0.02,1.7,41.9,159,68,91,42.8,77,31,46,40.3,0.33
78,24,"Buddy Hield","Sacramento Kings",82,486,50.8,479,0.986,486,196,290,40.3,49.2,0,0.2,40.3,259,110,149,42.5,227,86,141,37.9,0.47
79,31,"Terrence Ross","Orlando Magic",86,400,42.9,394,0.985,400,161,239,40.3,48.8,0.01,1.3,40.3,222,93,129,41.9,178,68,110,38.2,0.45
79,14,"Danny Green","Toronto Raptors",104,131,20.9,129,0.985,131,50,81,38.2,49.2,0,0,38.2,54,21,33,38.9,77,29,48,37.7,0.59
81,45,"Donovan Mitchell","Utah Jazz",82,514,62.8,506,0.984,514,204,310,39.7,48.6,0.01,1.2,39.7,247,112,135,45.3,267,92,175,34.5,0.52
82,21,"Darius Miller","New Orleans Pelicans",69,114,25.6,112,0.982,114,45,69,39.5,48.2,0.03,2.6,39.5,63,25,38,39.7,51,20,31,39.2,0.45
83,1,"Devin Booker","Phoenix Suns",64,481,65.2,470,0.977,481,201,280,41.8,48.1,0.02,1.7,41.8,277,140,137,50.5,204,61,143,29.9,0.42
84,4,"Alex Caruso","Los Angeles Lakers",25,42,53.8,41,0.976,42,16,26,38.1,48.8,0,0,38.1,25,7,18,28,17,9,8,52.9,0.4
85,1,"DAngelo Russell","Brooklyn Nets",86,715,65,697,0.975,715,288,427,40.3,48.4,0.01,0.8,40.3,398,172,226,43.2,317,116,201,36.6,0.44
85,25,"Reggie Bullock","Detroit Pistons",44,79,22.6,77,0.975,79,32,47,40.5,47.5,0.03,2.5,40.5,48,21,27,43.8,31,11,20,35.5,0.39
87,9,"Brad Wanamaker","Boston Celtics",40,38,61.3,37,0.974,38,15,23,39.5,48.7,0,0,39.5,20,8,12,40,18,7,11,38.9,0.47
88,6,"Shelvin Mack","Memphis Grizzlies",53,113,61.7,110,0.973,113,42,71,37.2,48.7,0,0,37.2,53,16,37,30.2,60,26,34,43.3,0.53
88,11,"Kyrie Irving","Boston Celtics",76,488,56.7,475,0.973,488,205,283,42,48.3,0.01,0.8,42,304,144,160,47.4,184,61,123,33.2,0.38
90,25,"Mikal Bridges","Phoenix Suns",82,64,18.4,62,0.969,64,24,40,37.5,48.4,0,0,37.5,29,10,19,34.5,35,14,21,40,0.55
91,10,"Jake Layman","Portland Trail Blazers",77,63,28.6,61,0.968,63,24,39,38.1,48.4,0.02,1.6,38.1,31,11,20,35.5,32,13,19,40.6,0.51
91,13,"Jalen Brunson","Dallas Mavericks",73,186,58.7,180,0.968,186,80,106,43,48.4,0,0,43,133,60,73,45.1,53,20,33,37.7,0.28
93,13,"Paul George","Oklahoma City Thunder",82,548,48.2,530,0.967,548,210,338,38.3,47.9,0.01,1.3,38.3,268,105,163,39.2,280,105,175,37.5,0.51
93,11,"Dion Waiters","Miami Heat",44,91,26.7,88,0.967,91,32,59,35.2,48.4,0,0,35.2,31,8,23,25.8,60,24,36,40,0.66
95,30,"Mike Scott","Los Angeles Clippers",52,29,18.4,28,0.966,29,12,17,41.4,48.3,0,0,41.4,14,8,6,57.1,15,4,11,26.7,0.52
96,1,"Jerome Robinson","Los Angeles Clippers",38,27,32.1,26,0.963,27,11,16,40.7,48.1,0,0,40.7,16,7,9,43.8,11,4,7,36.4,0.41
97,12,"Tim Frazier","Milwaukee Bucks",23,26,56.5,25,0.962,26,10,16,38.5,46.2,0.04,3.8,38.5,15,6,9,40,11,4,7,36.4,0.42
98,6,"Lance Stephenson","Los Angeles Lakers",68,124,43.4,119,0.96,124,50,74,40.3,48,0,0,40.3,72,31,41,43.1,52,19,33,36.5,0.42
99,30,"John Jenkins","New York Knicks",22,49,50,47,0.959,49,20,29,40.8,46.9,0.02,2,40.8,38,14,24,36.8,11,6,5,54.5,0.22
99,3,"Bradley Beal","Washington Wizards",82,579,59.1,555,0.959,579,235,344,40.6,47.6,0.01,0.7,40.6,348,154,194,44.3,231,81,150,35.1,0.4
